"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",1.28,1.28,1.25,1.25,4080210,298621064
"26-10-2018",1.26,1.3,1.2,1.28,8256250,292460581
"25-10-2018",1.29,1.29,1.25,1.26,5881570,300339341
"24-10-2018",1.3,1.33,1.29,1.29,6371100,302416206
"23-10-2018",1.29,1.35,1.27,1.3,9524670,300880377
"22-10-2018",1.38,1.38,1.27,1.29,12515600,320747238
"21-10-2018",1.42,1.42,1.36,1.38,9684750,331349762
"20-10-2018",1.37,1.47,1.34,1.42,20153200,319533358
"19-10-2018",1.24,1.36,1.24,1.36,9382160,289967709
"18-10-2018",1.26,1.28,1.23,1.24,8594530,294252525
"17-10-2018",1.2,1.29,1.19,1.26,13630900,279021291
"16-10-2018",1.18,1.22,1.17,1.19,7316560,275594266
"15-10-2018",1.15,1.2,1.12,1.18,13623500,267291916
"14-10-2018",1.11,1.19,1.1,1.14,8014960,257880160
"13-10-2018",1.12,1.14,1.09,1.11,8355600,260014721
"12-10-2018",1.07,1.15,1.06,1.12,8578590,250399767
"11-10-2018",1.33,1.33,1.06,1.08,19495500,308917778
"10-10-2018",1.09,1.32,1.08,1.32,32338100,252896083
"09-10-2018",1.07,1.09,1.06,1.08,5877390,249224332
"08-10-2018",1.06,1.09,1.05,1.07,4624690,246998354
"07-10-2018",1.06,1.06,1.05,1.06,4958620,247237969
"06-10-2018",1.07,1.07,1.05,1.06,4812020,248496349
"05-10-2018",1.06,1.07,1.04,1.06,4889260,246080673
"04-10-2018",1.06,1.08,1.05,1.06,4594480,246669765
"03-10-2018",1.06,1.07,1.01,1.06,5638700,245947643
"02-10-2018",1.07,1.1,1.04,1.05,7158970,249227916
"01-10-2018",1.07,1.16,1.03,1.08,9948200,248798881
"30-09-2018",1.09,1.09,1.04,1.07,7739710,255044450
"29-09-2018",0.992843,1.09,0.974689,1.09,6502250,231352655
"28-09-2018",1.01,1.02,0.991403,0.999351,4814910,235071865
