"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",1.81,1.81,1.73,1.74,52791500,278157333
"26-10-2018",1.86,1.91,1.79,1.8,56843500,286557518
"25-10-2018",1.91,1.92,1.83,1.86,21770200,293557219
"24-10-2018",2.09,2.15,1.91,1.91,10670500,321002463
"23-10-2018",1.8,2.2,1.78,2.1,20276800,277246810
"22-10-2018",1.72,1.84,1.7,1.8,3904450,264511850
"21-10-2018",1.74,1.76,1.72,1.72,1267870,267076222
"20-10-2018",1.72,1.75,1.7,1.74,1252750,263959700
"19-10-2018",1.71,1.72,1.69,1.71,918732,262397608
"18-10-2018",1.75,1.75,1.69,1.71,1081890,268710109
"17-10-2018",1.77,1.78,1.72,1.75,1155610,271732529
"16-10-2018",1.78,1.82,1.75,1.77,1813760,273151634
"15-10-2018",1.7,1.81,1.68,1.76,4427060,261951272
"14-10-2018",1.71,1.81,1.7,1.71,2483870,262607276
"13-10-2018",1.68,1.74,1.68,1.71,1196110,258849890
"12-10-2018",1.65,1.72,1.6,1.69,1874760,253879310
"11-10-2018",1.88,1.88,1.65,1.66,2714770,288621849
"10-10-2018",1.92,1.93,1.87,1.88,2262120,295867181
"09-10-2018",1.97,1.98,1.92,1.93,1918440,303165429
"08-10-2018",1.95,1.99,1.94,1.97,2051710,300455157
"07-10-2018",1.97,1.98,1.92,1.95,1581600,303341702
"06-10-2018",1.98,2.05,1.96,1.97,3606690,303983024
"05-10-2018",2.05,2.2,1.92,1.97,6127610,314894865
"04-10-2018",2.01,2.08,1.98,2.04,3144430,308648697
"03-10-2018",1.98,2.01,1.91,1.99,2824190,303705226
"02-10-2018",1.94,2.08,1.93,1.98,6490750,297839041
"01-10-2018",1.94,1.98,1.89,1.94,2732630,298882214
"30-09-2018",1.91,1.96,1.9,1.95,2674710,293689758
"29-09-2018",1.9,1.93,1.85,1.91,2496250,291916477
"28-09-2018",1.91,1.94,1.88,1.9,2550760,293846601
"27-09-2018",1.9,1.94,1.83,1.91,4527860,291889716
"26-09-2018",1.82,2.0,1.82,1.89,5484920,279640866
"25-09-2018",1.88,1.88,1.77,1.81,3354510,288708198
"24-09-2018",2.07,2.07,1.87,1.87,4632430,318047165
"23-09-2018",1.8,2.44,1.8,2.07,22178500,277103640
"22-09-2018",1.87,1.88,1.77,1.8,2289510,287223841
"21-09-2018",1.8,1.93,1.78,1.87,6039460,277168159
"20-09-2018",1.76,1.82,1.75,1.82,2886910,271211208
"19-09-2018",1.8,1.82,1.7,1.76,2498460,276252503
"18-09-2018",1.77,1.89,1.72,1.79,3892200,271412005
"17-09-2018",1.9,1.93,1.72,1.77,4029030,291394735
"16-09-2018",1.92,1.93,1.86,1.89,3460810,294806981
"15-09-2018",1.88,1.96,1.86,1.91,4156670,288446585
"14-09-2018",1.95,1.98,1.84,1.88,4665630,300267758
"13-09-2018",1.89,2.01,1.87,1.95,7436750,291159644
"12-09-2018",1.97,1.98,1.75,1.89,8420800,303407889
"11-09-2018",2.08,2.21,1.85,1.98,12559300,320546688
"10-09-2018",1.72,2.26,1.72,2.08,30145600,263994287
"09-09-2018",1.7,1.86,1.58,1.72,8078750,261568704
"08-09-2018",1.95,2.02,1.67,1.71,7225170,299331995
"07-09-2018",2.16,2.33,1.94,1.96,15305600,332314212
"06-09-2018",2.88,2.91,2.01,2.15,40400300,442415988
"05-09-2018",1.33,4.64,1.31,2.9,195081000,203869698
"04-09-2018",1.31,1.35,1.3,1.33,1098800,201979348
"03-09-2018",1.29,1.34,1.28,1.31,1100350,198606015
"02-09-2018",1.33,1.34,1.27,1.29,1062090,204917050
"01-09-2018",1.3,1.37,1.28,1.33,2067260,199200341
"31-08-2018",1.3,1.33,1.26,1.28,1450920,199305184
"30-08-2018",1.36,1.38,1.26,1.3,3354940,208758054
"29-08-2018",1.28,1.37,1.23,1.35,2256240,196378003
"28-08-2018",1.23,1.29,1.23,1.28,1844120,188896554
"27-08-2018",1.21,1.24,1.19,1.23,1144400,185724916
"26-08-2018",1.26,1.26,1.17,1.21,1777980,194454972
"25-08-2018",1.36,1.39,1.25,1.27,2439340,209609264
"24-08-2018",1.43,1.63,1.3,1.37,4966070,220092457
"23-08-2018",1.06,1.76,1.05,1.46,10822000,162616280
"22-08-2018",1.04,1.13,1.04,1.06,1183270,160598413
"21-08-2018",1.04,1.07,1.03,1.04,626860,160496796
"20-08-2018",1.11,1.12,1.03,1.04,955092,170630157
"19-08-2018",1.11,1.14,1.07,1.11,899975,171064414
"18-08-2018",1.24,1.27,1.04,1.11,1822460,191047968
"17-08-2018",1.01,1.37,1.01,1.24,283280000,155941923
"16-08-2018",1.04,1.06,1.0,1.01,220321000,160449103
"15-08-2018",1.06,1.11,1.03,1.04,1309140,162916330
"14-08-2018",1.14,1.14,0.992372,1.06,1069920,175894702
"13-08-2018",1.26,1.3,1.15,1.15,1502750,193915707
"12-08-2018",1.28,1.3,1.26,1.26,879876,197047534
"11-08-2018",1.4,1.4,1.24,1.28,1076460,214832018
"10-08-2018",1.5,1.51,1.4,1.4,1811190,230579610
"09-08-2018",1.41,1.51,1.4,1.5,2383600,216240016
"08-08-2018",1.6,1.6,1.39,1.41,1526260,245405497
"07-08-2018",1.62,1.69,1.59,1.59,3058710,249047995
"06-08-2018",1.62,1.66,1.6,1.62,6601670,248829107
"05-08-2018",1.63,1.7,1.57,1.62,2787610,250385847
"04-08-2018",1.7,1.74,1.6,1.63,1187210,261713689
"03-08-2018",1.73,1.74,1.6,1.7,1274020,266086552
"02-08-2018",1.75,1.8,1.71,1.74,1100520,268797540
"01-08-2018",1.75,1.88,1.66,1.75,1730940,268633401
"31-07-2018",1.89,1.91,1.74,1.75,1817480,289900443
"30-07-2018",2.03,2.04,1.88,1.89,1510690,312687657
"29-07-2018",2.04,2.05,1.98,2.03,1271890,314211392
"28-07-2018",2.06,2.08,2.03,2.04,1503840,317245056
"27-07-2018",2.06,2.11,2.0,2.06,3249050,316749920
"26-07-2018",2.11,2.15,2.05,2.06,2073740,324803680
