"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",26.8,27.15,26.66,27.05,1989720,463781489
"26-10-2018",27.05,27.12,26.62,26.83,2684070,468225371
"25-10-2018",27.4,27.4,26.8,27.07,2223660,474092274
"24-10-2018",26.72,28.12,26.59,27.43,4598640,462340154
"23-10-2018",26.12,26.91,25.76,26.82,2872480,452009616
"22-10-2018",26.2,26.42,25.88,26.13,2475360,453268311
"21-10-2018",26.52,26.59,25.96,26.16,1792550,458762478
"20-10-2018",26.03,26.77,25.83,26.53,2200410,450157976
"19-10-2018",26.04,26.17,25.64,26.03,2009750,450395895
"18-10-2018",26.29,26.52,25.76,26.05,2239220,454601224
"17-10-2018",26.66,26.79,25.32,26.24,2126010,461077753
"16-10-2018",26.55,26.79,26.24,26.59,2413200,459115655
"15-10-2018",24.6,27.36,24.33,26.55,4511260,425361844
"14-10-2018",24.51,24.8,24.38,24.52,2510870,423649758
"13-10-2018",24.88,25.1,24.36,24.5,2209480,429986263
"12-10-2018",23.85,25.41,23.71,24.88,3357860,412112820
"11-10-2018",26.04,26.07,23.88,23.88,4303110,450023868
"10-10-2018",26.36,26.62,25.89,26.01,3269950,455544941
"09-10-2018",27.47,27.5,26.16,26.41,3371410,474606321
"08-10-2018",26.93,27.72,26.58,27.41,3969260,465249418
"07-10-2018",28.23,28.23,26.62,26.86,18243000,487608014
"06-10-2018",27.37,29.5,27.37,28.15,24700500,472673419
"05-10-2018",25.17,27.32,24.9,27.32,22447600,434697273
"04-10-2018",26.03,26.49,25.03,25.1,17749000,449455317
"03-10-2018",25.46,26.03,24.93,26.0,15435200,439563860
"02-10-2018",24.65,25.59,24.55,25.47,15433100,425526134
"01-10-2018",25.89,26.09,24.41,24.7,15219000,446899105
"30-09-2018",26.2,26.41,25.73,25.96,9520360,452277953
"29-09-2018",26.9,26.9,25.68,26.25,8490320,464315186
"28-09-2018",26.64,28.2,25.42,26.94,15959500,459804246
"27-09-2018",23.45,28.12,23.19,26.61,25868400,404617621
"26-09-2018",21.85,24.19,21.59,23.48,15907500,377008699
"25-09-2018",21.95,22.04,21.32,21.86,6090960,378739080
"24-09-2018",22.53,22.6,21.92,21.97,5333100,388659956
"23-09-2018",22.2,22.76,22.09,22.53,7067970,382879371
"22-09-2018",22.68,22.82,21.72,22.18,7693250,391081446
"21-09-2018",21.62,22.77,21.61,22.65,6649240,372830134
"20-09-2018",21.03,21.64,20.7,21.64,5329380,362593200
"19-09-2018",21.04,21.22,20.43,21.05,4896810,362739738
"18-09-2018",20.35,21.59,20.14,21.05,7099100,350806768
"17-09-2018",21.34,21.39,19.98,20.37,6673440,367895854
"16-09-2018",20.22,21.33,19.83,21.33,5369990,348521288
"15-09-2018",20.25,20.57,20.12,20.2,5524300,349059264
"14-09-2018",20.08,20.55,19.6,20.28,6892790,345985591
"13-09-2018",19.19,20.62,18.95,20.09,8666530,330586114
"12-09-2018",19.0,19.3,18.38,19.15,6983340,327337554
"11-09-2018",19.66,19.66,18.85,19.0,5679820,338729114
"10-09-2018",19.15,19.65,19.07,19.62,6563970,329839539
"09-09-2018",18.68,19.86,18.25,19.15,8331430,321719099
"08-09-2018",18.98,20.16,18.68,18.7,7520870,326930662
"07-09-2018",19.68,19.91,18.85,18.98,5734940,338965040
"06-09-2018",19.37,19.88,17.96,19.71,9056330,333527014
"05-09-2018",21.45,24.08,19.43,19.43,20829500,369233882
"04-09-2018",21.27,21.85,21.2,21.45,10543300,366115980
"03-09-2018",21.43,21.8,21.11,21.23,9057430,368871939
"02-09-2018",22.15,22.19,21.28,21.4,11572700,381155302
"01-09-2018",22.4,22.57,21.16,22.12,16855100,385419778
"31-08-2018",21.79,22.71,21.63,22.41,7502920,374999430
"30-08-2018",22.76,22.84,21.22,21.78,7991750,391587110
"29-08-2018",21.97,23.03,21.36,22.74,10899600,378013322
"28-08-2018",20.58,22.15,20.51,21.97,9615180,354019606
"27-08-2018",19.43,20.6,19.31,20.6,8030000,334244079
"26-08-2018",19.71,20.13,19.18,19.43,7658540,339018948
"25-08-2018",19.24,20.61,19.15,20.17,10381500,330919690
"24-08-2018",18.68,19.45,18.49,19.33,5681680,321193453
"23-08-2018",18.42,18.74,18.2,18.67,5485620,316778953
"22-08-2018",18.73,19.91,18.14,18.42,6385470,321953598
"21-08-2018",18.25,19.11,18.25,18.7,5014960,313643866
"20-08-2018",19.75,20.13,18.22,18.27,6178990,339502740
"19-08-2018",19.04,20.84,18.26,19.77,7162720,327173632
"18-08-2018",20.6,20.96,18.22,19.03,7203170,354040375
"17-08-2018",17.78,21.47,17.78,20.45,10071300,305540451
"16-08-2018",17.82,18.44,17.53,17.78,5587850,306109227
"15-08-2018",18.39,19.93,17.73,17.81,7194800,315995246
"14-08-2018",18.42,19.28,15.18,18.4,11506900,316431300
"13-08-2018",19.87,20.64,18.49,18.54,7198460,341293771
"12-08-2018",20.16,20.45,19.45,19.86,6157910,346284574
"11-08-2018",21.11,21.11,19.43,20.24,7161000,362503375
"10-08-2018",22.61,22.73,20.9,21.11,7430280,388180914
