"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.201575,0.20457,0.195654,0.195654,23543700,202078638
"26-10-2018",0.205761,0.206506,0.199373,0.201937,26845600,206275254
"25-10-2018",0.21485,0.217021,0.202578,0.206525,34167700,215386888
"24-10-2018",0.22073,0.228329,0.214581,0.215152,20155300,221281687
"23-10-2018",0.215666,0.234892,0.215666,0.220474,55196900,216205094
"22-10-2018",0.218396,0.221233,0.205972,0.215528,74900000,218942273
"21-10-2018",0.224348,0.241635,0.217532,0.21788,67556800,224908537
"20-10-2018",0.182482,0.224098,0.182278,0.222688,59630700,182938092
"19-10-2018",0.178679,0.191547,0.175896,0.18251,53976900,179126005
"18-10-2018",0.175592,0.185466,0.175592,0.178857,30616200,176030903
"17-10-2018",0.178504,0.182451,0.17682,0.180989,15370100,178949837
"16-10-2018",0.182336,0.182336,0.176849,0.17822,82296900,182791307
"15-10-2018",0.17217,0.186851,0.168119,0.181512,57957900,172600597
"14-10-2018",0.175615,0.178157,0.172132,0.17233,5983020,176054237
"13-10-2018",0.174794,0.177004,0.173345,0.176677,3610690,175230667
"12-10-2018",0.167734,0.177526,0.165599,0.174445,19126300,168153644
"11-10-2018",0.203047,0.203665,0.166774,0.166774,43117400,203554418
"10-10-2018",0.185744,0.210069,0.181421,0.203383,57204500,186208571
"09-10-2018",0.187377,0.187787,0.184387,0.18584,17819800,187845537
"08-10-2018",0.184317,0.188906,0.182859,0.186605,3869800,184778160
"07-10-2018",0.185989,0.187519,0.181531,0.184373,9970900,186454114
"06-10-2018",0.188933,0.189455,0.185205,0.186453,5878240,189405121
"05-10-2018",0.189481,0.192086,0.185829,0.18872,8487620,189955063
"04-10-2018",0.186201,0.192025,0.185544,0.190435,3186830,186666075
"03-10-2018",0.192384,0.192384,0.17989,0.186049,16987700,192864885
"02-10-2018",0.187814,0.195652,0.186518,0.19284,8523570,188282933
"01-10-2018",0.182395,0.189148,0.181665,0.186924,28583200,182851255
"30-09-2018",0.181366,0.185286,0.179777,0.183175,6527250,181818966
"29-09-2018",0.182451,0.186055,0.174548,0.180775,87444600,182907005
"28-09-2018",0.180668,0.186867,0.176812,0.183011,134123000,181119730
"27-09-2018",0.17772,0.18264,0.170725,0.180562,109541000,178164241
"26-09-2018",0.174803,0.182025,0.169294,0.17783,19698600,175239825
"25-09-2018",0.178655,0.178674,0.165221,0.174514,33294700,179101775
"24-09-2018",0.186445,0.187557,0.176292,0.178622,35603000,186911020
"23-09-2018",0.183249,0.191821,0.181429,0.187182,48761800,183706822
"22-09-2018",0.191498,0.194679,0.177178,0.183045,52804800,191977081
"21-09-2018",0.177473,0.191573,0.175273,0.191306,72085500,177916697
"20-09-2018",0.169291,0.177627,0.168094,0.176637,37108200,169713960
"19-09-2018",0.171176,0.172387,0.164243,0.169348,61294400,171603728
"18-09-2018",0.163809,0.173497,0.160771,0.170602,35311300,164218704
