"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.097704,0.098323,0.096683,0.0972,2710450,260682528
"26-10-2018",0.097962,0.098271,0.096544,0.097888,2546610,261349099
"25-10-2018",0.100737,0.100737,0.097193,0.097972,3778190,268728005
"24-10-2018",0.098658,0.101241,0.0986,0.100677,3581270,263161569
"23-10-2018",0.099812,0.100865,0.097782,0.098746,2970030,266209988
"22-10-2018",0.102976,0.102976,0.099281,0.099927,3162300,274616660
"21-10-2018",0.100182,0.104149,0.099512,0.10312,4673850,267133529
"20-10-2018",0.097768,0.100371,0.096899,0.100038,2936910,260664459
"19-10-2018",0.098018,0.098474,0.096104,0.097603,2674770,261300446
"18-10-2018",0.101552,0.101878,0.0969,0.098002,3000250,270695023
"17-10-2018",0.102606,0.103146,0.100637,0.101532,2642070,273482321
"16-10-2018",0.104001,0.104741,0.101965,0.102578,2694080,277176551
"15-10-2018",0.096935,0.108698,0.096293,0.103999,12130600,258324507
"14-10-2018",0.09855,0.100117,0.097052,0.097095,3110110,262606441
"13-10-2018",0.098623,0.099752,0.09775,0.098396,2635240,262779342
"12-10-2018",0.096356,0.099304,0.093882,0.098447,4619780,256717678
"11-10-2018",0.109817,0.109972,0.096231,0.0964,9224970,292557379
"10-10-2018",0.110152,0.110527,0.108144,0.109894,4129600,293425544
"09-10-2018",0.112209,0.112374,0.109725,0.110428,3041980,298881768
"08-10-2018",0.111049,0.112597,0.110164,0.111765,3273560,295767857
"07-10-2018",0.110051,0.111261,0.109437,0.111122,2710160,293085817
"06-10-2018",0.111985,0.111985,0.109482,0.109893,3766750,298210816
"05-10-2018",0.111801,0.112593,0.110437,0.111513,3584170,297696197
"04-10-2018",0.109257,0.112774,0.109257,0.111429,3791380,290898664
"03-10-2018",0.112247,0.112247,0.10775,0.109191,4028700,298836451
"02-10-2018",0.111737,0.113411,0.11169,0.112213,3591560,297452788
"01-10-2018",0.114054,0.114907,0.110527,0.112011,3992560,303596043
"30-09-2018",0.114236,0.115969,0.112902,0.114236,3648500,304055675
"29-09-2018",0.114361,0.115196,0.112523,0.114323,6769320,304361987
"28-09-2018",0.118086,0.119021,0.114067,0.114441,5181490,314251165
"27-09-2018",0.114358,0.119162,0.111696,0.118127,5845670,304305224
"26-09-2018",0.111835,0.117184,0.111352,0.114634,5409460,297565627
"25-09-2018",0.117829,0.117829,0.108677,0.111861,8350970,313488120
"24-09-2018",0.12466,0.125066,0.116577,0.117559,7943720,331635294
"23-09-2018",0.123565,0.128378,0.122635,0.124547,7885200,328694770
"22-09-2018",0.127529,0.12937,0.12105,0.123283,10992200,339212181
"21-09-2018",0.121836,0.127261,0.121244,0.127156,11236700,324042363
"20-09-2018",0.115141,0.121891,0.115038,0.121634,5963060,306212992
"19-09-2018",0.115118,0.115621,0.111305,0.115227,5234890,306124102
"18-09-2018",0.109346,0.116911,0.109296,0.115151,7211650,290752054
"17-09-2018",0.117872,0.120066,0.108887,0.109282,6901020,313397389
"16-09-2018",0.118079,0.119159,0.114024,0.117876,6552720,313920909
"15-09-2018",0.10965,0.120898,0.108198,0.117849,8813720,291287254
"14-09-2018",0.103354,0.110772,0.102238,0.109555,12869200,274561804
"13-09-2018",0.098442,0.103622,0.098344,0.103472,9805830,261513076
