"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",43.35,43.89,42.79,42.79,2237440,377576698
"26-10-2018",43.47,44.43,42.93,43.56,2164890,378314971
"25-10-2018",47.31,47.31,43.12,43.43,5256520,411469846
"24-10-2018",51.38,52.84,45.27,47.72,16827400,446626480
"23-10-2018",38.62,54.03,38.62,51.42,23247300,335499549
"22-10-2018",38.25,39.34,37.93,38.58,619066,332019044
"21-10-2018",38.66,38.92,38.03,38.26,789027,335414266
"20-10-2018",38.31,38.63,37.91,38.56,944029,332123579
"19-10-2018",39.01,39.02,38.03,38.35,531417,337997021
"18-10-2018",39.74,39.74,38.33,38.95,677340,344117103
"17-10-2018",39.72,39.97,39.18,39.72,2452460,343694362
"16-10-2018",39.59,41.7,38.92,40.38,2919280,342354509
"15-10-2018",37.4,41.49,37.11,39.92,1171760,323213485
"14-10-2018",37.87,38.6,37.18,37.39,249550,327052697
"13-10-2018",36.23,38.28,35.97,38.13,512276,312659222
"12-10-2018",36.71,38.4,36.01,36.25,2092390,316543978
"11-10-2018",41.35,41.35,36.49,36.82,10183500,356335800
"10-10-2018",40.97,41.99,39.95,41.42,1643250,352857354
"09-10-2018",44.19,45.87,40.26,41.1,5053600,380298455
"08-10-2018",40.13,44.51,40.04,44.12,1697510,345172417
"07-10-2018",40.84,41.2,39.69,40.05,240057,351035465
"06-10-2018",42.02,42.19,40.35,40.72,648012,360967144
"05-10-2018",41.29,42.37,40.96,42.0,1195760,354461690
"04-10-2018",38.51,41.34,38.34,41.18,1886200,330385641
"03-10-2018",38.92,39.05,37.78,38.64,710528,333659600
"02-10-2018",38.51,39.07,38.17,38.86,1325290,329903493
"01-10-2018",39.19,39.84,38.19,38.62,732532,335519055
"30-09-2018",39.09,39.9,38.25,39.23,2769030,334464882
"29-09-2018",38.75,39.21,37.96,39.07,3437790,331303777
"28-09-2018",38.7,39.63,38.41,38.8,1183200,330617505
"27-09-2018",37.1,38.97,36.87,38.69,1016760,316765225
"26-09-2018",36.91,37.37,35.95,37.04,985738,314875026
"25-09-2018",37.8,37.8,36.12,36.95,738268,322278115
"24-09-2018",38.93,39.18,37.45,37.85,736025,331705329
"23-09-2018",38.05,38.92,37.6,38.82,816181,323970135
"22-09-2018",38.53,38.85,36.67,37.91,732990,327817982
"21-09-2018",36.77,38.62,36.32,38.41,1349850,312668752
"20-09-2018",36.36,37.21,35.89,36.75,648159,309012640
"19-09-2018",36.31,36.84,35.51,36.35,834800,308337178
"18-09-2018",36.34,37.32,35.46,36.29,756664,308373946
