"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.004011,0.004256,0.004011,0.004195,23286000,468217004
"26-10-2018",0.003703,0.003984,0.003703,0.003984,16214900,432184597
"25-10-2018",0.003912,0.003921,0.003676,0.003717,12336100,456527699
"24-10-2018",0.004162,0.004163,0.003859,0.003911,17832300,485635207
"23-10-2018",0.004373,0.004401,0.004136,0.004172,12913100,510196465
"22-10-2018",0.004508,0.004535,0.004357,0.004366,10602500,525825136
"21-10-2018",0.004552,0.004602,0.004509,0.004517,7521080,531003004
"20-10-2018",0.004501,0.004558,0.004443,0.004551,7574780,524912243
"19-10-2018",0.004389,0.004566,0.004273,0.00447,17274700,511822581
"18-10-2018",0.004605,0.004729,0.004336,0.004386,22842600,536928798
"17-10-2018",0.00501,0.005025,0.004493,0.004599,24144600,584058466
"16-10-2018",0.005222,0.005222,0.004966,0.005017,11794600,608725109
"15-10-2018",0.005153,0.005457,0.005124,0.005218,18579800,600662930
"14-10-2018",0.005174,0.005222,0.005145,0.005158,7930760,603005372
"13-10-2018",0.005245,0.005272,0.005163,0.005182,8095130,611167838
"12-10-2018",0.004982,0.005283,0.004957,0.005247,9635600,580520403
"11-10-2018",0.005547,0.005547,0.004901,0.005,18770800,646278101
"10-10-2018",0.005628,0.005648,0.005531,0.005552,10274400,655629475
"09-10-2018",0.005594,0.005639,0.005574,0.005635,8996090,651522409
"08-10-2018",0.005573,0.005652,0.005549,0.005578,12177400,649059208
"07-10-2018",0.005559,0.005575,0.005512,0.005562,7755690,647340998
"06-10-2018",0.005686,0.00577,0.005483,0.005545,13055500,662045360
"05-10-2018",0.005647,0.005744,0.005625,0.005669,12566200,657406185
"04-10-2018",0.005712,0.005767,0.005576,0.005645,14529600,664878697
"03-10-2018",0.005813,0.005826,0.005655,0.005704,15933900,676635401
"02-10-2018",0.005927,0.005964,0.005789,0.005824,15357200,689807865
"01-10-2018",0.005901,0.006024,0.005881,0.005942,20096400,686678942
"30-09-2018",0.005867,0.00591,0.005828,0.005906,13396600,682649298
"29-09-2018",0.005832,0.005898,0.005765,0.005865,15626800,678473341
"28-09-2018",0.005864,0.005965,0.005783,0.005831,14461600,682127221
"27-09-2018",0.005702,0.00591,0.005693,0.005879,15096200,663138534
"26-09-2018",0.005692,0.005753,0.005662,0.005695,11673600,661967501
"25-09-2018",0.00568,0.005794,0.005587,0.005686,17598700,660500845
"24-09-2018",0.005904,0.006067,0.005659,0.005677,17243600,686476405
"23-09-2018",0.005765,0.005907,0.005736,0.005901,12445100,670195181
"22-09-2018",0.005682,0.005817,0.005604,0.005758,14917600,660513655
"21-09-2018",0.005695,0.005961,0.005553,0.005684,22345300,661922456
"20-09-2018",0.005605,0.0059,0.005605,0.005695,25354400,651418921
"19-09-2018",0.005984,0.006031,0.00536,0.005609,38645300,695339643
"18-09-2018",0.006231,0.00628,0.005789,0.005981,39689500,723884225
"17-09-2018",0.00654,0.006547,0.006156,0.006243,26385900,759753036
"16-09-2018",0.006191,0.006531,0.006141,0.006531,21598600,719090348
"15-09-2018",0.006187,0.006267,0.006134,0.006165,16956400,718592131
"14-09-2018",0.006558,0.006658,0.006095,0.00618,41910000,761621743
"13-09-2018",0.006468,0.006609,0.00641,0.006554,45785700,751053731
"12-09-2018",0.006325,0.006457,0.006193,0.006455,59824100,734389830
"11-09-2018",0.006931,0.006931,0.005953,0.006329,89882900,804635603
"10-09-2018",0.00584,0.006933,0.00584,0.006892,76891600,677828035
"09-09-2018",0.00571,0.005843,0.005702,0.005829,32572000,662695904
"08-09-2018",0.005298,0.005858,0.005298,0.005692,48248300,614771699
"07-09-2018",0.004996,0.005442,0.004996,0.005307,37618700,579743158
"06-09-2018",0.004926,0.005092,0.004665,0.00501,32481300,571450735
"05-09-2018",0.005259,0.005394,0.004809,0.004931,50536000,610073396
"04-09-2018",0.005279,0.005323,0.005055,0.005269,32495100,612290356
"03-09-2018",0.005026,0.00555,0.004985,0.005266,57158800,582869228
"02-09-2018",0.00631,0.006554,0.004548,0.004999,139429000,731698839
"01-09-2018",0.004741,0.006753,0.004337,0.006278,193826000,549712914
"31-08-2018",0.003216,0.004849,0.003213,0.004794,77150500,372793272
"30-08-2018",0.002598,0.003269,0.002596,0.003206,33967500,301117513
"29-08-2018",0.002607,0.00262,0.002516,0.002606,4588400,302121449
"28-08-2018",0.002475,0.002619,0.002451,0.002607,5215460,286793139
"27-08-2018",0.002404,0.002468,0.002387,0.002462,3618660,278550902
"26-08-2018",0.002368,0.002413,0.002288,0.002404,2912230,274339095
"25-08-2018",0.002423,0.002439,0.002355,0.00237,4028740,280745737
"24-08-2018",0.002391,0.002436,0.002354,0.002426,3251910,276911895
"23-08-2018",0.002315,0.002397,0.002313,0.002385,2596260,268108762
"22-08-2018",0.002423,0.002517,0.002312,0.002315,5962320,280577116
"21-08-2018",0.002364,0.002431,0.002362,0.002424,2134170,273794633
"20-08-2018",0.002464,0.002485,0.00236,0.002369,2424120,285332574
"19-08-2018",0.002413,0.002473,0.002366,0.002473,2665100,279376724
"18-08-2018",0.002477,0.002499,0.002368,0.002394,6738940,286729018
"17-08-2018",0.002316,0.002478,0.002285,0.002455,5233940,268024283
"16-08-2018",0.002299,0.00237,0.002227,0.002292,5860370,266039687
"15-08-2018",0.002256,0.002412,0.002248,0.002303,5379460,261019406
"14-08-2018",0.00232,0.002325,0.002143,0.00226,7512400,268465489
"13-08-2018",0.002407,0.002451,0.002285,0.002331,4981090,278441376
"12-08-2018",0.002396,0.00244,0.00236,0.002404,3433940,277091810
"11-08-2018",0.00238,0.00246,0.002345,0.002404,5083850,275311371
"10-08-2018",0.002554,0.002609,0.002365,0.002392,4693290,295401691
"09-08-2018",0.002408,0.002593,0.002381,0.002555,7374010,278459601
"08-08-2018",0.002669,0.002669,0.002396,0.002415,4879040,308577523
"07-08-2018",0.002775,0.002827,0.00266,0.002671,5725520,320732724
"06-08-2018",0.002872,0.002909,0.00274,0.002779,5668670,331982245
"05-08-2018",0.002783,0.002915,0.002733,0.002837,11384200,321589032
"04-08-2018",0.002896,0.002965,0.002737,0.002745,7980110,334647438
