"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.667292,0.670139,0.640605,0.643194,7916270,258529649
"26-10-2018",0.660564,0.668496,0.655666,0.665579,7041310,255923382
"25-10-2018",0.673816,0.676009,0.656777,0.662215,8087320,261057353
"24-10-2018",0.66505,0.683197,0.663713,0.675419,8986510,257661386
"23-10-2018",0.684067,0.688944,0.661027,0.667753,13245000,265028999
"22-10-2018",0.692308,0.694416,0.67763,0.684381,13570100,268221658
"21-10-2018",0.699748,0.706879,0.695226,0.695226,13429200,271104320
"20-10-2018",0.702052,0.705179,0.689777,0.699561,13046800,271997038
"19-10-2018",0.684612,0.712766,0.68175,0.702946,12218300,265240043
"18-10-2018",0.72342,0.72782,0.676041,0.685837,16936300,280275589
"17-10-2018",0.68472,0.734542,0.683611,0.722645,20983400,265282025
"16-10-2018",0.683322,0.708208,0.672086,0.684481,20511900,264740409
"15-10-2018",0.612492,0.688064,0.601995,0.681618,28957400,237298467
"14-10-2018",0.617712,0.638287,0.612331,0.616835,11520700,239320927
"13-10-2018",0.598992,0.620138,0.598992,0.618583,10213000,232068362
"12-10-2018",0.593716,0.621331,0.58631,0.600053,11875300,230024172
"11-10-2018",0.72629,0.72629,0.595645,0.601099,23016300,281387388
"10-10-2018",0.698484,0.727202,0.672203,0.727202,14667400,270614501
"09-10-2018",0.699555,0.705481,0.680638,0.69927,11558900,271029454
"08-10-2018",0.673511,0.703965,0.671903,0.698349,14319100,260939257
"07-10-2018",0.669517,0.675964,0.658412,0.674838,10110100,259391976
"06-10-2018",0.684031,0.687054,0.663169,0.667425,9782120,265015074
"05-10-2018",0.670487,0.684616,0.66227,0.683684,12192000,259767510
"04-10-2018",0.670025,0.686492,0.667686,0.670145,10670400,259588588
"03-10-2018",0.687306,0.689364,0.658329,0.666897,13288800,266283695
"02-10-2018",0.669681,0.707598,0.669681,0.692558,18707900,259455412
"01-10-2018",0.657942,0.686483,0.657195,0.66799,14920100,254907234
"30-09-2018",0.657266,0.661013,0.643421,0.656138,9634880,254645478
"29-09-2018",0.648775,0.660357,0.632378,0.657091,10751100,251355807
"28-09-2018",0.679834,0.689105,0.641933,0.64991,15807000,263389001
"27-09-2018",0.64486,0.684063,0.639424,0.677373,13932500,249839008
"26-09-2018",0.640961,0.667003,0.617034,0.645961,13225700,248328283
"25-09-2018",0.656361,0.656361,0.610674,0.640946,14744200,254294977
"24-09-2018",0.706025,0.72558,0.65406,0.659676,19278100,273536190
"23-09-2018",0.685486,0.71053,0.673224,0.704763,16785000,265578836
"22-09-2018",0.720552,0.726171,0.64886,0.68155,17570400,279164553
"21-09-2018",0.643563,0.721531,0.626183,0.714739,30060200,249336442
"20-09-2018",0.596326,0.652281,0.592071,0.642182,17326300,231035402
"19-09-2018",0.603364,0.610918,0.572045,0.595847,16095500,233761958
"18-09-2018",0.585363,0.612714,0.57288,0.603323,15696500,226788099
"17-09-2018",0.643684,0.65304,0.579239,0.586445,22656300,249383366
"16-09-2018",0.635458,0.647367,0.619686,0.639882,14666500,246196526
"15-09-2018",0.623948,0.669808,0.621134,0.639137,19150100,241737117
"14-09-2018",0.640617,0.655392,0.607623,0.625935,20207600,248195177
"13-09-2018",0.59488,0.660162,0.59488,0.636745,26618700,230475057
"12-09-2018",0.580672,0.597171,0.530302,0.592637,16571300,224970703
"11-09-2018",0.6243,0.630785,0.561278,0.580631,15918300,241873202
"10-09-2018",0.634155,0.645931,0.608251,0.618157,12957000,245691443
"09-09-2018",0.639941,0.680603,0.616336,0.627519,17708900,247933306
"08-09-2018",0.697474,0.717538,0.624823,0.637472,19615200,270223103
"07-09-2018",0.745436,0.774963,0.689969,0.691708,23232300,288805435
"06-09-2018",0.761281,0.77125,0.699112,0.739583,28132400,294943961
"05-09-2018",0.956326,0.976007,0.764333,0.766455,43275600,370510713
"04-09-2018",0.901578,0.985064,0.89645,0.95461,34022600,349299507
"03-09-2018",0.929503,0.933177,0.88583,0.900889,25226100,360118625
"02-09-2018",0.940906,0.968665,0.902295,0.924313,33358200,364536491
"01-09-2018",0.903725,0.984088,0.903725,0.943392,38092500,350131422
"31-08-2018",0.866423,0.923323,0.844667,0.904235,40496500,335679451
"30-08-2018",0.871021,0.886418,0.79686,0.865964,35118400,337460984
"29-08-2018",0.933989,0.934117,0.846786,0.875552,41283600,361856467
"28-08-2018",0.928502,0.960194,0.897636,0.932399,44459200,359730668
"27-08-2018",0.913959,0.983222,0.867312,0.912016,67465800,354096347
"26-08-2018",0.754773,0.92926,0.701038,0.91955,59571200,292422584
"25-08-2018",0.680656,0.768522,0.670552,0.755967,24990400,263707611
"24-08-2018",0.662176,0.695048,0.636067,0.675658,15019200,256547694
"23-08-2018",0.594109,0.659684,0.594109,0.659684,10187900,230176399
"22-08-2018",0.644924,0.693195,0.563195,0.59401,19211700,249863671
"21-08-2018",0.605822,0.656945,0.605822,0.64519,10819900,234714416
"20-08-2018",0.675881,0.70296,0.610464,0.611278,13737500,261857492
"19-08-2018",0.63422,0.690921,0.621846,0.676745,13834400,245716637
"18-08-2018",0.737003,0.765635,0.596191,0.632467,21793900,285538094
"17-08-2018",0.560834,0.744492,0.55708,0.740633,34623400,217284688
"16-08-2018",0.520051,0.573919,0.513472,0.557604,13065200,201483872
"15-08-2018",0.560312,0.602929,0.520166,0.522874,18353800,217082349
"14-08-2018",0.602187,0.602187,0.490325,0.557785,20985800,233306177
"13-08-2018",0.698033,0.717247,0.60085,0.601415,15913500,270439689
"12-08-2018",0.66946,0.709171,0.663035,0.695576,8433950,259369923
"11-08-2018",0.729879,0.730367,0.645359,0.670142,13323500,282777961
"10-08-2018",0.803412,0.820143,0.714263,0.730515,11670300,311267042
"09-08-2018",0.762727,0.83169,0.736519,0.808687,16517200,295504306
"08-08-2018",0.86249,0.86249,0.732538,0.75973,19812200,334155633
"07-08-2018",0.868045,1.01,0.832444,0.863618,40709800,336307804
"06-08-2018",0.925718,0.960405,0.850386,0.865187,12524500,358652215
"05-08-2018",0.885248,0.931139,0.869905,0.925672,12694800,342972659
"04-08-2018",0.961207,0.99183,0.863327,0.880931,15799600,372401775
"03-08-2018",1.01,1.01,0.896629,0.961473,22627600,391701089
"02-08-2018",1.06,1.24,0.989309,1.02,22177000,411995515
"01-08-2018",1.11,1.21,1.02,1.21,24678400,430062048
"31-07-2018",1.25,1.25,1.1,1.11,20125400,482593200
"30-07-2018",1.35,1.35,1.21,1.24,19664500,522009496
"29-07-2018",1.3,1.43,1.27,1.34,16778100,503106720
"28-07-2018",1.31,1.46,1.29,1.3,14977000,505783872
"27-07-2018",1.29,1.34,1.26,1.3,19809000,498500160
"26-07-2018",1.36,1.39,1.27,1.28,22062800,526232512
"25-07-2018",1.31,1.4,1.29,1.36,30331400,507143744
"24-07-2018",1.3,1.35,1.24,1.31,29808700,504606080
"23-07-2018",1.36,1.42,1.29,1.3,23617900,526972480
"22-07-2018",1.38,1.43,1.35,1.36,28629400,535093024
"21-07-2018",1.33,1.42,1.29,1.38,27593700,514020672
"20-07-2018",1.49,1.49,1.31,1.33,37188200,576989888
"19-07-2018",1.55,1.59,1.46,1.49,35478200,601990784
"18-07-2018",1.62,1.75,1.52,1.56,44015600,629436416
"17-07-2018",1.5,1.67,1.44,1.63,41946400,580465152
"16-07-2018",1.37,1.51,1.36,1.51,29339000,530246304
"15-07-2018",1.33,1.4,1.32,1.37,25297100,515167456
"14-07-2018",1.33,1.33,1.29,1.33,22364700,513888960
"13-07-2018",1.33,1.38,1.3,1.33,29076600,514349984
"12-07-2018",1.44,1.44,1.27,1.32,30114800,558958784
"11-07-2018",1.42,1.48,1.4,1.44,31598500,549954880
"10-07-2018",1.64,1.64,1.42,1.42,33099700,633957760
"09-07-2018",1.72,1.74,1.63,1.63,30941500,668249344
"08-07-2018",1.73,1.79,1.7,1.73,33087300,671403008
"07-07-2018",1.69,1.74,1.61,1.74,29012700,654441280
"06-07-2018",1.67,1.71,1.56,1.69,35597200,648455488
"05-07-2018",1.76,1.78,1.64,1.68,34453900,680124096
"04-07-2018",1.67,1.84,1.62,1.75,38892900,646297472
"03-07-2018",1.76,1.82,1.67,1.67,49457000,681561472
"02-07-2018",1.67,1.8,1.59,1.76,48343800,645941056
"01-07-2018",1.56,1.75,1.54,1.66,53061500,605721792
"30-06-2018",1.52,1.63,1.52,1.56,33535800,590580992
"29-06-2018",1.41,1.55,1.38,1.52,33934400,548172736
"28-06-2018",1.52,1.58,1.41,1.42,31839700,588727744
"27-06-2018",1.48,1.54,1.45,1.52,28190500,572805568
"26-06-2018",1.63,1.64,1.48,1.48,23964600,633314432
"25-06-2018",1.58,1.68,1.55,1.63,36657000,611286080
"24-06-2018",1.75,1.75,1.46,1.58,40809300,677080128
"23-06-2018",1.79,1.82,1.71,1.75,30862800,692568832
"22-06-2018",1.99,2.0,1.71,1.79,43267400,772319616
"21-06-2018",2.08,2.1,1.98,1.99,39188300,806087744
"20-06-2018",2.11,2.12,2.01,2.08,42506400,816727616
"19-06-2018",2.12,2.18,2.06,2.11,40532200,822090624
"18-06-2018",1.99,2.16,1.95,2.12,46687300,771876928
"17-06-2018",2.03,2.09,1.99,2.0,40030100,787264832
"16-06-2018",2.02,2.05,1.9,2.03,53683100,780396288
"15-06-2018",2.3,2.3,2.0,2.01,50939700,889305088
"14-06-2018",2.0,2.35,1.98,2.3,80089000,799329600
"13-06-2018",1.91,2.06,1.85,2.0,60707500,763177920
"12-06-2018",2.16,2.16,1.86,1.9,23543900,865635456
