"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",631.81,692.5,611.95,622.61,451100,460103452
"26-10-2018",657.21,658.85,630.93,631.71,309159,478599922
"25-10-2018",685.82,685.98,656.62,657.92,267594,499433441
"24-10-2018",663.56,692.21,660.16,685.79,699006,483221395
"23-10-2018",673.59,680.08,662.45,664.28,186795,490527719
"22-10-2018",681.22,686.16,668.92,673.11,359580,496083300
"21-10-2018",676.76,691.8,665.12,681.23,383623,492839211
"20-10-2018",673.12,678.35,670.45,672.68,105171,490187784
"19-10-2018",660.08,677.1,639.08,673.29,639289,480687843
"18-10-2018",644.58,681.71,635.98,659.78,625555,469399335
"17-10-2018",698.35,701.18,636.75,644.52,665200,508554779
"16-10-2018",680.56,706.01,655.44,696.97,1418550,495601889
"15-10-2018",644.18,681.21,636.12,679.97,518799,469108248
"14-10-2018",643.45,658.27,640.62,643.46,127170,468578434
"13-10-2018",647.11,658.63,641.8,643.31,114266,471239861
"12-10-2018",637.07,654.3,635.08,647.55,612373,463931493
"11-10-2018",683.54,684.67,614.79,637.74,1607590,497776305
"10-10-2018",738.42,740.28,628.01,684.87,2062310,537741938
"09-10-2018",756.56,785.97,728.85,739.77,1003590,550951200
"08-10-2018",627.49,778.7,627.49,752.53,4088190,456955547
"07-10-2018",637.65,641.61,603.32,622.09,581395,464357922
"06-10-2018",608.64,645.96,606.89,636.08,1431580,443230916
"05-10-2018",530.86,614.63,524.56,607.09,1001090,386588183
"04-10-2018",503.56,531.77,495.41,530.86,1453360,366707174
"03-10-2018",495.68,508.7,487.55,503.24,1695780,360967225
"02-10-2018",485.12,522.43,473.42,495.5,1088660,353278675
"01-10-2018",493.59,496.01,470.36,485.64,205022,359444364
"30-09-2018",491.82,497.81,472.05,494.22,117395,358155165
"29-09-2018",476.87,492.23,462.61,491.97,168445,347266840
"28-09-2018",471.7,481.3,465.27,476.87,410884,343504404
"27-09-2018",443.96,476.06,438.72,471.69,282318,323302439
"26-09-2018",445.32,461.33,429.82,443.96,311190,324296441
"25-09-2018",452.9,458.69,424.88,439.9,696105,329815908
"24-09-2018",478.09,478.09,448.78,453.14,586175,348157790
"23-09-2018",460.06,500.58,451.01,476.68,101152,335029133
"22-09-2018",439.75,505.11,419.42,459.97,95475,320236740
"21-09-2018",427.77,443.2,415.41,439.34,1132620,311516963
"20-09-2018",406.17,419.35,387.79,419.35,1599250,295782839
"19-09-2018",458.7,458.7,397.21,406.08,727736,334037665
"18-09-2018",383.44,438.93,378.25,436.66,1390880,279234147
"17-09-2018",418.73,423.89,379.07,383.52,315799,304932044
"16-09-2018",431.42,431.42,405.76,419.24,175993,314172234
"15-09-2018",411.37,435.24,405.75,430.88,384915,299567143
"14-09-2018",354.18,418.42,352.52,412.69,1014920,257919973
"13-09-2018",308.06,357.34,307.27,354.99,200908,224337289
"12-09-2018",331.85,333.37,291.36,307.83,438368,241662901
"11-09-2018",338.3,344.12,328.05,331.93,236833,226059835
"10-09-2018",341.3,344.65,335.12,337.76,62879,228066374
"09-09-2018",349.92,354.28,335.62,342.67,298430,233828738
"08-09-2018",389.41,393.28,341.42,350.49,378593,260213029
"07-09-2018",395.03,401.32,387.85,389.22,204300,263967854
"06-09-2018",412.12,412.12,375.34,395.2,226056,275387252
"05-09-2018",468.53,480.88,398.05,411.05,296918,313084654
"04-09-2018",474.63,491.62,463.67,466.97,63651,317160256
"03-09-2018",514.28,515.48,477.57,478.89,144658,343656564
"02-09-2018",485.81,511.86,481.97,511.86,414041,324630589
"01-09-2018",447.82,499.83,434.27,486.04,441897,299242788
"31-08-2018",440.59,449.0,429.26,443.11,51890,294416877
"30-08-2018",448.96,452.63,431.57,439.81,190750,300009349
"29-08-2018",462.14,469.06,448.82,448.82,301758,308813323
"28-08-2018",455.19,463.69,449.73,462.19,222993,304173149
"27-08-2018",429.18,453.98,426.49,453.98,248331,286789500
"26-08-2018",439.38,439.38,427.35,428.73,119628,293606084
"25-08-2018",439.31,447.68,433.86,439.24,250994,293556754
"24-08-2018",432.5,443.18,427.06,439.8,199001,289011875
"23-08-2018",411.82,434.45,404.11,432.22,225255,275192604
"22-08-2018",429.97,446.77,402.42,411.79,289982,287320567
"21-08-2018",423.22,439.5,421.27,430.23,115973,282807684
"20-08-2018",457.04,462.1,422.38,422.38,163838,305408294
"19-08-2018",433.54,461.59,432.16,456.79,465103,289705614
"18-08-2018",447.7,457.56,419.94,433.55,92590,299163521
"17-08-2018",424.48,447.24,420.84,446.75,416306,283646864
"16-08-2018",408.38,435.8,405.08,423.99,487917,272888209
"15-08-2018",403.54,431.01,401.72,407.9,442452,269654927
"14-08-2018",420.72,420.72,370.82,401.29,733677,281138644
"13-08-2018",475.32,479.75,417.91,420.21,402101,317619479
"12-08-2018",469.81,484.01,465.81,474.36,196767,313941311
"11-08-2018",474.74,482.6,438.74,474.21,707828,317231386
"10-08-2018",514.63,519.79,470.15,474.63,368763,343889816
"09-08-2018",510.1,519.84,497.7,515.29,272003,340864478
"08-08-2018",518.88,518.88,489.63,509.43,616748,346728642
"07-08-2018",541.86,554.22,511.24,518.84,274238,362083810
"06-08-2018",565.15,568.12,538.35,542.18,131891,377651877
"05-08-2018",549.39,565.58,540.19,564.68,164037,367119704
"04-08-2018",557.08,562.52,545.26,548.79,155862,372255114
"03-08-2018",584.32,589.53,555.68,556.27,191160,390459223
"02-08-2018",592.69,599.07,561.28,584.2,170048,396054284
"01-08-2018",609.45,610.3,584.47,593.78,46226,407252646
"31-07-2018",636.66,638.38,605.18,609.52,108317,425433793
"30-07-2018",650.98,650.98,613.51,638.26,182004,434999556
"29-07-2018",627.45,653.42,627.24,650.78,41694,419280864
"28-07-2018",649.91,651.42,623.43,628.34,19367,434290592
"27-07-2018",631.83,650.55,622.59,648.96,120437,422204352
"26-07-2018",642.74,667.33,628.05,631.82,361773,429499392
"25-07-2018",640.45,649.4,625.54,644.32,612094,427967840
"24-07-2018",609.84,645.18,603.36,641.49,394566,407512704
"23-07-2018",608.36,628.74,607.65,610.17,438567,406521024
"22-07-2018",622.07,628.65,606.14,608.44,263359,415687104
"21-07-2018",603.86,628.52,596.21,622.28,503033,403517344
"20-07-2018",616.26,623.19,597.86,603.9,513185,411801344
"19-07-2018",648.48,650.27,616.48,616.48,758094,433331680
"18-07-2018",667.85,685.71,618.96,648.78,1093170,446273888
"17-07-2018",598.97,673.95,590.24,667.95,757716,400251712
"16-07-2018",574.22,598.51,563.13,598.51,311330,383711776
"15-07-2018",556.98,584.5,543.49,573.46,370642,372187488
"14-07-2018",559.37,563.68,555.24,557.48,155067,373787904
"13-07-2018",556.89,567.69,552.14,558.94,146196,372132032
"12-07-2018",567.68,573.68,545.27,555.98,336822,379336896
"11-07-2018",554.76,571.69,544.4,568.07,166170,370706048
"10-07-2018",568.79,579.99,548.69,554.33,145450,380083936
"09-07-2018",576.37,582.9,567.78,569.57,65372,385146432
"08-07-2018",570.99,586.5,568.86,574.09,63922,381548704
"07-07-2018",547.4,572.32,536.42,571.15,85054,365785216
"06-07-2018",549.72,558.21,544.89,548.0,90825,339853408
"05-07-2018",549.27,570.81,538.29,549.03,71664,339573984
"04-07-2018",546.44,580.69,540.12,547.6,63591,337824992
"03-07-2018",566.52,567.98,544.41,546.45,93420,350237152
"02-07-2018",532.13,574.01,520.05,567.42,260602,328980000
"01-07-2018",531.74,541.85,525.11,531.9,119618,328734592
"30-06-2018",521.51,539.45,521.51,530.92,115533,322413216
"29-06-2018",489.14,523.77,482.0,521.24,88561,302402400
"28-06-2018",492.2,496.24,479.09,490.61,50429,304292128
"27-06-2018",485.23,495.14,476.86,491.49,29987,299979936
"26-06-2018",522.62,525.13,484.63,485.58,314648,323096672
"25-06-2018",511.38,544.2,502.42,522.24,85704,316150176
"24-06-2018",537.95,539.76,485.68,512.75,57657,332574048
"23-06-2018",526.58,545.22,521.69,537.38,28427,325545984
"22-06-2018",571.6,586.47,514.52,526.43,133458,353381888
"21-06-2018",570.16,611.6,554.26,573.87,32455,352488928
"20-06-2018",566.46,614.33,539.99,570.4,133761,350201024
"19-06-2018",548.25,571.83,542.55,565.85,91244,338945536
"18-06-2018",538.64,567.11,494.29,548.34,155346,333002656
"17-06-2018",556.68,586.98,531.74,538.64,138306,344155072
"16-06-2018",573.59,578.53,539.03,555.96,359655,354606400
"15-06-2018",620.16,621.77,568.13,574.82,268565,383402560
"14-06-2018",604.8,620.11,574.14,620.02,407584,373903456
"13-06-2018",650.0,650.0,595.31,604.28,298301,401845472
"12-06-2018",695.41,697.27,642.23,652.69,109627,429924064
"11-06-2018",686.98,701.78,671.24,694.94,157922,424713152
"10-06-2018",784.52,784.52,670.98,685.63,123650,485010208
"09-06-2018",786.26,798.31,782.63,782.63,74850,486087040
"08-06-2018",796.51,805.42,776.8,784.77,42034,492423552
"07-06-2018",796.92,812.46,791.02,795.26,297481,492676928
"06-06-2018",797.38,801.38,695.18,796.97,375265,492962400
"05-06-2018",787.57,819.35,701.1,799.24,517902,486899680
"04-06-2018",807.58,843.24,782.85,794.14,125065,499265376
"03-06-2018",787.33,808.57,774.66,808.57,92521,486751776
"02-06-2018",769.23,789.39,757.72,787.65,251499,475558528
"01-06-2018",753.51,772.95,746.13,770.33,115444,465841920
"31-05-2018",740.03,764.76,734.52,752.74,104654,457505600
"30-05-2018",751.51,769.34,731.56,740.53,97378,464600992
"29-05-2018",703.19,751.7,695.84,751.36,154890,434731424
"28-05-2018",771.08,780.92,701.27,701.75,216474,476705344
"27-05-2018",756.75,770.65,741.15,767.89,394412,467845632
"26-05-2018",779.66,799.53,755.51,755.51,82813,482008608
"25-05-2018",781.83,793.27,761.67,780.38,268019,483349344
"24-05-2018",758.74,782.53,736.49,781.23,251658,469077024
"23-05-2018",858.3,866.59,746.69,760.67,1293800,530627616
"22-05-2018",903.36,905.67,855.27,859.02,550632,558484544
"21-05-2018",923.87,931.03,898.22,904.69,213875,571159744
"20-05-2018",894.06,945.23,886.09,922.77,359353,552734208
"19-05-2018",906.89,918.83,883.39,893.81,181159,560663104
"18-05-2018",868.44,909.06,858.28,907.4,56991,536892224
"17-05-2018",900.24,914.3,862.84,868.32,57979,556556480
"16-05-2018",926.87,929.82,871.59,899.51,201531,573018688
"15-05-2018",957.23,976.55,917.32,927.68,322976,591788992
"14-05-2018",990.55,992.92,950.9,958.85,480194,612384000
"13-05-2018",937.46,997.28,930.84,991.02,195475,579564096
"12-05-2018",950.01,957.02,899.64,938.13,294540,587319616
"11-05-2018",1071.24,1071.24,952.77,952.77,510666,662270464
"10-05-2018",1025.05,1112.16,1016.19,1070.39,2043870,633713664
"09-05-2018",1007.16,1053.88,977.52,1024.29,164928,622654912
"08-05-2018",1029.14,1037.71,997.31,1008.54,162549,636243584
"07-05-2018",1068.58,1078.2,972.54,1026.06,223153,660626048
"06-05-2018",1161.75,1162.32,974.86,1066.23,721690,718226688
"05-05-2018",1144.3,1194.44,1082.48,1154.58,1337290,707435648
"04-05-2018",1132.16,1184.22,1107.9,1143.79,358328,699933632
"03-05-2018",1038.69,1145.04,1037.58,1141.7,218963,642144256
"02-05-2018",1041.01,1063.11,1029.54,1038.97,176261,643582144
"01-05-2018",1051.01,1051.01,1003.65,1042.01,97283,649760960
"30-04-2018",1075.43,1077.0,1046.61,1048.72,131845,664861312
"29-04-2018",1064.56,1081.17,1038.98,1075.23,601462,658143296
"28-04-2018",990.18,1077.75,990.05,1064.61,174175,612159296
"27-04-2018",1012.26,1055.39,989.48,996.33,135676,625806784
"26-04-2018",905.87,1015.48,890.07,1010.22,507992,560034048
"25-04-2018",1046.34,1046.34,898.27,898.27,1086360,646877312
"24-04-2018",960.51,1047.54,960.51,1047.54,1445500,593812672
"23-04-2018",920.55,959.67,919.74,926.9,521808,569107776
"22-04-2018",903.13,941.45,890.3,923.29,239192,558341952
"21-04-2018",910.54,918.99,882.91,908.37,193786,562920640
"20-04-2018",851.16,921.99,847.54,909.99,187741,526207744
"19-04-2018",776.08,877.7,773.07,851.54,444714,479796864
"18-04-2018",750.37,797.28,748.75,775.74,500472,463902176
"17-04-2018",741.57,770.4,738.92,749.9,151414,458459232
"16-04-2018",771.21,775.04,732.71,742.04,234067,476784160
"15-04-2018",716.89,770.71,716.89,770.71,179877,443202048
"14-04-2018",698.15,754.71,693.54,717.08,162168,431616928
"13-04-2018",660.71,732.19,644.03,698.51,382834,408466976
"12-04-2018",589.8,663.5,582.9,660.29,226496,364629120
"11-04-2018",569.93,591.49,560.1,591.49,839176,352348064
"10-04-2018",530.76,568.91,524.41,568.91,248767,328129568
"09-04-2018",527.12,557.09,515.18,530.82,218185,325882592
"08-04-2018",512.14,535.77,503.17,526.41,41781,316618944
"07-04-2018",484.11,519.1,481.21,511.93,75473,299290592
"06-04-2018",500.65,505.82,475.44,484.15,111595,309516544
"05-04-2018",502.11,506.33,478.8,502.49,65316,310418496
"04-04-2018",526.63,541.18,487.4,503.57,54718,325577184
"03-04-2018",503.19,535.36,500.88,526.3,96666,311085888
"02-04-2018",490.15,515.49,487.88,504.46,63934,303022592
"01-04-2018",517.66,523.06,473.2,488.91,56166,320034944
"31-03-2018",509.12,538.91,506.34,517.55,58319,314751008
"30-03-2018",496.89,525.23,474.42,513.58,114540,307190624
"29-03-2018",582.04,619.28,465.96,498.16,1943640,359834784
"28-03-2018",587.05,604.7,578.2,580.03,209768,362932960
"27-03-2018",637.89,647.75,583.49,590.98,132833,394358176
"26-03-2018",679.49,684.3,608.78,643.26,208885,420079456
"25-03-2018",680.44,696.67,668.16,680.64,57396,420665632
"24-03-2018",713.16,714.77,675.89,688.72,89348,440892128
"23-03-2018",699.57,706.5,653.75,706.5,51689,432491264
"22-03-2018",709.68,730.79,679.16,686.59,134714,438745728
"21-03-2018",713.46,756.25,701.31,708.19,148390,441082656
"20-03-2018",701.15,718.61,664.73,710.57,469812,433470304
"19-03-2018",666.5,703.07,653.39,692.24,463696,412048576
"18-03-2018",666.82,677.02,572.83,670.43,753135,412247424
"17-03-2018",708.48,724.07,658.89,662.71,218728,438003360
"16-03-2018",735.94,741.94,696.47,710.6,712502,454977312
"15-03-2018",747.03,748.63,704.88,734.2,671045,461834752
"14-03-2018",803.39,825.74,731.71,750.18,655764,496679840
"13-03-2018",810.08,826.93,764.48,804.29,708845,500812832
"12-03-2018",825.42,862.59,782.82,810.51,842693,510295392
"11-03-2018",793.49,862.83,766.64,833.43,756465,490556768
"10-03-2018",827.33,852.11,788.38,795.99,1352570,511477472
"09-03-2018",832.33,836.29,755.69,827.32,876707,514567008
"08-03-2018",855.71,902.77,819.73,834.79,687914,529021696
"07-03-2018",949.8,958.31,842.27,856.1,885248,587194752
"06-03-2018",965.59,974.3,940.61,947.8,612383,596956032
"05-03-2018",996.58,1003.66,963.14,968.61,900388,616112832
"04-03-2018",1002.14,1010.03,837.91,974.04,603578,619548416
"03-03-2018",1013.97,1033.89,987.27,1005.8,798650,626866048
"02-03-2018",1044.55,1050.54,1005.7,1015.29,1038790,645772544
"01-03-2018",1029.45,1057.16,1018.36,1044.7,1106640,636435840
"28-02-2018",1054.14,1080.4,1015.28,1028.82,312214,651699264
"27-02-2018",1037.21,1067.51,1025.52,1054.3,332902,641232320
"26-02-2018",997.31,1054.52,997.09,1037.54,651886,616566976
"25-02-2018",982.4,1009.67,963.35,997.77,687989,607347904
"24-02-2018",1031.9,1055.75,949.01,986.05,1371900,637947008
"23-02-2018",956.57,1056.67,938.0,1024.78,911752,591377856
"22-02-2018",993.64,1028.23,939.82,959.04,1210590,614296960
"21-02-2018",1053.89,1079.43,968.27,993.29,882767,651544896
"20-02-2018",1111.92,1162.49,1051.98,1057.06,814543,687417600
"19-02-2018",1074.61,1173.63,1072.96,1111.34,1206840,664355968
"18-02-2018",1161.06,1166.15,1067.55,1077.59,1327250,717802240
"17-02-2018",1144.35,1216.14,1118.88,1165.32,1223070,707468224
"16-02-2018",1135.04,1173.16,1103.69,1143.95,1683010,701714304
"15-02-2018",1122.85,1165.78,1104.9,1136.92,886075,694178368
"14-02-2018",1008.05,1124.53,1008.05,1119.5,900798,623203072
"13-02-2018",1074.88,1080.41,997.84,1010.04,664687,664523392
"12-02-2018",1000.37,1104.46,998.92,1074.47,936639,618455680
"11-02-2018",1062.9,1062.9,970.87,987.8,643665,657111232
"10-02-2018",1086.68,1211.66,1021.71,1064.13,891114,671813696
"09-02-2018",1014.67,1100.89,964.55,1093.8,643441,627299392
"08-02-2018",914.3,1043.18,914.3,1008.62,751872,565244160
"07-02-2018",913.46,1021.23,833.05,914.29,412692,564724800
"06-02-2018",825.86,926.05,648.28,910.79,501568,510568928
"05-02-2018",1054.28,1069.87,725.43,821.42,1266110,651786112
"04-02-2018",1206.79,1209.65,1015.16,1061.91,579735,746068992
"03-02-2018",1148.97,1254.39,1069.47,1212.87,543682,710326720
"02-02-2018",1269.93,1269.93,980.24,1148.23,716121,785105472
"01-02-2018",1387.76,1399.66,1189.36,1272.67,700913,857953152
"31-01-2018",1280.96,1386.99,1243.83,1386.99,1062640,791922688
"30-01-2018",1402.36,1411.09,1251.44,1277.84,1076760,866977664
"29-01-2018",1489.39,1499.12,1307.31,1403.35,1049540,920782784
"28-01-2018",1448.22,1587.4,1424.63,1488.36,2374320,895327552
"27-01-2018",1464.07,1485.12,1335.97,1439.89,1847870,905128640
"26-01-2018",1348.45,1497.72,1348.45,1472.36,1693530,833647552
"25-01-2018",1544.26,1599.04,1321.09,1345.57,2070310,954707392
"24-01-2018",1526.66,1590.37,1478.97,1535.29,1786450,943823232
"23-01-2018",1515.2,1568.57,1425.9,1523.41,1562460,936737024
"22-01-2018",1586.42,1659.13,1390.24,1524.56,1408450,980768832
"21-01-2018",1692.21,1720.51,1537.69,1576.73,1261940,1046169984
"20-01-2018",1573.92,1767.04,1562.56,1690.19,1254440,973042816
