"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",2.04,2.12,1.99,1.99,4629200,271670488
"26-10-2018",1.97,2.07,1.97,2.04,3654200,262987040
"25-10-2018",2.03,2.03,1.96,1.97,2436910,270502378
"24-10-2018",1.99,2.06,1.99,2.03,2985800,265541654
"23-10-2018",2.0,2.07,1.96,2.0,4346140,266528284
"22-10-2018",2.03,2.05,1.96,2.0,3863950,270617985
"21-10-2018",2.12,2.15,2.02,2.03,3575660,282303083
"20-10-2018",1.99,2.11,1.97,2.11,3904110,265192800
"19-10-2018",1.98,2.05,1.96,1.99,3597410,264440418
"18-10-2018",2.09,2.18,1.91,1.98,8587790,278898604
"17-10-2018",1.92,2.13,1.9,2.09,11465900,255256261
"16-10-2018",1.84,1.98,1.82,1.91,5163660,244611561
"15-10-2018",1.81,1.96,1.78,1.84,5396030,241507378
"14-10-2018",1.85,1.87,1.81,1.81,2137370,246192873
"13-10-2018",1.88,1.89,1.82,1.84,2033460,250392304
"12-10-2018",1.78,1.91,1.76,1.87,2988930,237500005
"11-10-2018",2.16,2.16,1.76,1.8,7994340,287395347
"10-10-2018",2.17,2.19,2.11,2.17,3339100,288711531
"09-10-2018",2.22,2.23,2.15,2.18,2379860,296017418
"08-10-2018",2.16,2.24,2.13,2.22,3412750,287315512
"07-10-2018",2.17,2.18,2.11,2.15,1471170,288581755
"06-10-2018",2.2,2.22,2.14,2.16,2080280,292935964
"05-10-2018",2.17,2.21,2.16,2.2,2247670,289023438
"04-10-2018",2.17,2.23,2.16,2.18,2994850,289312344
"03-10-2018",2.17,2.18,2.07,2.17,4048960,288764680
"02-10-2018",2.25,2.26,2.17,2.17,2789360,299828697
"01-10-2018",2.23,2.32,2.18,2.26,4488030,297067950
"30-09-2018",2.22,2.27,2.2,2.24,3399510,295700078
"29-09-2018",2.27,2.27,2.17,2.23,9375090,302343616
"28-09-2018",2.35,2.38,2.24,2.27,9256420,312812633
"27-09-2018",2.22,2.38,2.2,2.34,9294940,296047344
"26-09-2018",2.25,2.34,2.17,2.22,11663700,299942016
"25-09-2018",2.21,2.24,2.07,2.23,11931900,295096692
"24-09-2018",2.4,2.43,2.22,2.25,12236600,319863289
"23-09-2018",2.39,2.46,2.34,2.4,11474900,318866509
"22-09-2018",2.58,2.62,2.32,2.39,14555300,343301851
"21-09-2018",2.58,2.68,2.49,2.58,18733700,343791727
"20-09-2018",2.3,2.65,2.3,2.58,19894500,306802726
"19-09-2018",2.37,2.39,2.17,2.3,14434000,315160638
"18-09-2018",2.16,2.44,2.16,2.38,15786700,287601844
"17-09-2018",2.48,2.65,2.12,2.18,23731300,330368745
"16-09-2018",2.49,2.58,2.36,2.47,16890700,331667361
"15-09-2018",2.55,2.74,2.47,2.49,26965800,339136571
"14-09-2018",2.42,2.76,2.29,2.57,40858600,322004478
"13-09-2018",2.04,2.51,1.98,2.41,42119100,272328771
"12-09-2018",1.77,2.05,1.62,2.05,15693700,235674232
"11-09-2018",1.95,2.03,1.7,1.77,12907300,259680393
"10-09-2018",1.99,2.06,1.89,1.95,11151400,265739479
"09-09-2018",2.13,2.15,1.92,1.99,20230400,283467412
"08-09-2018",2.36,2.44,2.1,2.13,10560000,314476400
"07-09-2018",2.45,2.56,2.34,2.35,11667300,326606548
"06-09-2018",2.33,2.48,2.19,2.45,18095600,310756679
"05-09-2018",3.02,3.03,2.37,2.37,18525900,401849206
"04-09-2018",2.92,3.18,2.89,3.03,19157800,389013249
"03-09-2018",2.99,3.0,2.85,2.92,14756800,398297446
"02-09-2018",3.09,3.14,2.92,2.99,13813800,411644628
"01-09-2018",3.08,3.28,3.07,3.07,17186400,410287811
"31-08-2018",3.05,3.23,2.96,3.08,31594300,406194234
"30-08-2018",2.85,3.13,2.52,3.09,40838300,379537104
"29-08-2018",3.19,3.23,2.83,2.84,26403300,424967538
"28-08-2018",3.0,3.43,3.0,3.22,44283100,400406772
"27-08-2018",3.52,3.52,2.87,3.01,61099000,469438488
"26-08-2018",2.87,3.72,2.67,3.55,97808500,382438872
"25-08-2018",2.54,3.01,2.29,2.84,38404200,337875188
"24-08-2018",2.02,2.63,1.98,2.51,37874200,268530390
"23-08-2018",1.83,2.02,1.81,2.01,9798830,243789161
"22-08-2018",1.83,2.07,1.69,1.81,13051600,243326352
"21-08-2018",1.61,1.83,1.6,1.81,6422360,215123492
"20-08-2018",1.73,1.89,1.6,1.62,10125700,230323465
"19-08-2018",1.51,1.78,1.47,1.74,8779470,201837243
"18-08-2018",1.77,1.77,1.41,1.53,10937300,235449166
"17-08-2018",1.37,1.95,1.36,1.75,26302700,181887029
"16-08-2018",1.09,1.38,1.08,1.36,5490960,145833955
"15-08-2018",0.971173,1.27,0.971173,1.09,7113750,129407195
"14-08-2018",1.01,1.02,0.780078,0.963987,4596500,135116330
"13-08-2018",1.16,1.19,1.0,1.02,2829220,154205290
"12-08-2018",1.12,1.17,1.1,1.16,2259580,148616098
"11-08-2018",1.19,1.2,1.06,1.12,3208010,158799656
"10-08-2018",1.36,1.37,1.19,1.2,3061930,181109105
"09-08-2018",1.31,1.38,1.24,1.36,4092410,174249317
"08-08-2018",1.5,1.5,1.27,1.31,4914090,200177717
"07-08-2018",1.55,1.66,1.5,1.5,4048680,206921469
"06-08-2018",1.61,1.63,1.52,1.55,3348580,214257981
"05-08-2018",1.58,1.63,1.53,1.6,3550240,209917273
"04-08-2018",1.59,1.72,1.47,1.57,4765580,211755865
"03-08-2018",1.66,1.66,1.41,1.59,7004370,220564006
"02-08-2018",1.65,1.79,1.5,1.67,6475960,219647442
"01-08-2018",1.76,1.79,1.62,1.65,5167700,234440425
"31-07-2018",2.08,2.09,1.76,1.77,6141510,277686336
"30-07-2018",2.19,2.19,2.01,2.1,5025110,291508621
"29-07-2018",2.21,2.23,2.14,2.19,4589150,294862464
"28-07-2018",2.25,2.26,2.18,2.21,4697370,299315616
"27-07-2018",2.22,2.29,2.13,2.24,5761270,296372192
"26-07-2018",2.42,2.47,2.19,2.22,5386540,322538144
"25-07-2018",2.27,2.48,2.27,2.43,5695510,302452288
"24-07-2018",2.26,2.38,2.14,2.31,6392130,300814688
"23-07-2018",2.34,2.45,2.23,2.25,5253020,311216032
"22-07-2018",2.41,2.44,2.31,2.33,4368830,321646688
"21-07-2018",2.3,2.51,2.25,2.42,5532660,306844160
"20-07-2018",2.63,2.65,2.27,2.31,9277250,350769472
"19-07-2018",2.8,2.87,2.63,2.63,6153770,372808704
"18-07-2018",2.99,3.12,2.74,2.79,8128170,398561632
"17-07-2018",2.63,3.03,2.59,2.97,7649870,349898016
"16-07-2018",2.37,2.64,2.37,2.64,5101520,316204864
"15-07-2018",2.3,2.42,2.29,2.37,3611210,306948096
"14-07-2018",2.34,2.36,2.26,2.3,3760110,312226048
