"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.001616,0.001631,0.001598,0.001619,7929710,203051821
"26-10-2018",0.001614,0.00165,0.001573,0.001616,7543490,202886900
"25-10-2018",0.001644,0.001669,0.001589,0.001647,5644750,206570244
"24-10-2018",0.00162,0.001685,0.001592,0.001644,6995740,203574677
"23-10-2018",0.001663,0.001671,0.001588,0.001598,15113800,208954307
"22-10-2018",0.001517,0.00187,0.001513,0.001662,33736400,190605801
"21-10-2018",0.001515,0.001741,0.0015,0.001517,13972600,190309870
"20-10-2018",0.001504,0.001526,0.001501,0.001514,14236700,188986527
"19-10-2018",0.001522,0.001534,0.001446,0.001505,7396070,191194153
"18-10-2018",0.001552,0.001559,0.001488,0.001524,2895030,194898754
"17-10-2018",0.001586,0.001586,0.001511,0.001549,1590430,199080495
"16-10-2018",0.001577,0.001589,0.001545,0.001577,2625500,198047251
"15-10-2018",0.001557,0.001731,0.001527,0.001577,13286200,195439066
"14-10-2018",0.001491,0.001625,0.001458,0.001544,12575600,187259075
"13-10-2018",0.001471,0.001673,0.001461,0.001487,8315730,184649853
"12-10-2018",0.001425,0.001504,0.001386,0.001492,7882240,178897545
"11-10-2018",0.001697,0.001697,0.001436,0.001465,10175000,213018245
"10-10-2018",0.001527,0.001732,0.001523,0.001652,13625000,191785242
"09-10-2018",0.001539,0.001569,0.001482,0.001552,5320430,193264823
"08-10-2018",0.001519,0.001565,0.001433,0.001538,7837200,190647341
"07-10-2018",0.001502,0.001522,0.001461,0.001512,7604330,188578269
"06-10-2018",0.001557,0.001559,0.001498,0.001508,10082000,195457260
"05-10-2018",0.001497,0.001556,0.001479,0.001555,9417790,187843586
"04-10-2018",0.001507,0.001551,0.00148,0.001496,8318830,187878905
"03-10-2018",0.001544,0.001553,0.001448,0.001506,6241470,192499286
"02-10-2018",0.001572,0.001656,0.001527,0.001558,8612650,196024665
"01-10-2018",0.001633,0.001642,0.001473,0.001605,9742540,190724821
"30-09-2018",0.001493,0.001666,0.001484,0.001586,10539300,170829231
"29-09-2018",0.001508,0.001529,0.001443,0.001513,2348390,172575090
"28-09-2018",0.001507,0.001529,0.001438,0.001486,1813920,172429643
"27-09-2018",0.001429,0.001518,0.001387,0.001509,2631510,163545137
"26-09-2018",0.00145,0.00149,0.001368,0.001429,2753010,165952194
"25-09-2018",0.001447,0.001452,0.00135,0.00145,2238440,165594584
"24-09-2018",0.001522,0.001524,0.001398,0.001448,4818010,174103258
"23-09-2018",0.001476,0.00154,0.00142,0.001522,2926000,168826455
