"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",1.75,1.76,1.7,1.71,15622000,361584274
"26-10-2018",1.75,1.76,1.71,1.75,19819200,361507006
"25-10-2018",1.79,1.79,1.74,1.75,15563100,369753966
"24-10-2018",1.78,1.8,1.78,1.79,15420400,368546726
"23-10-2018",1.8,1.81,1.77,1.78,22916000,372754853
"22-10-2018",1.82,1.83,1.79,1.8,20541700,376374154
"21-10-2018",1.84,1.86,1.81,1.81,10120300,380938487
"20-10-2018",1.81,1.84,1.8,1.84,14980900,375394720
"19-10-2018",1.83,1.84,1.8,1.81,16683300,379198738
"18-10-2018",1.84,1.89,1.81,1.83,29046100,381484101
"17-10-2018",1.84,1.86,1.81,1.84,22135300,380219163
"16-10-2018",1.85,1.85,1.8,1.83,12614600,382086598
"15-10-2018",1.77,1.92,1.74,1.84,46203400,367430426
"14-10-2018",1.78,1.83,1.75,1.79,13184100,367833547
"13-10-2018",1.77,1.8,1.76,1.78,16584500,366117587
"12-10-2018",1.7,1.8,1.7,1.76,30027400,351684409
"11-10-2018",2.05,2.05,1.72,1.73,40100000,423766987
"10-10-2018",2.06,2.07,2.0,2.05,26966000,427144465
"09-10-2018",2.07,2.15,2.02,2.07,36677700,428156475
"08-10-2018",1.93,2.13,1.92,2.06,47348000,400167630
"07-10-2018",1.93,1.93,1.9,1.93,12476200,399218723
"06-10-2018",1.95,1.97,1.92,1.92,13829800,359088422
"05-10-2018",1.92,1.95,1.91,1.95,14929400,353394804
"04-10-2018",1.91,1.96,1.91,1.92,16595100,351402829
"03-10-2018",1.97,1.99,1.87,1.9,25038300,363749525
"02-10-2018",1.98,2.02,1.96,1.98,14552800,364440446
"01-10-2018",2.0,2.02,1.95,1.98,14864400,369315671
"30-09-2018",1.99,2.02,1.94,2.0,23782700,365935552
"29-09-2018",2.02,2.02,1.92,1.99,38163800,371895381
"28-09-2018",1.92,2.09,1.91,2.01,95418200,353431343
"27-09-2018",1.84,1.94,1.81,1.92,30441500,338058904
"26-09-2018",1.86,1.9,1.8,1.83,32571700,341867050
"25-09-2018",1.9,1.9,1.76,1.85,37902500,349209555
"24-09-2018",2.08,2.08,1.89,1.91,38980500,383205499
"23-09-2018",2.07,2.14,2.01,2.08,46592900,380923290
"22-09-2018",2.18,2.21,1.99,2.06,73489700,400844446
"21-09-2018",1.85,2.17,1.81,2.13,79915700,340693446
"20-09-2018",1.72,1.83,1.7,1.83,33377300,316574020
"19-09-2018",1.73,1.75,1.66,1.71,31727800,318764264
"18-09-2018",1.69,1.75,1.66,1.73,31952700,311471584
"17-09-2018",1.84,1.87,1.68,1.7,48574700,338403903
"16-09-2018",1.86,1.86,1.8,1.83,50569500,341791840
"15-09-2018",1.81,1.91,1.79,1.86,39983900,334013249
"14-09-2018",1.91,1.91,1.78,1.83,58290300,351343539
"13-09-2018",1.74,1.93,1.74,1.9,76165200,321353350
"12-09-2018",1.76,1.76,1.58,1.73,63706500,323323564
"11-09-2018",1.87,1.88,1.72,1.75,42511800,344813191
"10-09-2018",1.86,1.91,1.81,1.84,48876900,343488882
"09-09-2018",1.89,1.97,1.79,1.85,63246200,348032811
"08-09-2018",2.0,2.08,1.85,1.88,65376200,368676223
"07-09-2018",2.07,2.15,1.96,1.99,82835900,381455140
"06-09-2018",1.86,2.09,1.75,2.07,83467300,343397071
"05-09-2018",2.42,2.44,1.84,1.86,88428700,445553242
"04-09-2018",2.42,2.5,2.41,2.42,59541000,444994998
"03-09-2018",2.5,2.51,2.36,2.42,60887800,460407117
"02-09-2018",2.61,2.62,2.42,2.49,84043700,481585826
"01-09-2018",2.48,2.65,2.48,2.62,102917000,457714055
"31-08-2018",2.5,2.54,2.41,2.47,91304400,461136203
"30-08-2018",2.55,2.59,2.32,2.51,115737000,470215013
"29-08-2018",2.81,2.84,2.49,2.54,136419000,517295567
"28-08-2018",2.66,2.85,2.57,2.81,127542000,489415340
"27-08-2018",2.38,2.66,2.33,2.66,137623000,438267699
"26-08-2018",2.35,2.44,2.2,2.39,106828000,433613733
"25-08-2018",2.17,2.46,2.13,2.36,91870600,398857499
"24-08-2018",2.19,2.2,2.09,2.17,66227700,403294026
"23-08-2018",2.08,2.18,2.03,2.17,101060000,314875678
"22-08-2018",2.26,2.48,1.99,2.1,154242000,341541894
"21-08-2018",2.12,2.36,2.12,2.25,135055000,320128101
"20-08-2018",2.37,2.69,2.13,2.15,214112000,358874017
"19-08-2018",2.1,2.42,2.03,2.37,151163000,317571758
"18-08-2018",2.69,2.84,1.8,2.13,229102000,406276473
"17-08-2018",1.72,2.73,1.72,2.73,142426000,260798272
"16-08-2018",1.32,1.76,1.31,1.72,49221300,200139178
"15-08-2018",1.22,1.43,1.21,1.32,24780400,185084317
"14-08-2018",1.27,1.27,1.07,1.21,21217900,192311692
"13-08-2018",1.51,1.53,1.26,1.27,18473000,227812800
"12-08-2018",1.47,1.58,1.43,1.5,17590300,221750316
"11-08-2018",1.67,1.67,1.38,1.45,26307200,252218619
"10-08-2018",1.9,1.92,1.65,1.67,24332200,288198585
"09-08-2018",1.84,1.95,1.78,1.91,28646400,277903834
"08-08-2018",2.14,2.37,1.75,1.82,41371400,324289596
"07-08-2018",2.21,2.32,2.14,2.14,21893600,334525426
"06-08-2018",2.32,2.4,2.17,2.21,21313100,350410277
"05-08-2018",2.22,2.34,2.2,2.32,21462800,336019084
"04-08-2018",2.29,2.42,2.2,2.22,24267200,346957358
"03-08-2018",2.4,2.45,2.23,2.29,30973600,362429018
"02-08-2018",2.63,2.71,2.39,2.4,28389600,398200242
"01-08-2018",2.81,2.81,2.54,2.63,30013300,424606568
"31-07-2018",2.99,3.0,2.71,2.8,42006700,452994845
"30-07-2018",3.25,3.25,2.96,2.99,36977400,491751005
"29-07-2018",3.35,3.38,3.24,3.25,29949400,507436992
"28-07-2018",3.41,3.45,3.3,3.33,27311700,515635520
"27-07-2018",3.31,3.48,3.25,3.39,41960400,500171936
"26-07-2018",3.52,3.59,3.27,3.31,35335300,532430464
"25-07-2018",3.32,3.64,3.31,3.52,49506400,502005600
"24-07-2018",3.19,3.37,3.04,3.33,37361100,483069856
"23-07-2018",3.3,3.38,3.18,3.19,38279400,499238464
"22-07-2018",3.45,3.48,3.28,3.3,36924000,521610048
"21-07-2018",3.37,3.53,3.27,3.45,34482000,509170784
"20-07-2018",3.63,3.63,3.36,3.37,45892300,549552192
"19-07-2018",3.83,3.89,3.6,3.64,51879200,578955840
"18-07-2018",3.9,4.07,3.78,3.83,70500800,590449472
"17-07-2018",3.76,3.98,3.58,3.92,66425100,569475840
"16-07-2018",3.49,3.81,3.44,3.79,60196200,528583072
"15-07-2018",3.42,3.61,3.38,3.48,42023700,516679424
"14-07-2018",3.44,3.48,3.27,3.42,27852800,521085056
"13-07-2018",3.33,3.7,3.32,3.44,60386900,503107008
"12-07-2018",3.53,3.53,3.19,3.35,56487800,534501664
"11-07-2018",3.59,3.75,3.35,3.53,99637104,542721344
"10-07-2018",4.1,4.19,3.59,3.59,85481600,621046784
"09-07-2018",4.53,4.53,4.1,4.1,67733904,685055488
"08-07-2018",4.74,4.82,4.49,4.54,66405100,716976640
"07-07-2018",4.8,4.8,4.45,4.73,67908704,726259968
"06-07-2018",5.04,5.04,4.58,4.8,86032096,762837824
"05-07-2018",5.11,5.24,4.88,5.05,80997296,773685504
"04-07-2018",5.09,5.29,4.98,5.11,66383200,769503744
"03-07-2018",5.31,5.45,5.04,5.08,95370704,803612544
"02-07-2018",5.12,5.5,4.88,5.31,88864200,774286080
"01-07-2018",5.27,5.33,4.94,5.11,66086700,798064704
"30-06-2018",5.17,5.58,5.1,5.3,90747696,782542144
"29-06-2018",4.78,5.29,4.7,5.13,77817800,723020736
"28-06-2018",5.41,5.48,4.56,4.74,79282496,818060672
"27-06-2018",5.05,5.48,5.01,5.41,70832704,764673280
"26-06-2018",5.62,5.72,5.05,5.06,73166304,850199680
"25-06-2018",5.09,5.81,4.83,5.61,122339000,769957568
"24-06-2018",5.1,5.45,4.2,5.1,124877000,771320384
"23-06-2018",5.3,5.47,4.92,5.08,65965100,801903808
"22-06-2018",6.35,6.35,5.25,5.31,88701696,961424448
"21-06-2018",6.59,6.67,6.25,6.37,79066400,997534464
"20-06-2018",6.76,6.77,6.38,6.6,90760096,1022686976
"19-06-2018",6.69,6.8,6.47,6.74,91259200,1011727360
"18-06-2018",6.18,6.78,6.06,6.69,96911200,934942592
"17-06-2018",6.11,6.31,6.1,6.16,52390700,925118272
"16-06-2018",5.97,6.17,5.87,6.11,47472800,903345920
"15-06-2018",6.34,6.35,5.93,5.98,54603600,959368704
"14-06-2018",5.94,6.46,5.82,6.35,97936496,899341120
"13-06-2018",6.31,6.38,5.59,5.95,94280896,954689664
"12-06-2018",7.0,7.0,6.23,6.31,89649000,1059757056
"11-06-2018",6.82,7.01,6.3,7.01,106941000,1031082880
"10-06-2018",8.04,8.04,6.42,6.82,147552000,1215650688
"09-06-2018",8.3,8.49,8.03,8.03,76355104,1255682176
"08-06-2018",8.33,8.58,8.04,8.29,109901000,1260022400
"07-06-2018",8.58,8.87,8.11,8.33,128782000,1297845632
"06-06-2018",8.17,8.64,7.93,8.59,147192992,1235545984
"05-06-2018",7.51,8.21,7.15,8.09,115859000,1136599552
"04-06-2018",8.11,8.14,7.36,7.51,107812000,996954624
"03-06-2018",7.9,8.32,7.65,8.04,126478000,971139264
"02-06-2018",7.08,7.99,6.99,7.87,119667000,870069504
"01-06-2018",7.13,7.32,6.93,7.07,95028200,876925440
"31-05-2018",6.45,7.28,6.38,7.14,99699200,793330432
"30-05-2018",6.65,6.86,6.19,6.51,82275000,818183488
"29-05-2018",5.82,6.87,5.57,6.64,92731696,715344128
"28-05-2018",6.46,6.54,5.64,5.81,58695500,794459904
"27-05-2018",6.51,6.55,6.3,6.46,52037500,800547328
"26-05-2018",6.56,6.67,6.37,6.51,46033100,806715136
"25-05-2018",6.86,6.86,6.35,6.57,57672500,843270464
"24-05-2018",6.36,6.98,5.99,6.82,76769000,749629056
"23-05-2018",6.91,7.12,6.02,6.36,74799504,805541120
"22-05-2018",7.66,7.69,6.79,6.91,56758400,877634496
"21-05-2018",7.94,8.35,7.51,7.66,91643600,910762432
"20-05-2018",7.28,8.08,7.08,7.94,66693500,834396352
"19-05-2018",6.93,7.61,6.61,7.23,63769600,794258560
"18-05-2018",6.79,6.99,6.57,6.93,49074500,778338816
"17-05-2018",7.34,7.74,6.74,6.79,54997700,841020672
"16-05-2018",7.8,7.84,7.16,7.34,53543800,893764736
"15-05-2018",7.93,8.41,7.77,7.81,65224600,901466304
"14-05-2018",8.2,8.35,7.57,7.95,93917504,931896064
"13-05-2018",7.35,8.56,7.07,8.23,111412000,834759168
"12-05-2018",7.07,7.65,5.83,7.31,109263000,803199168
"11-05-2018",8.2,8.37,6.97,7.1,87657600,931867968
"10-05-2018",8.81,9.01,8.19,8.2,76159904,992538304
"09-05-2018",8.9,9.04,8.42,8.81,77347296,1001934976
"08-05-2018",9.46,9.54,8.72,8.9,84079904,1065280768
"07-05-2018",9.33,9.67,8.38,9.41,137680992,1050275776
"06-05-2018",9.04,9.66,8.41,9.33,129074000,1018169856
"05-05-2018",9.74,10.3,8.96,8.96,125322000,1096726656
"04-05-2018",10.08,10.57,9.36,9.75,143194000,1135598976
"03-05-2018",8.58,11.18,8.51,10.07,507808992,966198656
"02-05-2018",8.72,8.84,8.28,8.58,86668200,982472512
"01-05-2018",7.8,8.71,7.15,8.71,194524000,878034240
"30-04-2018",9.24,9.28,7.58,7.8,219806000,1040261184
"29-04-2018",6.94,9.37,6.92,9.25,347310016,781704384
"28-04-2018",5.26,7.34,5.22,7.04,191099008,592468160
"27-04-2018",5.33,5.69,5.16,5.28,94647696,600220672
"26-04-2018",5.06,5.64,5.06,5.29,126150000,570217536
"25-04-2018",4.79,5.36,4.3,5.01,152292000,538861056
"24-04-2018",4.22,4.96,4.21,4.82,90082400,474971296
"23-04-2018",4.02,4.47,4.0,4.22,58770900,452179008
"22-04-2018",4.06,4.26,3.93,4.02,48383100,456383584
"21-04-2018",4.31,4.35,3.92,4.06,49311100,485073472
"20-04-2018",4.49,4.55,4.18,4.32,66723800,504912896
"19-04-2018",4.27,4.61,4.23,4.48,64275200,480939776
"18-04-2018",4.07,4.27,4.06,4.27,36890700,457906496
"17-04-2018",4.15,4.3,4.02,4.07,59607000,466498208
"16-04-2018",4.51,4.63,4.0,4.14,44848400,507408992
"15-04-2018",4.35,4.76,4.32,4.51,65344300,489447552
"14-04-2018",4.21,4.47,4.1,4.34,53516600,473429824
"13-04-2018",4.42,5.11,4.21,4.21,124367000,497332768
"12-04-2018",4.28,4.66,4.13,4.4,96839696,481211648
"11-04-2018",4.68,4.69,4.1,4.3,129688000,526046240
"10-04-2018",3.5,4.77,3.5,4.62,161658000,393582560
