"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.007255,0.007284,0.007088,0.007124,2458780,272764599
"26-10-2018",0.007198,0.007319,0.007099,0.007269,3190070,270474251
"25-10-2018",0.00736,0.007581,0.007173,0.007199,7224560,276470818
"24-10-2018",0.007241,0.007504,0.007174,0.007328,6863550,271850645
"23-10-2018",0.006882,0.007405,0.006743,0.007266,9362880,258271336
"22-10-2018",0.006999,0.007002,0.006724,0.006893,3491970,262534047
"21-10-2018",0.006993,0.007243,0.006885,0.007006,5811400,262187506
"20-10-2018",0.006505,0.006985,0.006465,0.006985,4359840,243778513
"19-10-2018",0.00639,0.006691,0.006311,0.006512,3159900,239357965
"18-10-2018",0.006557,0.006628,0.006338,0.006397,2348420,245512846
"17-10-2018",0.006699,0.00672,0.006464,0.00657,2607490,250702661
"16-10-2018",0.006452,0.006765,0.006419,0.006686,3348650,241319534
"15-10-2018",0.006329,0.006833,0.00619,0.006469,4914940,236613971
"14-10-2018",0.006316,0.006557,0.006235,0.006294,2995470,236033511
"13-10-2018",0.006122,0.006461,0.006122,0.00631,3406030,228648492
"12-10-2018",0.005989,0.006208,0.005924,0.006094,4324470,223579468
"11-10-2018",0.007024,0.007075,0.005962,0.005998,7667740,262109662
"10-10-2018",0.00733,0.00733,0.006898,0.007053,5910640,273383419
"09-10-2018",0.007608,0.007615,0.007282,0.007349,3649240,283610243
"08-10-2018",0.0075,0.007668,0.007326,0.007582,5475820,279447469
"07-10-2018",0.00729,0.007519,0.007201,0.007484,4106140,271525667
"06-10-2018",0.007632,0.007765,0.007143,0.007268,5557140,284131977
"05-10-2018",0.007561,0.007847,0.007223,0.007647,10957800,281308458
"04-10-2018",0.007675,0.008151,0.007405,0.007559,22454500,285442608
"03-10-2018",0.006776,0.007855,0.006517,0.007543,20739400,251878548
"02-10-2018",0.006481,0.007136,0.006481,0.006802,10920500,240783795
"01-10-2018",0.006155,0.006662,0.006151,0.006474,8131070,228547029
"30-09-2018",0.006105,0.006355,0.006019,0.006151,3324220,226598022
"29-09-2018",0.006179,0.006231,0.006,0.006082,3328400,229214570
"28-09-2018",0.006225,0.006442,0.006095,0.00618,4281330,230837590
"27-09-2018",0.006037,0.006334,0.005921,0.006231,3910570,223765768
"26-09-2018",0.006157,0.00632,0.005901,0.006027,6383410,228089093
"25-09-2018",0.00644,0.00644,0.005785,0.006141,7396960,238449607
"24-09-2018",0.007099,0.007493,0.006329,0.006471,16219600,262732353
"23-09-2018",0.005797,0.007361,0.005787,0.006887,20455000,214444471
"22-09-2018",0.005963,0.006086,0.005586,0.005801,3353870,220451672
"21-09-2018",0.005555,0.006025,0.005482,0.00598,6291570,205285925
"20-09-2018",0.005324,0.005572,0.005262,0.005554,2923650,196647998
"19-09-2018",0.005274,0.005378,0.005085,0.005319,2320950,194718045
"18-09-2018",0.005125,0.005382,0.005089,0.005278,2283310,189112852
"17-09-2018",0.005494,0.005623,0.005081,0.005132,3440430,202633561
"16-09-2018",0.00549,0.005522,0.005347,0.005493,2589820,202365816
"15-09-2018",0.005361,0.005535,0.00532,0.005484,2070600,197540705
"14-09-2018",0.005431,0.005524,0.00517,0.005407,2668070,199986944
"13-09-2018",0.005109,0.005561,0.005109,0.005419,3942120,188033512
"12-09-2018",0.005239,0.005282,0.004819,0.005122,3372600,192735962
"11-09-2018",0.005463,0.005531,0.005247,0.005265,3026550,200858287
"10-09-2018",0.005399,0.005524,0.005331,0.005471,2495730,198406341
"09-09-2018",0.005387,0.005621,0.005183,0.005408,2838720,197898280
"08-09-2018",0.005735,0.005903,0.00536,0.005396,3151320,210552814
"07-09-2018",0.005942,0.006083,0.00559,0.005703,3732800,218054624
"06-09-2018",0.005961,0.006013,0.005509,0.005975,4898130,218659137
"05-09-2018",0.007606,0.007621,0.005963,0.005963,10039600,278830016
"04-09-2018",0.007369,0.007751,0.007363,0.007621,6157460,270013133
"03-09-2018",0.00752,0.007558,0.007131,0.007384,4694950,275419305
"02-09-2018",0.007614,0.007777,0.007045,0.007325,9069670,278706878
"01-09-2018",0.006363,0.00801,0.006363,0.007594,20332400,232807630
"31-08-2018",0.005984,0.006397,0.005952,0.006372,3424680,218819304
"30-08-2018",0.006198,0.006255,0.005737,0.006006,2845960,226501566
"29-08-2018",0.006579,0.006589,0.006096,0.006227,4051760,240316585
"28-08-2018",0.006034,0.006613,0.00593,0.006563,5328530,220307252
"27-08-2018",0.005507,0.005956,0.005462,0.005956,4048740,200947235
"26-08-2018",0.005564,0.005564,0.005319,0.005515,1855020,202913754
"25-08-2018",0.005576,0.005587,0.005375,0.005533,1965590,203260087
"24-08-2018",0.005356,0.005577,0.005322,0.005577,1930060,195145990
"23-08-2018",0.005226,0.005457,0.005133,0.005383,1798410,190318051
"22-08-2018",0.005581,0.005934,0.005093,0.005212,2931570,203151681
"21-08-2018",0.005398,0.005661,0.005341,0.005572,2063710,196368666
"20-08-2018",0.005953,0.006031,0.005405,0.005423,2402650,216459339
"19-08-2018",0.005676,0.006032,0.005543,0.005951,2397170,206276346
"18-08-2018",0.006166,0.00665,0.005386,0.005652,6318210,223941877
"17-08-2018",0.005176,0.006222,0.00517,0.00617,6093500,187890544
"16-08-2018",0.005147,0.005283,0.004979,0.005211,2317940,186738727
"15-08-2018",0.004862,0.00555,0.004862,0.005087,3901170,176329268
"14-08-2018",0.005029,0.005029,0.00423,0.004864,3982700,182283974
"13-08-2018",0.005838,0.005838,0.004957,0.005003,3117790,211486782
"12-08-2018",0.005845,0.005883,0.005712,0.005794,1705360,211629377
"11-08-2018",0.006051,0.006082,0.005588,0.005843,3226340,218972597
"10-08-2018",0.006619,0.006678,0.005995,0.006033,2778330,239407576
"09-08-2018",0.006238,0.006782,0.006206,0.006645,4496620,225516908
"08-08-2018",0.007207,0.007207,0.006093,0.006256,5273420,260411913
"07-08-2018",0.007604,0.007782,0.007186,0.007186,3898030,274580958
"06-08-2018",0.008017,0.008117,0.007492,0.007595,5452910,289366957
"05-08-2018",0.007786,0.008043,0.007536,0.008019,3896610,280862667
"04-08-2018",0.008022,0.008262,0.007522,0.007801,5777350,289221141
"03-08-2018",0.008358,0.008358,0.007697,0.008028,7885860,301149464
"02-08-2018",0.009016,0.009115,0.008274,0.008367,6595590,324714565
"01-08-2018",0.009305,0.009347,0.008808,0.00903,6229890,334944389
"31-07-2018",0.009993,0.010022,0.009159,0.009281,7856040,359493245
"30-07-2018",0.010495,0.010516,0.009773,0.010013,6737830,377359210
"29-07-2018",0.01037,0.010602,0.010125,0.010526,5919740,372666720
"28-07-2018",0.010292,0.010475,0.01019,0.010394,5499270,369629984
"27-07-2018",0.010289,0.010567,0.009968,0.010365,7749890,369346848
"26-07-2018",0.01082,0.01088,0.010215,0.010324,6928060,388223040
"25-07-2018",0.010672,0.01108,0.010361,0.01082,12764000,382704608
"24-07-2018",0.010296,0.010816,0.009843,0.0107,13727000,369028160
"23-07-2018",0.010685,0.010943,0.010261,0.01031,9010490,382734944
"22-07-2018",0.010956,0.011053,0.010633,0.010708,6477740,392251232
"21-07-2018",0.01079,0.011149,0.010464,0.010971,8706180,386090464
"20-07-2018",0.012302,0.012302,0.010655,0.010761,16720600,439947328
"19-07-2018",0.012277,0.012698,0.012016,0.012228,14326400,438825440
"18-07-2018",0.011907,0.01311,0.011894,0.012296,21625600,425371392
"17-07-2018",0.011098,0.012001,0.010951,0.011886,13009700,396272512
"16-07-2018",0.010318,0.011161,0.010234,0.011119,11076000,368199936
"15-07-2018",0.010165,0.01047,0.010064,0.010266,5866710,362519008
"14-07-2018",0.010217,0.010321,0.010047,0.010116,5522100,364190848
"13-07-2018",0.010108,0.010386,0.010051,0.010214,7651190,360108704
"12-07-2018",0.010694,0.01072,0.009919,0.010066,8461140,380771296
"11-07-2018",0.010522,0.010883,0.010293,0.010589,11500200,374440448
"10-07-2018",0.011291,0.011442,0.010433,0.010559,21045000,401565760
"09-07-2018",0.010856,0.012194,0.010749,0.011358,20613400,385864544
"08-07-2018",0.010951,0.011093,0.010855,0.010858,8143650,389040320
"07-07-2018",0.01072,0.011254,0.010589,0.011032,10790500,380584928
"06-07-2018",0.010639,0.01125,0.010248,0.010795,13089400,377520416
"05-07-2018",0.010993,0.011195,0.010519,0.010644,9984060,389824864
"04-07-2018",0.011034,0.011535,0.010701,0.011017,11486000,391052640
"03-07-2018",0.011264,0.011785,0.011015,0.011047,12648700,399025120
"02-07-2018",0.010706,0.011493,0.010403,0.011285,14306800,379056224
"01-07-2018",0.010737,0.010841,0.010269,0.010669,9308920,379955872
"30-06-2018",0.009973,0.010991,0.009903,0.010736,14002100,352679264
"29-06-2018",0.009666,0.010017,0.009186,0.009984,8304640,341655712
"28-06-2018",0.010107,0.010264,0.009591,0.009628,6351290,357064736
"27-06-2018",0.010017,0.010184,0.009831,0.010108,7825780,353673280
"26-06-2018",0.010693,0.010762,0.009974,0.010045,4748840,377287808
"25-06-2018",0.010572,0.010868,0.01033,0.010665,11287900,372797856
"24-06-2018",0.011201,0.011201,0.009637,0.010581,14811700,394789568
"23-06-2018",0.011226,0.011479,0.010992,0.011203,7703920,395450240
"22-06-2018",0.01253,0.012611,0.011072,0.011172,11804400,441112960
"21-06-2018",0.012733,0.012916,0.012414,0.012568,9298840,448012736
"20-06-2018",0.01304,0.013057,0.01227,0.012712,14695500,458583904
"19-06-2018",0.012903,0.013294,0.012687,0.013026,15059400,453499328
"18-06-2018",0.012648,0.013151,0.012052,0.012872,14669100,444242848
"17-06-2018",0.012932,0.013208,0.012548,0.01256,10447000,453955968
"16-06-2018",0.013007,0.013194,0.012525,0.012807,12795800,456340032
"15-06-2018",0.01415,0.01415,0.013033,0.013033,18809100,496183744
"14-06-2018",0.012079,0.015539,0.011854,0.014151,114242000,423334784
"13-06-2018",0.012862,0.01314,0.0115,0.012091,14972100,450521216
"12-06-2018",0.014388,0.014487,0.012798,0.012874,17528400,503601696
"11-06-2018",0.014118,0.015115,0.013539,0.014462,23720400,493894112
"10-06-2018",0.016956,0.016956,0.013829,0.014162,30699000,592837248
"09-06-2018",0.018189,0.018424,0.016973,0.017026,15538100,635600832
"08-06-2018",0.017276,0.018454,0.017112,0.018175,26934500,603301312
"07-06-2018",0.016418,0.01753,0.016144,0.017272,22833400,573000768
"06-06-2018",0.015063,0.016858,0.014793,0.016519,27674500,525423296
"05-06-2018",0.015083,0.015227,0.014593,0.015087,9524840,525787584
"04-06-2018",0.015826,0.01607,0.014918,0.015084,8123860,551360448
"03-06-2018",0.015458,0.016213,0.015458,0.015825,10990400,538213504
"02-06-2018",0.015212,0.015718,0.015126,0.015447,9782550,529369216
"01-06-2018",0.01526,0.01553,0.015093,0.015353,8852350,530734624
"31-05-2018",0.014976,0.015548,0.014738,0.015204,11979400,520533088
"30-05-2018",0.014881,0.015784,0.014595,0.014999,16515900,516921888
