"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",1.01,1.01,1.01,1.01,25670400,176334532
"26-10-2018",1.01,1.01,1.01,1.01,22832600,176446960
"25-10-2018",1.01,1.01,1.01,1.01,22041600,176708420
"24-10-2018",1.01,1.01,1.01,1.01,19338900,177032507
"23-10-2018",1.01,1.02,1.01,1.01,18143500,167850979
"22-10-2018",1.02,1.03,1.01,1.01,19253200,169319402
"21-10-2018",1.01,1.02,1.0,1.02,15612600,168374069
"20-10-2018",1.01,1.02,1.0,1.01,14880700,166039909
"19-10-2018",1.01,1.02,1.01,1.01,15645100,160552748
"18-10-2018",1.02,1.02,1.01,1.01,18473700,161421242
"17-10-2018",1.02,1.03,1.01,1.02,16734500,162603661
"16-10-2018",1.03,1.04,1.02,1.03,18223700,157533088
"15-10-2018",1.03,1.15,1.03,1.03,73370100,139887038
"14-10-2018",1.02,1.04,1.02,1.03,14506200,137915185
"13-10-2018",1.02,1.03,1.01,1.02,12101400,134871893
"12-10-2018",1.02,1.02,1.0,1.01,11879400,126110515
"11-10-2018",1.01,1.04,1.01,1.02,23953600,119506902
"10-10-2018",1.0,1.01,1.0,1.01,9795570,118918139
"09-10-2018",1.0,1.01,0.998374,1.01,6238840,117035305
"08-10-2018",1.0,1.01,0.995656,1.0,9814050,118544171
"07-10-2018",1.0,1.01,0.999931,1.0,10667600,118744575
"06-10-2018",1.0,1.01,1.0,1.0,10075400,118609579
"05-10-2018",1.0,1.01,0.995832,1.0,11477000,117743936
"04-10-2018",1.01,1.01,0.998137,1.0,13426000,119665094
"03-10-2018",1.01,1.02,0.998924,1.01,16821700,107649278
"02-10-2018",1.0,1.01,0.999185,1.01,15235100,107070581
"01-10-2018",1.0,1.01,0.99804,1.0,15807500,103372167
"30-09-2018",1.0,1.01,0.994362,1.0,13637100,104160298
"29-09-2018",1.0,1.01,0.993361,1.0,8760270,104022530
"28-09-2018",0.998464,1.01,0.992951,1.0,18858600,93382904
"27-09-2018",1.0,1.01,0.98374,0.99942,28380300,93813520
"26-09-2018",1.0,1.01,0.996038,1.0,22869700,93563115
"25-09-2018",1.0,1.01,0.995625,0.999358,25032000,93886187
"24-09-2018",0.999625,1.01,0.99628,1.0,20399200,93501492
"23-09-2018",0.998826,1.01,0.994567,0.999492,20854500,93426823
"22-09-2018",0.996094,1.01,0.987963,0.99774,20272100,93171205
"21-09-2018",1.0,1.02,0.987063,0.994986,28670200,93504267
"20-09-2018",1.0,1.01,0.995968,1.0,13312200,93663480
"19-09-2018",1.01,1.01,0.977344,1.0,16681200,91938833
"18-09-2018",1.01,1.04,0.995811,1.0,20369200,86505383
"17-09-2018",1.0,1.02,0.997845,1.02,20900900,85552505
"16-09-2018",1.0,1.01,0.999148,1.0,11051800,85664754
"15-09-2018",1.0,1.01,0.996838,1.0,10610100,85528609
"14-09-2018",1.0,1.02,0.996637,1.0,12805900,82488663
"13-09-2018",1.0,1.01,0.993545,1.0,15747200,82439777
