"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",1.36,1.37,1.34,1.35,1038920,827804161
"26-10-2018",1.35,1.37,1.34,1.37,2047160,817378962
"25-10-2018",1.36,1.36,1.32,1.35,1622770,823172864
"24-10-2018",1.38,1.38,1.34,1.34,1871920,838086696
"23-10-2018",1.41,1.42,1.37,1.38,2513170,859324894
"22-10-2018",1.34,1.42,1.33,1.41,2532760,815093150
"21-10-2018",1.31,1.35,1.31,1.34,1277190,798109601
"20-10-2018",1.31,1.32,1.3,1.31,1309920,796264455
"19-10-2018",1.32,1.33,1.29,1.31,2351860,803650763
"18-10-2018",1.4,1.41,1.32,1.32,2663220,853311203
"17-10-2018",1.47,1.47,1.37,1.4,3428510,893684571
"16-10-2018",1.37,1.48,1.33,1.47,6030970,833018788
"15-10-2018",1.22,1.37,1.21,1.37,4359540,740721328
"14-10-2018",1.24,1.25,1.2,1.22,1394990,754823351
"13-10-2018",1.25,1.26,1.23,1.24,1020920,756818186
"12-10-2018",1.23,1.25,1.21,1.25,1716960,745444887
"11-10-2018",1.37,1.37,1.23,1.24,2117670,830267326
"10-10-2018",1.4,1.43,1.33,1.37,1812420,852040551
"09-10-2018",1.36,1.42,1.35,1.4,1850760,826678201
"08-10-2018",1.32,1.38,1.31,1.36,1774140,800201695
"07-10-2018",1.34,1.34,1.3,1.32,781157,812676695
"06-10-2018",1.33,1.37,1.32,1.34,1461850,805274382
"05-10-2018",1.3,1.33,1.3,1.32,1098350,791822748
"04-10-2018",1.32,1.36,1.3,1.3,2028680,800132897
"03-10-2018",1.33,1.35,1.29,1.31,2053580,809972522
"02-10-2018",1.35,1.36,1.33,1.33,1976820,818132909
"01-10-2018",1.43,1.45,1.34,1.35,2089710,865986150
"30-09-2018",1.44,1.48,1.41,1.42,2073140,875090728
"29-09-2018",1.42,1.46,1.39,1.44,1367510,863498725
"28-09-2018",1.44,1.49,1.41,1.42,2089150,877601906
"27-09-2018",1.45,1.48,1.39,1.44,2512880,880554329
"26-09-2018",1.48,1.52,1.45,1.45,1523520,896941875
"25-09-2018",1.57,1.57,1.45,1.47,1799400,952778151
"24-09-2018",1.66,1.67,1.53,1.56,2342190,1009453248
"23-09-2018",1.67,1.71,1.63,1.66,1986980,1011538534
"22-09-2018",1.67,1.69,1.61,1.66,2203730,1011506381
"21-09-2018",1.71,1.79,1.63,1.66,5152330,1037115025
"20-09-2018",1.56,1.71,1.5,1.71,4128740,946981208
"19-09-2018",1.51,1.58,1.47,1.55,3600640,916152215
"18-09-2018",1.5,1.55,1.42,1.51,3049400,911546988
"17-09-2018",1.66,1.7,1.4,1.5,7424940,1010489193
"16-09-2018",1.62,1.67,1.54,1.66,2633080,985918665
"15-09-2018",1.56,1.75,1.53,1.63,4984260,949892497
"14-09-2018",1.34,1.67,1.29,1.57,5128230,815365298
"13-09-2018",1.26,1.35,1.26,1.35,1907530,765954122
"12-09-2018",1.3,1.32,1.19,1.26,2205410,791149475
"11-09-2018",1.42,1.42,1.26,1.31,3084310,863381986
"10-09-2018",1.2,1.53,1.19,1.41,3231710,728360604
"09-09-2018",1.15,1.25,1.14,1.2,1977490,699082088
"08-09-2018",1.22,1.25,1.15,1.15,2234460,740145095
"07-09-2018",1.23,1.27,1.22,1.23,1926860,749650292
"06-09-2018",1.3,1.3,1.21,1.24,2263090,788948537
"05-09-2018",1.44,1.46,1.3,1.3,3304880,874382622
"04-09-2018",1.42,1.45,1.41,1.44,2008920,860588811
"03-09-2018",1.4,1.42,1.38,1.42,2418800,850343862
"02-09-2018",1.41,1.43,1.38,1.39,1620730,855098777
"01-09-2018",1.36,1.42,1.33,1.41,1904880,826395624
"31-08-2018",1.36,1.37,1.32,1.36,1726140,823624175
"30-08-2018",1.37,1.38,1.33,1.36,1868490,834476859
"29-08-2018",1.38,1.4,1.36,1.37,1768070,838395126
"28-08-2018",1.35,1.4,1.33,1.38,2058670,821766934
"27-08-2018",1.33,1.35,1.31,1.35,1737520,807637392
"26-08-2018",1.36,1.37,1.3,1.33,1624750,827991362
"25-08-2018",1.33,1.36,1.31,1.36,1258870,809470662
"24-08-2018",1.32,1.34,1.29,1.33,2008470,802983935
"23-08-2018",1.29,1.32,1.26,1.32,1976690,781211724
"22-08-2018",1.36,1.42,1.26,1.29,2324990,825735242
"21-08-2018",1.43,1.44,1.28,1.36,4813760,867883728
"20-08-2018",1.36,1.69,1.36,1.43,6067680,827508839
"19-08-2018",1.33,1.4,1.32,1.37,1689570,810129959
"18-08-2018",1.37,1.41,1.3,1.33,2132750,832942677
"17-08-2018",1.3,1.38,1.3,1.38,2135200,787088762
"16-08-2018",1.29,1.33,1.25,1.3,2142820,785270772
"15-08-2018",1.26,1.39,1.26,1.29,2734990,766179705
"14-08-2018",1.29,1.3,1.18,1.25,3409060,786352557
"13-08-2018",1.46,1.47,1.22,1.3,3065130,884158156
"12-08-2018",1.52,1.59,1.45,1.45,2727130,922823392
"11-08-2018",1.53,1.57,1.4,1.52,2517240,929668084
"10-08-2018",1.67,1.67,1.47,1.53,2720600,1012872118
"09-08-2018",1.55,1.67,1.55,1.67,1839340,940631568
"08-08-2018",1.69,1.71,1.51,1.54,2891530,1028141524
"07-08-2018",1.78,1.9,1.69,1.69,2991980,1082782463
"06-08-2018",1.85,1.91,1.75,1.78,2449620,1125580179
"05-08-2018",1.86,1.93,1.84,1.85,2206540,1129284884
"04-08-2018",1.83,1.91,1.75,1.87,2769130,1114015261
"03-08-2018",1.65,1.93,1.55,1.83,3992930,1002994981
"02-08-2018",1.82,1.98,1.64,1.66,3319250,1103715852
"01-08-2018",1.89,1.97,1.72,1.82,2961420,1150961431
"31-07-2018",2.08,2.08,1.79,1.89,3524540,1262802138
"30-07-2018",2.07,2.09,1.97,2.08,3403140,1256202220
"29-07-2018",2.07,2.11,2.03,2.07,1944750,1255206016
"28-07-2018",2.1,2.12,2.03,2.06,1944170,1272720000
"27-07-2018",2.04,2.13,2.03,2.09,1735890,1241695360
"26-07-2018",2.1,2.21,2.02,2.04,2731230,1278351360
"25-07-2018",2.13,2.17,1.99,2.12,4433050,1294419456
"24-07-2018",2.24,2.29,2.11,2.15,4028080,1363691392
"23-07-2018",2.16,2.27,2.13,2.24,2745610,1309582336
"22-07-2018",2.2,2.26,2.14,2.16,1933710,1337690752
"21-07-2018",2.05,2.2,2.0,2.2,2385670,1246792320
"20-07-2018",2.27,2.27,2.02,2.05,3504910,1379394944
"19-07-2018",2.33,2.35,2.24,2.27,3961730,1414532224
"18-07-2018",2.43,2.51,2.27,2.33,4170670,1476836224
"17-07-2018",2.3,2.44,2.24,2.44,4803450,1396993920
"16-07-2018",2.19,2.33,2.16,2.28,4517860,1328135040
"15-07-2018",1.98,2.23,1.94,2.18,4023690,1202506368
"14-07-2018",1.98,2.0,1.92,1.97,3356770,1202488064
"13-07-2018",1.9,2.07,1.9,1.97,4691140,1155104000
"12-07-2018",2.1,2.24,1.86,1.9,5112460,1273825536
"11-07-2018",2.23,2.32,2.05,2.1,6863960,1357434240
"10-07-2018",2.26,2.38,2.14,2.23,7598320,1370884096
"09-07-2018",2.32,2.34,2.05,2.26,6912650,1409441408
"08-07-2018",1.86,2.52,1.85,2.32,12105000,1129370752
"07-07-2018",1.77,1.89,1.66,1.85,5580940,1073159744
"06-07-2018",1.43,1.83,1.1,1.79,13123900,865933120
"05-07-2018",1.88,1.97,1.4,1.42,10239900,1141836416
"04-07-2018",2.01,2.11,1.87,1.87,6719230,""
"03-07-2018",3.14,3.26,1.93,2.0,15960800,""
"02-07-2018",3.95,4.18,2.6,2.91,3077500,""
"01-07-2018",4.42,4.46,3.82,3.95,1125120,""
"30-06-2018",4.04,4.59,3.96,4.43,1394190,""
"29-06-2018",3.56,4.06,3.5,4.06,970750,""
"28-06-2018",3.57,3.8,3.54,3.56,1194730,""
"27-06-2018",3.49,3.6,3.28,3.58,1138720,""
"26-06-2018",3.73,3.73,3.37,3.5,1020840,""
"25-06-2018",3.28,3.85,3.12,3.72,935732,""
"24-06-2018",3.81,3.82,3.09,3.27,1237290,""
"23-06-2018",3.92,3.97,3.64,3.78,1035330,""
"22-06-2018",4.17,4.18,3.78,3.91,1194830,""
"21-06-2018",4.26,4.47,4.02,4.18,1110590,""
"20-06-2018",4.2,4.27,4.1,4.27,1079500,""
"19-06-2018",4.17,4.33,4.1,4.22,1111810,""
"18-06-2018",4.01,4.19,3.88,4.18,880673,""
"17-06-2018",4.06,4.23,3.94,4.02,797057,""
"16-06-2018",3.88,4.1,3.81,4.06,874219,""
"15-06-2018",4.15,4.15,3.85,3.88,1321420,""
"14-06-2018",3.89,4.2,3.86,4.15,1196480,""
"13-06-2018",4.33,4.33,3.73,3.89,1089760,""
"12-06-2018",4.45,4.53,4.27,4.33,1232530,""
"11-06-2018",4.79,4.79,4.09,4.45,1250330,""
"10-06-2018",4.94,4.94,4.48,4.8,1350140,""
"09-06-2018",5.02,5.22,4.91,4.94,1266220,""
"08-06-2018",5.0,5.07,4.92,5.01,1228880,""
"07-06-2018",4.92,5.06,4.92,5.0,1226990,""
"06-06-2018",5.32,5.32,4.8,4.91,1504880,""
"05-06-2018",4.94,5.32,4.87,5.32,1567270,""
"04-06-2018",5.09,5.32,4.85,4.93,1344880,""
"03-06-2018",5.77,5.8,5.0,5.06,1261420,""
"02-06-2018",5.16,5.97,5.16,5.78,1271660,""
"01-06-2018",4.83,5.2,4.79,5.16,964214,""
"31-05-2018",4.94,5.31,4.78,4.83,799551,""
"30-05-2018",4.82,5.29,4.67,5.13,795714,""
"29-05-2018",4.22,4.86,4.18,4.86,746728,""
"28-05-2018",4.35,4.44,4.2,4.22,734131,""
"27-05-2018",4.4,4.71,4.28,4.34,888253,""
"26-05-2018",4.38,4.72,4.34,4.4,850989,""
"25-05-2018",4.11,4.55,4.1,4.39,748165,""
"24-05-2018",3.89,4.12,3.85,4.09,808681,""
"23-05-2018",4.18,4.25,3.85,3.92,686064,""
"22-05-2018",4.5,4.64,4.09,4.18,834201,""
"21-05-2018",4.86,4.91,4.49,4.51,648977,""
"20-05-2018",4.77,5.01,4.75,4.86,719261,""
"19-05-2018",4.7,4.85,4.66,4.76,539467,""
"18-05-2018",4.51,4.73,4.45,4.7,707950,""
"17-05-2018",4.5,4.68,4.45,4.51,838531,""
"16-05-2018",5.02,5.02,4.43,4.51,830118,""
"15-05-2018",5.15,5.46,4.6,5.03,1396440,""
"14-05-2018",4.31,5.2,4.19,5.13,908313,""
"13-05-2018",3.93,4.9,3.64,4.29,775378,""
"12-05-2018",3.7,3.95,3.54,3.89,606088,""
"11-05-2018",3.85,3.91,3.65,3.71,690693,""
"10-05-2018",3.9,4.0,3.8,3.84,426150,""
"09-05-2018",3.8,3.99,3.67,3.9,721042,""
"08-05-2018",3.85,3.93,3.72,3.8,635011,""
"07-05-2018",4.03,4.04,3.76,3.84,389978,""
"06-05-2018",4.07,4.21,3.89,4.03,940943,""
"05-05-2018",3.87,4.15,3.87,4.06,685947,""
"04-05-2018",3.92,4.07,3.8,3.89,1101230,""
"03-05-2018",3.7,3.94,3.62,3.93,864271,""
"02-05-2018",3.63,3.73,3.48,3.71,321435,""
"01-05-2018",3.62,3.66,3.45,3.65,447033,""
"30-04-2018",3.77,3.85,3.5,3.62,921106,""
"29-04-2018",3.73,3.9,3.64,3.77,1188380,""
"28-04-2018",3.54,3.73,3.41,3.73,930614,""
"27-04-2018",3.51,3.77,3.4,3.55,983449,""
"26-04-2018",3.58,3.59,3.34,3.5,1079720,""
"25-04-2018",4.18,4.21,3.29,3.62,1198230,""
"24-04-2018",3.46,4.21,3.45,4.21,1480110,""
"23-04-2018",3.15,3.49,2.97,3.47,1126150,""
"22-04-2018",3.0,3.17,2.94,3.17,490323,""
"21-04-2018",2.99,3.08,2.94,2.98,318341,""
"20-04-2018",3.05,3.2,2.93,2.99,764020,""
"19-04-2018",3.02,3.05,2.91,3.05,438272,""
"18-04-2018",2.84,3.03,2.83,3.02,352946,""
"17-04-2018",3.06,3.09,2.82,2.85,312086,""
"16-04-2018",2.99,3.12,2.92,3.06,314907,""
"15-04-2018",2.87,3.11,2.85,2.99,711535,""
"14-04-2018",2.84,2.93,2.77,2.87,562631,""
"13-04-2018",3.05,3.08,2.79,2.84,561679,""
"12-04-2018",2.67,3.07,2.65,3.05,801305,""
"11-04-2018",2.68,2.73,2.63,2.67,627519,""
"10-04-2018",2.61,2.7,2.58,2.68,570796,""
"09-04-2018",2.65,2.75,2.52,2.61,597836,""
"08-04-2018",2.6,2.67,2.6,2.64,645937,""
"07-04-2018",2.51,2.66,2.49,2.6,426068,""
"06-04-2018",2.69,2.7,2.46,2.5,434243,""
"05-04-2018",2.67,2.72,2.54,2.7,952683,""
"04-04-2018",2.87,2.9,2.56,2.66,846519,""
"03-04-2018",2.76,2.94,2.69,2.88,682609,""
"02-04-2018",2.65,2.8,2.63,2.75,257206,""
"01-04-2018",2.87,2.89,2.54,2.64,534227,""
"31-03-2018",2.81,2.96,2.73,2.86,312477,""
"30-03-2018",2.78,3.06,2.67,2.81,435505,""
"29-03-2018",3.13,3.15,2.74,2.79,375158,""
"28-03-2018",3.01,3.21,2.94,3.14,441428,""
"27-03-2018",3.52,3.57,2.91,3.02,1624890,""
"26-03-2018",3.94,4.16,3.3,3.52,1057200,""
"25-03-2018",3.9,4.03,3.68,3.93,552477,""
"24-03-2018",3.51,3.91,3.36,3.91,1218370,""
"23-03-2018",3.37,3.47,3.2,3.47,468063,""
"22-03-2018",3.38,3.43,3.2,3.34,480031,""
"21-03-2018",3.3,3.54,3.2,3.35,753571,""
"20-03-2018",3.05,3.33,2.85,3.29,813326,""
"19-03-2018",2.81,3.21,2.81,3.02,700166,""
"18-03-2018",2.79,2.83,2.51,2.82,411180,""
"17-03-2018",2.94,2.95,2.73,2.79,346576,""
"16-03-2018",3.16,3.19,2.94,2.94,409957,""
"15-03-2018",3.08,3.29,2.87,3.17,240690,""
"14-03-2018",3.38,3.64,2.95,3.09,327781,""
"13-03-2018",3.3,3.45,3.16,3.38,182144,""
"12-03-2018",3.57,3.9,3.21,3.31,360429,""
"11-03-2018",3.01,3.6,2.92,3.6,251491,""
"10-03-2018",3.06,3.25,3.01,3.01,311390,""
"09-03-2018",3.02,3.17,2.74,3.08,502712,""
"08-03-2018",3.4,3.55,2.9,3.04,670284,""
"07-03-2018",3.58,3.74,3.3,3.4,371408,""
"06-03-2018",4.08,4.08,3.57,3.62,925033,""
"05-03-2018",4.25,4.27,4.0,4.05,306890,""
"04-03-2018",4.38,4.4,4.07,4.26,425664,""
"03-03-2018",4.3,4.46,4.26,4.41,257175,""
"02-03-2018",4.38,4.43,4.28,4.31,327186,""
"01-03-2018",4.24,4.56,4.22,4.39,547252,""
"28-02-2018",4.32,4.89,4.16,4.23,702098,""
"27-02-2018",4.0,4.43,3.71,4.36,556383,""
"26-02-2018",4.72,4.79,3.12,3.96,1583130,""
"25-02-2018",4.83,5.0,4.63,4.67,524865,""
"24-02-2018",4.7,5.06,4.49,4.84,1219590,""
"23-02-2018",4.05,4.7,3.95,4.69,1623090,""
"22-02-2018",3.53,4.16,3.27,4.06,2167420,""
"21-02-2018",3.88,3.92,3.51,3.53,1102720,""
"20-02-2018",3.51,4.58,3.47,3.91,2076160,""
"19-02-2018",2.85,3.7,2.71,3.44,1528560,""
"18-02-2018",2.77,2.96,2.6,2.87,1038200,""
"17-02-2018",2.69,2.86,2.67,2.75,900364,""
"16-02-2018",2.56,2.74,2.5,2.69,903445,""
"15-02-2018",2.5,2.77,2.48,2.57,751962,""
"14-02-2018",2.61,2.86,2.28,2.5,1870300,""
"13-02-2018",3.22,3.23,2.32,2.61,1543840,""
"12-02-2018",3.0,3.3,3.0,3.22,928316,""
"11-02-2018",3.28,3.29,2.92,2.98,606314,""
