"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.014575,0.015199,0.014478,0.014524,5609770,221127388
"26-10-2018",0.014466,0.014729,0.014339,0.014606,2591870,219484042
"25-10-2018",0.014616,0.014667,0.014235,0.01449,3107020,221758311
"24-10-2018",0.01441,0.014948,0.014268,0.014668,4596650,218626218
"23-10-2018",0.014166,0.014718,0.013953,0.014527,4066750,214923466
"22-10-2018",0.014406,0.014425,0.014058,0.014135,2232080,218575194
"21-10-2018",0.014263,0.014666,0.014225,0.014436,2114050,216399878
"20-10-2018",0.014172,0.014391,0.014058,0.014294,1521050,215021416
"19-10-2018",0.014019,0.014296,0.013873,0.0142,2213570,212698101
"18-10-2018",0.014471,0.014561,0.013844,0.013972,2584620,219552277
"17-10-2018",0.014281,0.014707,0.014061,0.014437,3142830,216677436
"16-10-2018",0.01458,0.014682,0.014061,0.014313,2903410,221217015
"15-10-2018",0.013975,0.014968,0.013668,0.014574,5169250,212032997
"14-10-2018",0.014056,0.014376,0.013938,0.013946,2663160,213261963
"13-10-2018",0.014101,0.014448,0.013999,0.014084,2741460,213935616
"12-10-2018",0.01406,0.014596,0.013677,0.014124,3518700,213320137
"11-10-2018",0.016571,0.016571,0.014048,0.014129,6686300,251412996
"10-10-2018",0.015995,0.016667,0.01534,0.016603,6282590,242682653
"09-10-2018",0.016102,0.016229,0.01563,0.016015,4990210,244307926
"08-10-2018",0.015656,0.016497,0.015506,0.016101,7310280,237534321
"07-10-2018",0.01548,0.01566,0.015067,0.015582,4743380,234867065
"06-10-2018",0.015615,0.015945,0.015376,0.01544,5322480,236905884
"05-10-2018",0.015631,0.015915,0.015206,0.015588,5696590,237158262
"04-10-2018",0.014823,0.015856,0.014791,0.015631,5987130,224903956
"03-10-2018",0.015097,0.015329,0.014536,0.014849,5744720,229054250
"02-10-2018",0.016361,0.016551,0.015093,0.015093,8992230,248234117
"01-10-2018",0.015151,0.017202,0.015135,0.01633,21053500,229874658
"30-09-2018",0.01477,0.015694,0.014452,0.015184,6396750,224093594
"29-09-2018",0.014305,0.01496,0.013862,0.014766,3607070,217042261
"28-09-2018",0.014812,0.015056,0.014108,0.014279,3857770,224724433
"27-09-2018",0.013888,0.015022,0.013737,0.014798,3969010,210709515
"26-09-2018",0.013909,0.014307,0.013482,0.013887,2898530,211020829
"25-09-2018",0.014402,0.014439,0.013257,0.01391,4977330,218511467
"24-09-2018",0.015299,0.015398,0.014218,0.014471,8525730,232119099
"23-09-2018",0.014914,0.015863,0.014877,0.015285,8271190,226274251
"22-09-2018",0.01606,0.016183,0.014511,0.01486,5970970,243667324
"21-09-2018",0.014599,0.016277,0.014293,0.015974,14835600,221494234
"20-09-2018",0.013545,0.014658,0.013545,0.014594,8954780,205501200
"19-09-2018",0.01335,0.013706,0.013017,0.013507,5110320,202539742
"18-09-2018",0.01277,0.013439,0.012522,0.013332,4333810,193751762
"17-09-2018",0.013773,0.013921,0.012449,0.012813,4359410,208958978
"16-09-2018",0.01354,0.0138,0.012979,0.013734,2619640,205433291
"15-09-2018",0.013312,0.013539,0.012993,0.013527,3103130,201963417
"14-09-2018",0.013504,0.013588,0.012769,0.013296,4096760,204881185
"13-09-2018",0.0129,0.013954,0.012773,0.013497,5712850,195721499
