"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",121.64,122.69,119.43,119.61,83068300,620374781
"26-10-2018",125.48,125.78,119.59,121.38,100690000,639049891
"25-10-2018",126.98,129.08,124.76,125.2,93196700,645793766
"24-10-2018",121.28,126.97,120.42,126.34,95361200,615956128
"23-10-2018",122.97,123.6,119.67,120.91,75859000,623613263
"22-10-2018",125.14,125.74,121.71,122.66,84498700,633673572
"21-10-2018",126.3,127.05,124.19,125.24,89406600,638685359
"20-10-2018",120.11,126.95,119.14,125.67,94854900,606552025
"19-10-2018",119.27,120.77,116.3,120.21,67313800,601421522
"18-10-2018",118.57,122.92,117.67,118.8,65867900,597074874
"17-10-2018",115.66,119.66,112.71,119.01,107976000,581603005
"16-10-2018",113.16,116.76,111.63,115.42,128564000,568223505
"15-10-2018",109.16,118.4,107.54,112.92,139572000,547340455
"14-10-2018",112.03,113.11,108.54,108.54,100116000,560933886
"13-10-2018",110.49,112.92,110.01,111.57,109809000,552418844
"12-10-2018",109.06,112.12,107.93,109.02,115512000,544475961
"11-10-2018",123.54,124.03,109.91,110.04,93696300,615885294
"10-10-2018",125.99,126.6,123.42,123.66,175638000,627208891
"09-10-2018",126.27,129.4,125.68,126.11,188448000,627689448
"08-10-2018",125.34,127.9,124.07,126.5,159355000,622177899
"07-10-2018",125.33,127.5,123.76,125.46,141094000,621211405
"06-10-2018",127.89,129.49,124.63,125.81,147108000,632998217
"05-10-2018",124.22,130.91,124.07,127.72,147203000,613961082
"04-10-2018",122.36,126.32,121.58,124.03,169554000,603869886
"03-10-2018",127.05,127.72,119.89,122.06,133461000,626114655
"02-10-2018",127.09,128.94,125.71,126.83,133792000,625423185
"01-10-2018",131.89,133.9,126.37,127.38,151058000,648056862
"30-09-2018",133.87,134.56,129.03,131.99,151008000,656831438
"29-09-2018",136.32,136.32,131.83,133.51,143884000,667907356
"28-09-2018",143.01,145.04,134.18,136.35,165087000,699645853
"27-09-2018",133.12,144.96,132.55,143.35,134801000,650293271
"26-09-2018",136.18,141.79,128.63,133.04,127405000,664295891
"25-09-2018",137.25,138.01,126.61,133.87,111247000,668497168
