"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.036358,0.036464,0.035023,0.035265,5516390,282901841
"26-10-2018",0.034521,0.03674,0.034521,0.036381,15377000,268606960
"25-10-2018",0.034765,0.034989,0.033999,0.034607,5302860,270510331
"24-10-2018",0.034418,0.035152,0.034258,0.034801,5172570,267804671
"23-10-2018",0.034519,0.034655,0.033749,0.034435,4486890,268591800
"22-10-2018",0.034087,0.034662,0.033898,0.034574,3616980,265235073
"21-10-2018",0.034552,0.035164,0.03399,0.034139,4245250,268849896
"20-10-2018",0.034008,0.034889,0.033606,0.034587,3459220,264620094
"19-10-2018",0.033444,0.03469,0.033001,0.033962,3273930,260217479
"18-10-2018",0.035137,0.03576,0.033092,0.033447,6236640,273395580
"17-10-2018",0.034425,0.035371,0.034242,0.03512,6400360,267852762
"16-10-2018",0.034406,0.034475,0.033986,0.034384,3215070,267703747
"15-10-2018",0.032686,0.03508,0.032055,0.034317,11186400,254320487
"14-10-2018",0.032878,0.034278,0.032632,0.032719,7010930,255812724
"13-10-2018",0.032117,0.034081,0.032117,0.032902,3035740,249897169
"12-10-2018",0.031548,0.033522,0.030461,0.032146,6906800,245464111
"11-10-2018",0.037553,0.037553,0.031496,0.031725,15390000,292187274
"10-10-2018",0.037925,0.038148,0.036484,0.037687,9949920,295085109
"09-10-2018",0.036797,0.038472,0.036536,0.038,12579700,286308067
"08-10-2018",0.036491,0.037351,0.035834,0.036711,7462450,283926030
"07-10-2018",0.03635,0.036583,0.035562,0.03655,2934400,282830317
"06-10-2018",0.036489,0.036848,0.035596,0.036296,4052620,283913277
"05-10-2018",0.036922,0.037298,0.035568,0.036513,7754040,287273709
"04-10-2018",0.037647,0.038385,0.036453,0.036905,9547460,292911256
"03-10-2018",0.038145,0.038145,0.036224,0.037581,8977690,296791230
"02-10-2018",0.036795,0.039882,0.036697,0.038465,22098600,286280333
"01-10-2018",0.035595,0.036956,0.035185,0.036701,9628080,276939468
"30-09-2018",0.035187,0.035764,0.034715,0.03564,5036020,273763802
"29-09-2018",0.035245,0.035339,0.034235,0.035294,3873950,274217025
"28-09-2018",0.035489,0.035895,0.034418,0.035206,5098750,276116379
"27-09-2018",0.034488,0.035709,0.033334,0.035233,6343890,268327813
"26-09-2018",0.034101,0.035169,0.033749,0.034531,7724790,265318573
"25-09-2018",0.035318,0.035318,0.032716,0.033945,6903100,274783258
"24-09-2018",0.036119,0.03748,0.034557,0.035453,10260500,281018829
"23-09-2018",0.03552,0.036762,0.035157,0.036103,6562310,276353788
"22-09-2018",0.03709,0.037574,0.034202,0.035207,8842900,288570015
"21-09-2018",0.034595,0.037314,0.034286,0.037118,17252200,269162177
"20-09-2018",0.033031,0.034795,0.032587,0.034636,7820940,256996208
"19-09-2018",0.033357,0.033357,0.0318,0.032863,5356440,259530371
"18-09-2018",0.031473,0.033588,0.031092,0.032938,8799620,244873077
"17-09-2018",0.034494,0.034715,0.031296,0.031683,7349180,268375753
"16-09-2018",0.034057,0.034553,0.032825,0.034476,4246970,264976822
"15-09-2018",0.033532,0.034621,0.033199,0.033854,4312200,260888621
"14-09-2018",0.034567,0.035223,0.032578,0.033611,9675520,268943522
"13-09-2018",0.032253,0.03511,0.032253,0.03437,9510640,250938570
"12-09-2018",0.033363,0.033496,0.03031,0.032459,8085140,259579875
"11-09-2018",0.034616,0.035281,0.032523,0.033339,7720050,269323406
"10-09-2018",0.035539,0.035789,0.033853,0.034523,4618350,276497983
"09-09-2018",0.0358,0.036641,0.033604,0.035135,9182060,278428336
"08-09-2018",0.03641,0.037883,0.034515,0.035271,11384000,282956174
"07-09-2018",0.038457,0.038991,0.035704,0.036416,10182100,292892861
"06-09-2018",0.037088,0.039154,0.035029,0.038653,18185700,282463375
"05-09-2018",0.045603,0.046501,0.037093,0.037093,25285700,347316026
"04-09-2018",0.044801,0.047927,0.044679,0.045549,22581400,341204377
"03-09-2018",0.045435,0.045761,0.043805,0.044768,9755790,346036538
"02-09-2018",0.046619,0.047455,0.044247,0.045351,15089700,355048308
"01-09-2018",0.044673,0.04808,0.044495,0.0469,18259100,340218502
"31-08-2018",0.045028,0.045028,0.043006,0.044333,15956700,340968848
"30-08-2018",0.045296,0.045979,0.041872,0.044975,21151700,342998917
"29-08-2018",0.047785,0.047881,0.043957,0.045366,23825400,361843535
"28-08-2018",0.043734,0.048495,0.043274,0.047772,23650800,331164517
"27-08-2018",0.041923,0.043881,0.040969,0.043881,17810900,317329646
"26-08-2018",0.040684,0.042434,0.038146,0.041821,19409300,307946530
"25-08-2018",0.038924,0.040987,0.037879,0.040736,15789700,294630237
"24-08-2018",0.037126,0.03918,0.035657,0.038949,14033500,281019079
"23-08-2018",0.034739,0.03721,0.034067,0.036913,8575830,262899989
"22-08-2018",0.036193,0.039115,0.033006,0.034216,13276500,273897310
"21-08-2018",0.034587,0.03684,0.034515,0.036099,9265060,261746756
"20-08-2018",0.038785,0.039847,0.034652,0.034876,14765900,293514359
"19-08-2018",0.035896,0.039859,0.034825,0.039008,14080100,271653939
"18-08-2018",0.04252,0.044609,0.032873,0.035934,29933100,321779130
"17-08-2018",0.030233,0.04264,0.030206,0.04264,32628200,228794148
"16-08-2018",0.028346,0.03064,0.027849,0.030133,7554880,214517038
"15-08-2018",0.027278,0.031241,0.027278,0.028349,13198400,206427018
"14-08-2018",0.030038,0.030038,0.024073,0.027118,15506100,227313819
"13-08-2018",0.037634,0.038248,0.030113,0.030113,11990600,284796615
"12-08-2018",0.038236,0.039074,0.035651,0.037398,4970700,289350050
"11-08-2018",0.040341,0.040402,0.036888,0.038266,9117670,305281224
