"Date","Open","High","Low","Close","Volume","Market Cap"
"27-10-2018",0.808013,0.817177,0.783408,0.786938,12475800,440194118
"26-10-2018",0.842764,0.852033,0.804272,0.808284,16284500,459377342
"25-10-2018",0.849515,0.849553,0.834704,0.844249,10325200,463136082
"24-10-2018",0.878461,0.886603,0.842685,0.84829,15830100,477363721
"23-10-2018",0.909485,0.914181,0.874104,0.880888,13463400,493996323
"22-10-2018",0.875644,0.913127,0.872097,0.911521,14710300,475327537
"21-10-2018",0.895491,0.906377,0.870698,0.875054,12138900,486062384
"20-10-2018",0.90911,0.916056,0.88777,0.896417,15318200,493403967
"19-10-2018",0.860596,0.932269,0.860596,0.910461,31459300,467045047
"18-10-2018",0.907872,0.914359,0.836998,0.859239,30953600,492571658
"17-10-2018",0.858266,1.07,0.843601,0.907617,148308000,465076176
"16-10-2018",0.729891,0.880333,0.725181,0.853106,44859700,395346453
"15-10-2018",0.710351,0.770738,0.694137,0.727899,20393400,384611517
"14-10-2018",0.733235,0.767028,0.698572,0.710169,11636800,396903899
"13-10-2018",0.741371,0.757002,0.722609,0.732961,13975700,401187433
"12-10-2018",0.752944,0.80708,0.741365,0.742107,35460000,407434367
"11-10-2018",0.7536,0.879996,0.654374,0.767495,65202600,407909769
"10-10-2018",0.753409,0.760969,0.724536,0.756193,11906000,407672138
"09-10-2018",0.716484,0.769247,0.705827,0.756245,13182100,387173707
"08-10-2018",0.7367,0.780981,0.713537,0.713537,20444400,398280009
"07-10-2018",0.647307,0.782485,0.642952,0.732234,32892700,349664689
"06-10-2018",0.649562,0.657915,0.633959,0.645577,4669980,350856756
"05-10-2018",0.642816,0.648954,0.624553,0.645538,4729100,347196170
"04-10-2018",0.615699,0.65742,0.608226,0.644065,6158450,332436024
"03-10-2018",0.636645,0.636645,0.604813,0.615925,6895760,343653891
"02-10-2018",0.64112,0.650887,0.627808,0.637115,5110050,346050413
"01-10-2018",0.644867,0.659576,0.634209,0.642711,5007990,348103609
"30-09-2018",0.65049,0.656975,0.633854,0.652157,5871430,351194946
"29-09-2018",0.654114,0.668991,0.62951,0.653782,6019280,353163292
"28-09-2018",0.686074,0.69661,0.64815,0.655962,6686440,370437751
"27-09-2018",0.640558,0.697917,0.639016,0.683949,7970100,345850972
"26-09-2018",0.654862,0.679252,0.621527,0.642556,11722100,353510964
"25-09-2018",0.655838,0.667958,0.597247,0.653158,15532200,354140752
"24-09-2018",0.642647,0.732646,0.612854,0.658821,24296200,346824020
"23-09-2018",0.615074,0.643434,0.602821,0.641618,10299100,331859769
"22-09-2018",0.636919,0.643137,0.584629,0.614976,15870300,343825645
"21-09-2018",0.570568,0.655833,0.566251,0.637153,24386600,307950766
"20-09-2018",0.526364,0.571081,0.526364,0.567621,14955700,284059183
"19-09-2018",0.52557,0.532878,0.506132,0.52698,7324510,283641889
