Time,Close,Result,Signal
2017-06-01T23:59:59+08:00,1.71036E-01,0E+00,0
2017-06-02T23:59:59+08:00,1.56576E-01,0E+00,0
2017-06-03T23:59:59+08:00,1.66049E-01,0E+00,0
2017-06-04T23:59:59+08:00,2.85542E-01,0E+00,0
2017-06-05T23:59:59+08:00,2.91661E-01,0E+00,0
2017-06-06T23:59:59+08:00,2.60062E-01,7.457326767654463E+01,1
2017-06-07T23:59:59+08:00,2.3859E-01,7.179414953549183E+01,0
2017-06-08T23:59:59+08:00,2.23217E-01,6.472976872655315E+01,0
2017-06-09T23:59:59+08:00,2.2508E-01,1.0444089707691077E+01,-1
2017-06-10T23:59:59+08:00,1.97021E-01,1.8939470955411508E+00,-1
2017-06-11T23:59:59+08:00,1.82229E-01,2.284235951887595E+00,-1
2017-06-12T23:59:59+08:00,1.82798E-01,4.009496175151668E+00,-1
2017-06-13T23:59:59+08:00,1.94538E-01,2.4853129438998295E+01,-1
2017-06-14T23:59:59+08:00,1.69383E-01,1.5325904252007717E+01,-1
2017-06-15T23:59:59+08:00,2.15435E-01,5.936546364487122E+01,0
2017-06-16T23:59:59+08:00,2.32775E-01,7.50584992464504E+01,1
2017-06-17T23:59:59+08:00,2.084E-01,6.026856620301295E+01,0
2017-06-18T23:59:59+08:00,1.97482E-01,5.118863049095607E+01,0
2017-06-19T23:59:59+08:00,1.81102E-01,5.509233911267545E+01,0
2017-06-20T23:59:59+08:00,1.91778E-01,3.51566715606922E+01,0
2017-06-21T23:59:59+08:00,1.87384E-01,1.5995684940742834E+01,-1
2017-06-22T23:59:59+08:00,1.7816E-01,2.069313071794076E+01,-1
2017-06-23T23:59:59+08:00,1.98476E-01,5.0814887686506005E+01,0
2017-06-24T23:59:59+08:00,1.86039E-01,5.4327133766893965E+01,0
2017-06-25T23:59:59+08:00,1.70223E-01,3.2669207390612186E+01,0
2017-06-26T23:59:59+08:00,1.51785E-01,2.665057522530205E+01,-1
2017-06-27T23:59:59+08:00,1.52734E-01,3.1292306786744362E+01,0
2017-06-28T23:59:59+08:00,1.73771E-01,3.2013629016992596E+01,0
2017-06-29T23:59:59+08:00,1.54906E-01,2.9273683509753013E+01,0
2017-06-30T23:59:59+08:00,1.36025E-01,2.8125879493411787E+01,0
2017-07-01T23:59:59+08:00,1.30854E-01,3.387516755774001E+01,0
2017-07-02T23:59:59+08:00,1.24109E-01,2.9755724974893553E+01,0
2017-07-03T23:59:59+08:00,1.28747E-01,8.541436464088406E+00,-1
2017-07-04T23:59:59+08:00,1.31304E-01,1.8938197515266395E+01,-1
2017-07-05T23:59:59+08:00,1.28955E-01,3.3527493010251604E+01,0
2017-07-06T23:59:59+08:00,1.21223E-01,2.995295782856668E+01,0
2017-07-07T23:59:59+08:00,1.07727E-01,2.3381645651891347E+01,-1
2017-07-08T23:59:59+08:00,1.0557E-01,9.038210031458775E+00,-1
2017-07-09T23:59:59+08:00,1.06766E-01,4.44114370590421E+00,-1
2017-07-10T23:59:59+08:00,8.9701E-02,2.8718244249147773E+00,-1
2017-07-11T23:59:59+08:00,8.8201E-02,3.377195459422836E+00,-1
2017-07-12T23:59:59+08:00,1.01409E-01,4.1006661732050325E+01,0
2017-07-13T23:59:59+08:00,9.1283E-02,3.3423831070889904E+01,0
2017-07-14T23:59:59+08:00,8.6166E-02,2.8092564233452435E+01,0
2017-07-15T23:59:59+08:00,7.8687E-02,3.528720277851991E+01,0
2017-07-16T23:59:59+08:00,7.1781E-02,3.0833878046502946E+01,0
2017-07-17T23:59:59+08:00,8.8821E-02,3.6513242478786324E+01,0
2017-07-18T23:59:59+08:00,9.5676E-02,5.506140977486922E+01,0
2017-07-19T23:59:59+08:00,8.1988E-02,4.598021859605912E+01,0
