Time,Close,Result,Signal
2014-06-17T23:59:59+08:00,6E-05,0E+00,0
2014-06-18T23:59:59+08:00,6.7E-05,0E+00,0
2014-06-19T23:59:59+08:00,6.6E-05,0E+00,0
2014-06-20T23:59:59+08:00,6.5E-05,0E+00,0
2014-06-21T23:59:59+08:00,6E-05,0E+00,0
2014-06-22T23:59:59+08:00,7.8E-05,7.8125E+01,1
2014-06-23T23:59:59+08:00,8.3E-05,7.666666666666666E+01,1
2014-06-24T23:59:59+08:00,5.8E-05,4.259259259259259E+01,0
2014-06-25T23:59:59+08:00,5.7E-05,4.25925925925926E+01,0
2014-06-26T23:59:59+08:00,5.8E-05,4.799999999999999E+01,0
2014-06-27T23:59:59+08:00,6E-05,2.3529411764705884E+01,-1
2014-06-28T23:59:59+08:00,5.4E-05,8.57142857142857E+00,-1
2014-06-29T23:59:59+08:00,5.4E-05,2.9999999999999986E+01,0
2014-06-30T23:59:59+08:00,5.1E-05,2.4999999999999986E+01,-1
2014-07-01T23:59:59+08:00,5.1E-05,1.8181818181818187E+01,-1
2014-07-02T23:59:59+08:00,4.6E-05,0E+00,-1
2014-07-03T23:59:59+08:00,3.9E-05,0E+00,-1
2014-07-04T23:59:59+08:00,5E-05,4.2307692307692314E+01,0
2014-07-05T23:59:59+08:00,4.4E-05,3.793103448275862E+01,0
2014-07-06T23:59:59+08:00,4.4E-05,3.793103448275862E+01,0
2014-07-07T23:59:59+08:00,3.7E-05,3.5483870967741936E+01,0
2014-07-08T23:59:59+08:00,4.4E-05,5.806451612903225E+01,0
2014-07-09T23:59:59+08:00,3.1E-05,2.1212121212121204E+01,-1
2014-07-10T23:59:59+08:00,4.9E-05,5.555555555555556E+01,0
2014-07-11T23:59:59+08:00,5.1E-05,5.74468085106383E+01,0
2014-07-12T23:59:59+08:00,4.4E-05,5.74468085106383E+01,0
2014-07-13T23:59:59+08:00,3.8E-05,4.347826086956522E+01,0
2014-07-14T23:59:59+08:00,5E-05,7.111111111111111E+01,0
2014-07-15T23:59:59+08:00,4.4E-05,4.242424242424243E+01,0
2014-07-16T23:59:59+08:00,3.7E-05,3.1578947368421055E+01,0
2014-07-17T23:59:59+08:00,3.7E-05,3.870967741935484E+01,0
2014-07-18T23:59:59+08:00,3.8E-05,5E+01,0
2014-07-19T23:59:59+08:00,3.8E-05,7.142857142857153E+00,-1
2014-07-20T23:59:59+08:00,3.7E-05,1.1111111111111143E+01,-1
2014-07-21T23:59:59+08:00,3.1E-05,1.2500000000000043E+01,-1
2014-07-22T23:59:59+08:00,3.1E-05,1.2500000000000043E+01,-1
2014-07-23T23:59:59+08:00,3.1E-05,0E+00,-1
2014-07-24T23:59:59+08:00,3E-05,0E+00,-1
2014-07-25T23:59:59+08:00,3E-05,0E+00,-1
2014-07-26T23:59:59+08:00,2.4E-05,0E+00,-1
2014-07-27T23:59:59+08:00,2.4E-05,0E+00,-1
2014-07-28T23:59:59+08:00,2.4E-05,0E+00,-1
2014-07-29T23:59:59+08:00,2.3E-05,0E+00,-1
2014-07-30T23:59:59+08:00,2.5E-05,2.222222222222223E+01,-1
2014-07-31T23:59:59+08:00,2E-05,2.5000000000000014E+01,-1
2014-08-01T23:59:59+08:00,2.4E-05,5E+01,0
2014-08-02T23:59:59+08:00,2.4E-05,5E+01,0
2014-08-03T23:59:59+08:00,2.3E-05,5E+01,0
2014-08-04T23:59:59+08:00,1.9E-05,2.857142857142857E+01,0
2014-08-05T23:59:59+08:00,1.7E-05,3.636363636363635E+01,0
2014-08-06T23:59:59+08:00,1.8E-05,1.2500000000000014E+01,-1
2014-08-07T23:59:59+08:00,1.7E-05,1.1111111111111114E+01,-1
2014-08-08T23:59:59+08:00,1.8E-05,2.222222222222223E+01,-1
2014-08-09T23:59:59+08:00,1.6E-05,2.857142857142857E+01,0
2014-08-10T23:59:59+08:00,1.3E-05,2.5000000000000014E+01,-1
2014-08-11T23:59:59+08:00,1.2E-05,1.2500000000000014E+01,-1
2014-08-12T23:59:59+08:00,1.6E-05,4.545454545454546E+01,0
2014-08-13T23:59:59+08:00,1.7E-05,4.545454545454546E+01,0
2014-08-14T23:59:59+08:00,2.1E-05,6.923076923076923E+01,0
2014-08-15T23:59:59+08:00,2.3E-05,9.166666666666667E+01,1
2014-08-16T23:59:59+08:00,2.6E-05,1E+02,1
2014-08-17T23:59:59+08:00,1.7E-05,5.2631578947368425E+01,0
2014-08-18T23:59:59+08:00,1.8E-05,5.2631578947368425E+01,0
2014-08-19T23:59:59+08:00,1.8E-05,4E+01,0
2014-08-20T23:59:59+08:00,1.6E-05,2.6666666666666657E+01,-1
2014-08-21T23:59:59+08:00,2.3E-05,4.210526315789475E+01,0
2014-08-22T23:59:59+08:00,2.7E-05,8.571428571428571E+01,1
2014-08-23T23:59:59+08:00,2.3E-05,6.470588235294119E+01,0
2014-08-24T23:59:59+08:00,2.1E-05,5.789473684210526E+01,0
2014-08-25T23:59:59+08:00,2.3E-05,6.842105263157895E+01,0
2014-08-26T23:59:59+08:00,2.1E-05,4.285714285714285E+01,0
2014-08-27T23:59:59+08:00,2.3E-05,3.333333333333334E+01,0
