Time,Close,Result,Signal
2017-07-25T23:59:59+08:00,1.0587E-01,0E+00,0
2017-07-26T23:59:59+08:00,1.05138E-01,0E+00,0
2017-07-27T23:59:59+08:00,1.07737E-01,0E+00,0
2017-07-28T23:59:59+08:00,1.04067E-01,0E+00,0
2017-07-29T23:59:59+08:00,1.07811E-01,0E+00,0
2017-07-30T23:59:59+08:00,1.06414E-01,5.224015812880904E+01,0
2017-07-31T23:59:59+08:00,1.0425E-01,4.6729040813319585E+01,0
2017-08-01T23:59:59+08:00,9.9867E-02,2.4378174241437677E+01,-1
2017-08-02T23:59:59+08:00,1.00452E-01,3.5272549498900005E+01,0
2017-08-03T23:59:59+08:00,1.06642E-01,4.602894218357225E+01,0
2017-08-04T23:59:59+08:00,1.07494E-01,5.380979257795969E+01,0
2017-08-05T23:59:59+08:00,1.28871E-01,8.687213586126337E+01,1
2017-08-06T23:59:59+08:00,1.30999E-01,1E+02,1
2017-08-07T23:59:59+08:00,1.48848E-01,1E+02,1
2017-08-08T23:59:59+08:00,2.24421E-01,1E+02,1
2017-08-09T23:59:59+08:00,2.42912E-01,1E+02,1
2017-08-10T23:59:59+08:00,3.49079E-01,1E+02,1
2017-08-11T23:59:59+08:00,3.92572E-01,1E+02,1
2017-08-12T23:59:59+08:00,4.46365E-01,1E+02,1
2017-08-13T23:59:59+08:00,8.76828E-01,1E+02,1
2017-08-14T23:59:59+08:00,1.3E+00,1E+02,1
2017-08-15T23:59:59+08:00,1.06E+00,7.984752976897713E+01,1
2017-08-16T23:59:59+08:00,1.44E+00,8.428731174235381E+01,1
2017-08-17T23:59:59+08:00,1.97E+00,8.80217704322394E+01,1
2017-08-18T23:59:59+08:00,2.38E+00,8.789817524652425E+01,1
2017-08-19T23:59:59+08:00,2.09E+00,7.135135135135135E+01,0
2017-08-20T23:59:59+08:00,2.5E+00,8.564356435643563E+01,1
2017-08-21T23:59:59+08:00,2.7E+00,8.423913043478261E+01,1
2017-08-22T23:59:59+08:00,2.49E+00,6.710526315789474E+01,0
2017-08-23T23:59:59+08:00,2.58E+00,5.833333333333334E+01,0
2017-08-24T23:59:59+08:00,2.38E+00,6.306306306306306E+01,0
2017-08-25T23:59:59+08:00,2.5E+00,5E+01,0
2017-08-26T23:59:59+08:00,2.17E+00,2.210526315789474E+01,-1
2017-08-27T23:59:59+08:00,2.01E+00,2.3333333333333314E+01,-1
2017-08-28T23:59:59+08:00,2.04E+00,1.785714285714289E+01,-1
2017-08-29T23:59:59+08:00,2.33E+00,4.7311827956989255E+01,0
2017-08-30T23:59:59+08:00,2.35E+00,4.096385542168676E+01,0
