Time,Close,Result,Signal
2013-04-28T23:59:59+08:00,1.3421E+02,0E+00,0
2013-04-29T23:59:59+08:00,1.4454E+02,0E+00,0
2013-04-30T23:59:59+08:00,1.39E+02,0E+00,0
2013-05-01T23:59:59+08:00,1.1699E+02,0E+00,0
2013-05-02T23:59:59+08:00,1.0521E+02,0E+00,0
2013-05-03T23:59:59+08:00,9.775E+01,1.80847338935574E+01,-1
2013-05-04T23:59:59+08:00,1.125E+02,2.396815079623009E+01,-1
2013-05-05T23:59:59+08:00,1.1591E+02,3.0567244571620932E+01,0
2013-05-06T23:59:59+08:00,1.123E+02,4.4281882467690814E+01,0
2013-05-07T23:59:59+08:00,1.115E+02,6.047286047286049E+01,0
2013-05-08T23:59:59+08:00,1.1357E+02,8.210227272727273E+01,1
2013-05-09T23:59:59+08:00,1.1267E+02,5.078776645041705E+01,0
2013-05-10T23:59:59+08:00,1.172E+02,5.5415617128463516E+01,0
2013-05-11T23:59:59+08:00,1.1524E+02,6.432748538011697E+01,0
2013-05-12T23:59:59+08:00,1.15E+02,6.804123711340208E+01,0
2013-05-13T23:59:59+08:00,1.1798E+02,7.078228086710655E+01,0
2013-05-14T23:59:59+08:00,1.115E+02,4.638665843113032E+01,0
2013-05-15T23:59:59+08:00,1.1422E+02,3.963838664812239E+01,0
2013-05-16T23:59:59+08:00,1.1876E+02,6.037735849056607E+01,0
2013-05-17T23:59:59+08:00,1.2301E+02,6.909871244635193E+01,0
2013-05-18T23:59:59+08:00,1.235E+02,6.493506493506493E+01,0
2013-05-19T23:59:59+08:00,1.2199E+02,8.882309400444112E+01,1
2013-05-20T23:59:59+08:00,1.22E+02,8.601851851851848E+01,1
2013-05-21T23:59:59+08:00,1.2288E+02,7.885154061624642E+01,1
2013-05-22T23:59:59+08:00,1.2389E+02,6.1282051282051206E+01,0
2013-05-23T23:59:59+08:00,1.267E+02,7.572347266881026E+01,1
2013-05-24T23:59:59+08:00,1.332E+02,1E+02,1
2013-05-25T23:59:59+08:00,1.3198E+02,9.017713365539453E+01,1
2013-05-26T23:59:59+08:00,1.3348E+02,9.06441717791411E+01,1
2013-05-27T23:59:59+08:00,1.2974E+02,6.854787571337991E+01,0
2013-05-28T23:59:59+08:00,1.29E+02,5.839416058394161E+01,0
2013-05-29T23:59:59+08:00,1.323E+02,4.571428571428582E+01,0
2013-05-30T23:59:59+08:00,1.288E+02,3.755868544600948E+01,0
2013-05-31T23:59:59+08:00,1.29E+02,3.0487804878048806E+01,0
2013-06-01T23:59:59+08:00,1.293E+02,4.7263681592039816E+01,0
2013-06-02T23:59:59+08:00,1.2229E+02,2.655485674353602E+01,-1
2013-06-03T23:59:59+08:00,1.2222E+02,4.512635379061379E+00,-1
2013-06-04T23:59:59+08:00,1.2142E+02,5.966587112171837E+00,-1
2013-06-05T23:59:59+08:00,1.2165E+02,6.302021403091729E+00,-1
2013-06-06T23:59:59+08:00,1.18E+02,1.9557823129251943E+00,-1
