Time,Close,Result,Signal
2017-10-23T23:59:59+08:00,5.0013E+02,0E+00,0
2017-10-24T23:59:59+08:00,1.4292E+02,0E+00,0
2017-10-25T23:59:59+08:00,1.3709E+02,0E+00,0
2017-10-26T23:59:59+08:00,1.3623E+02,0E+00,0
2017-10-27T23:59:59+08:00,1.2066E+02,0E+00,0
2017-10-28T23:59:59+08:00,1.1582E+02,0E+00,-1
2017-10-29T23:59:59+08:00,1.3918E+02,4.629409433214429E+01,0
2017-10-30T23:59:59+08:00,1.328E+02,4.5794942168202326E+01,0
2017-10-31T23:59:59+08:00,1.5673E+02,6.383639308855292E+01,0
2017-11-01T23:59:59+08:00,1.4488E+02,6.721148379761229E+01,0
2017-11-02T23:59:59+08:00,1.2751E+02,5.70515140547714E+01,0
2017-11-03T23:59:59+08:00,1.3176E+02,4.4183129507682644E+01,0
2017-11-04T23:59:59+08:00,1.4217E+02,5.690901047043207E+01,0
2017-11-05T23:59:59+08:00,1.6576E+02,5.669186305024456E+01,0
2017-11-06T23:59:59+08:00,1.4877E+02,5.267869439471148E+01,0
2017-11-07T23:59:59+08:00,1.5335E+02,7.15981277164828E+01,0
2017-11-08T23:59:59+08:00,1.3939E+02,5.548684021285776E+01,0
2017-11-09T23:59:59+08:00,1.5666E+02,5.9484225683990054E+01,0
2017-11-10T23:59:59+08:00,2.134E+02,7.17454811027935E+01,0
2017-11-11T23:59:59+08:00,4.2714E+02,9.54422279538999E+01,1
2017-11-12T23:59:59+08:00,2.8241E+02,6.44543499686408E+01,0
2017-11-13T23:59:59+08:00,2.4922E+02,6.1792685807546114E+01,0
2017-11-14T23:59:59+08:00,1.5994E+02,5.030501413480137E+01,0
2017-11-15T23:59:59+08:00,1.6169E+02,4.464356004889267E+01,0
2017-11-16T23:59:59+08:00,1.4078E+02,6.037397364244868E-01,-1
2017-11-17T23:59:59+08:00,1.5202E+02,8.30722005499777E+00,-1
2017-11-18T23:59:59+08:00,1.5573E+02,1.3161005595397583E+01,-1
2017-11-19T23:59:59+08:00,1.3569E+02,2.8967909800520374E+01,0
2017-11-20T23:59:59+08:00,2.3637E+02,7.38472346404394E+01,1
2017-11-21T23:59:59+08:00,2.6721E+02,8.796468680559727E+01,1
2017-11-22T23:59:59+08:00,2.4172E+02,7.481190528878071E+01,1
2017-11-23T23:59:59+08:00,2.9361E+02,8.011269328208266E+01,1
2017-11-24T23:59:59+08:00,3.9422E+02,9.176440179638784E+01,1
2017-11-25T23:59:59+08:00,3.5604E+02,7.422371563904295E+01,1
2017-11-26T23:59:59+08:00,3.6679E+02,7.194165344614842E+01,0
2017-11-27T23:59:59+08:00,3.5924E+02,7.811752320796248E+01,1
2017-11-28T23:59:59+08:00,3.2978E+02,5.969445188957382E+01,0
2017-11-29T23:59:59+08:00,2.9541E+02,8.935250602609926E+00,-1
2017-11-30T23:59:59+08:00,3.0464E+02,2.1869527145358987E+01,-1
2017-12-01T23:59:59+08:00,3.1164E+02,1.8525282501997452E+01,-1
2017-12-02T23:59:59+08:00,2.9907E+02,1.752132138615997E+01,-1
2017-12-03T23:59:59+08:00,3.2066E+02,4.462010382255784E+01,0
2017-12-04T23:59:59+08:00,3.2838E+02,7.836861125451729E+01,1
2017-12-05T23:59:59+08:00,3.0468E+02,5.002755580049602E+01,0
2017-12-06T23:59:59+08:00,2.7989E+02,3.243332964479363E+01,0
2017-12-07T23:59:59+08:00,2.5164E+02,2.7637906647807625E+01,0
2017-12-08T23:59:59+08:00,2.6116E+02,1.834432858054906E+01,-1
2017-12-09T23:59:59+08:00,2.431E+02,9.12576687116568E+00,-1
2017-12-10T23:59:59+08:00,2.2887E+02,1.0036900369003718E+01,-1
2017-12-11T23:59:59+08:00,2.5445E+02,3.670012547051443E+01,0
2017-12-12T23:59:59+08:00,2.7545E+02,6.346871818078967E+01,0
2017-12-13T23:59:59+08:00,2.7145E+02,5.62085193676843E+01,0
2017-12-14T23:59:59+08:00,3.1695E+02,8.347384643278035E+01,1
2017-12-15T23:59:59+08:00,2.9784E+02,7.993749457418177E+01,1
2017-12-16T23:59:59+08:00,2.964E+02,7.30367929708951E+01,1
2017-12-17T23:59:59+08:00,3.0048E+02,6.68825037096992E+01,0
2017-12-18T23:59:59+08:00,3.1953E+02,7.695671675263512E+01,1
2017-12-19T23:59:59+08:00,3.5518E+02,7.409555023320308E+01,1
2017-12-20T23:59:59+08:00,4.5345E+02,9.909142532651903E+01,1
2017-12-21T23:59:59+08:00,4.0677E+02,7.708732145486672E+01,1
2017-12-22T23:59:59+08:00,3.0573E+02,5.087299211812831E+01,0
2017-12-23T23:59:59+08:00,3.3456E+02,5.242052372209876E+01,0
2017-12-24T23:59:59+08:00,3.0522E+02,4.17872172540768E+01,0
2017-12-25T23:59:59+08:00,3.0933E+02,1.5685714285714269E+01,-1
2017-12-26T23:59:59+08:00,3.0729E+02,1.992017416545717E+01,-1
2017-12-27T23:59:59+08:00,3.1788E+02,5.810973167801362E+01,0
2017-12-28T23:59:59+08:00,2.8434E+02,1.846269781461939E+01,-1
2017-12-29T23:59:59+08:00,2.8058E+02,2.7202072538860023E+01,0
2017-12-30T23:59:59+08:00,2.5151E+02,1.3405063291139228E+01,-1
2017-12-31T23:59:59+08:00,2.6172E+02,2.3861420213376178E+01,-1
2018-01-01T23:59:59+08:00,2.729E+02,2.4373290793072E+01,-1
2018-01-02T23:59:59+08:00,2.7708E+02,4.378424657534247E+01,0
2018-01-03T23:59:59+08:00,2.7024E+02,4.1590761223162026E+01,0
2018-01-04T23:59:59+08:00,2.7376E+02,8.096298357918178E+01,1
2018-01-05T23:59:59+08:00,2.7744E+02,7.673469387755104E+01,1
2018-01-06T23:59:59+08:00,3.0038E+02,8.338192419825077E+01,1
2018-01-07T23:59:59+08:00,3.0225E+02,8.239382239382245E+01,1
