Time,Close,Result,Signal
2017-08-08T23:59:59+08:00,1.12791E-01,0E+00,0
2017-08-09T23:59:59+08:00,1.02764E-01,0E+00,0
2017-08-10T23:59:59+08:00,1.13176E-01,0E+00,0
2017-08-11T23:59:59+08:00,1.79872E-01,0E+00,0
2017-08-12T23:59:59+08:00,1.45452E-01,0E+00,0
2017-08-13T23:59:59+08:00,1.80029E-01,7.153242128455409E+01,0
2017-08-14T23:59:59+08:00,3.28485E-01,8.831481424900106E+01,1
2017-08-15T23:59:59+08:00,2.77514E-01,7.451927667701122E+01,1
2017-08-16T23:59:59+08:00,3.03196E-01,7.09659102500459E+01,0
2017-08-17T23:59:59+08:00,2.80367E-01,7.387749323044793E+01,1
2017-08-18T23:59:59+08:00,2.29612E-01,5.829999363895371E+01,0
2017-08-19T23:59:59+08:00,2.27993E-01,1.6912074596986642E+01,-1
2017-08-20T23:59:59+08:00,2.1656E-01,2.2865435638099E+01,-1
2017-08-21T23:59:59+08:00,1.76911E-01,0E+00,-1
2017-08-22T23:59:59+08:00,1.81937E-01,4.6330266772367565E+00,-1
2017-08-23T23:59:59+08:00,2.03496E-01,3.353050979996469E+01,0
2017-08-24T23:59:59+08:00,1.84612E-01,2.7534670795745257E+01,0
2017-08-25T23:59:59+08:00,1.7997E-01,2.961786987522281E+01,0
2017-08-26T23:59:59+08:00,1.8313E-01,5.583713465112348E+01,0
2017-08-27T23:59:59+08:00,1.8022E-01,4.8321767178183954E+01,0
2017-08-28T23:59:59+08:00,1.73348E-01,8.66513107381813E+00,-1
2017-08-29T23:59:59+08:00,1.65634E-01,1.2491106016285869E+01,-1
2017-08-30T23:59:59+08:00,1.39908E-01,6.812987796990214E+00,-1
2017-08-31T23:59:59+08:00,1.72265E-01,4.2812156816046794E+01,0
2017-09-01T23:59:59+08:00,1.47444E-01,3.319007077648989E+01,0
2017-09-02T23:59:59+08:00,1.26199E-01,2.892556073053646E+01,0
2017-09-03T23:59:59+08:00,1.06528E-01,2.6132288806331772E+01,-1
2017-09-04T23:59:59+08:00,6.0919E-02,2.251657933376478E+01,-1
2017-09-05T23:59:59+08:00,4.9044E-02,0E+00,-1
2017-09-06T23:59:59+08:00,5.8112E-02,8.43786057244948E+00,-1
2017-09-07T23:59:59+08:00,4.5743E-02,9.19750081142486E+00,-1
2017-09-08T23:59:59+08:00,4.8414E-02,1.4387439945092652E+01,-1
2017-09-09T23:59:59+08:00,4.5487E-02,3.016962220508867E+01,0
2017-09-10T23:59:59+08:00,4.5212E-02,4.298425485170268E+01,0
2017-09-11T23:59:59+08:00,4.5234E-02,1.4744853263250121E+01,-1
2017-09-12T23:59:59+08:00,4.1766E-02,2.876214888390473E+01,0
2017-09-13T23:59:59+08:00,3.9485E-02,2.4517998439765165E-01,-1
2017-09-14T23:59:59+08:00,3.9368E-02,3.569690085997337E-01,-1
2017-09-15T23:59:59+08:00,4.4417E-02,4.6365548139343495E+01,0
2017-09-16T23:59:59+08:00,4.5474E-02,5.1002338790511175E+01,0
2017-09-17T23:59:59+08:00,4.4561E-02,6.484018264840186E+01,0
