Time,Close,Result,Signal
2014-07-21T23:59:59+08:00,1.3487E-02,0E+00,0
2014-07-22T23:59:59+08:00,1.0128E-02,0E+00,0
2014-07-23T23:59:59+08:00,1.0022E-02,0E+00,0
2014-07-24T23:59:59+08:00,9.924E-03,0E+00,0
2014-07-25T23:59:59+08:00,9.244E-03,0E+00,0
2014-07-26T23:59:59+08:00,9.022E-03,0E+00,-1
2014-07-27T23:59:59+08:00,8.2E-03,0E+00,-1
2014-07-28T23:59:59+08:00,7.998E-03,0E+00,-1
2014-07-29T23:59:59+08:00,8.063E-03,3.264691109995013E+00,-1
2014-07-30T23:59:59+08:00,8.969E-03,4.3797925124041484E+01,0
2014-07-31T23:59:59+08:00,9.9E-03,6.500341763499658E+01,0
2014-08-01T23:59:59+08:00,9.587E-03,7.869259412494824E+01,1
2014-08-02T23:59:59+08:00,9.956E-03,8.788699690402474E+01,1
2014-08-03T23:59:59+08:00,9.536E-03,7.50595440626063E+01,1
2014-08-04T23:59:59+08:00,9.394E-03,5.977011494252872E+01,0
2014-08-05T23:59:59+08:00,9.577E-03,3.868255080588647E+01,0
2014-08-06T23:59:59+08:00,8.972E-03,3.2111692844677165E+01,0
2014-08-07T23:59:59+08:00,9.014E-03,1.6163793103448242E+01,-1
2014-08-08T23:59:59+08:00,9.054E-03,2.6185770750988127E+01,-1
2014-08-09T23:59:59+08:00,8.911E-03,2.615992102665352E+01,-1
2014-08-10T23:59:59+08:00,9.161E-03,3.074074074074072E+01,0
2014-08-11T23:59:59+08:00,8.751E-03,3.751412429378526E+01,0
2014-08-12T23:59:59+08:00,8.592E-03,2.894211576846311E+01,0
2014-08-13T23:59:59+08:00,8.584E-03,2.5773195876288668E+01,-1
2014-08-14T23:59:59+08:00,8.281E-03,2.2123893805309734E+01,-1
2014-08-15T23:59:59+08:00,8.782E-03,3.627805937726283E+01,0
2014-08-16T23:59:59+08:00,1.094E-02,8.497922658996485E+01,1
2014-08-17T23:59:59+08:00,1.0505E-02,7.809104258443466E+01,1
2014-08-18T23:59:59+08:00,1.0131E-02,7.051180058339963E+01,0
2014-08-19T23:59:59+08:00,1.0819E-02,8.053416746871991E+01,1
2014-08-20T23:59:59+08:00,1.5204E-02,8.993781094527363E+01,1
2014-08-21T23:59:59+08:00,2.0439E-02,9.272285688585049E+01,1
2014-08-22T23:59:59+08:00,2.8725E-02,9.802825811893715E+01,1
2014-08-23T23:59:59+08:00,2.4942E-02,8.309424855878804E+01,1
2014-08-24T23:59:59+08:00,3.0368E-02,8.60483127420247E+01,1
2014-08-25T23:59:59+08:00,4.6714E-02,9.031886579997952E+01,1
2014-08-26T23:59:59+08:00,3.8864E-02,7.209709529634694E+01,0
2014-08-27T23:59:59+08:00,3.7841E-02,6.32392238875334E+01,0
2014-08-28T23:59:59+08:00,3.0747E-02,5.7690982802935956E+01,0
2014-08-29T23:59:59+08:00,2.6225E-02,4.437627256685218E+01,0
2014-08-30T23:59:59+08:00,3.1437E-02,2.0279366561612377E+01,-1
2014-08-31T23:59:59+08:00,3.0268E-02,2.7402733964248156E+01,0
2014-09-01T23:59:59+08:00,2.8243E-02,2.6031365497952265E+01,-1
2014-09-02T23:59:59+08:00,2.7696E-02,3.867903525046382E+01,0
2014-09-03T23:59:59+08:00,3.2589E-02,7.298136645962732E+01,0
2014-09-04T23:59:59+08:00,3.1402E-02,4.982181040627227E+01,0
2014-09-05T23:59:59+08:00,3.2433E-02,6.1179386553753986E+01,0
2014-09-06T23:59:59+08:00,3.2635E-02,7.79389312977099E+01,1
2014-09-07T23:59:59+08:00,3.267E-02,8.384594447468697E+01,1
2014-09-08T23:59:59+08:00,3.8584E-02,8.58167045047198E+01,1
2014-09-09T23:59:59+08:00,3.7151E-02,8.33662217063262E+01,1
2014-09-10T23:59:59+08:00,4.0865E-02,8.731633917507526E+01,1
2014-09-11T23:59:59+08:00,3.9063E-02,7.491859202977209E+01,1
2014-09-12T23:59:59+08:00,3.8572E-02,7.209824771604018E+01,0
2014-09-13T23:59:59+08:00,3.7656E-02,4.444710387745332E+01,0
2014-09-14T23:59:59+08:00,3.6723E-02,4.727596741344192E+01,0
2014-09-15T23:59:59+08:00,3.3437E-02,0E+00,-1
2014-09-16T23:59:59+08:00,3.4058E-02,9.940771570353732E+00,-1
2014-09-17T23:59:59+08:00,3.1356E-02,7.3421612674390815E+00,-1
2014-09-18T23:59:59+08:00,3.1145E-02,8.009802657035934E+00,-1
2014-09-19T23:59:59+08:00,3.0019E-02,7.815252957462846E+00,-1
2014-09-20T23:59:59+08:00,3.1173E-02,3.0529755761953865E+01,0
2014-09-21T23:59:59+08:00,3.0029E-02,1.821050970490768E+01,-1
2014-09-22T23:59:59+08:00,3.0651E-02,4.1719520789288225E+01,0
2014-09-23T23:59:59+08:00,3.2095E-02,5.865209471766849E+01,0
2014-09-24T23:59:59+08:00,3.0656E-02,5.5488540410132686E+01,0
2014-09-25T23:59:59+08:00,3.0783E-02,4.59170854271357E+01,0
2014-09-26T23:59:59+08:00,3.3929E-02,7.876954853939216E+01,1
2014-09-27T23:59:59+08:00,3.3868E-02,7.587260736689724E+01,1
2014-09-28T23:59:59+08:00,3.1776E-02,4.767662053896577E+01,0
2014-09-29T23:59:59+08:00,3.0984E-02,5.263750402058541E+01,0
2014-09-30T23:59:59+08:00,3.2881E-02,6.3132198297446166E+01,0
2014-10-01T23:59:59+08:00,3.231E-02,3.504526140772212E+01,0
2014-10-02T23:59:59+08:00,3.141E-02,3.0342290467050532E+01,0
2014-10-03T23:59:59+08:00,3.1935E-02,5.1696905016008536E+01,0
2014-10-04T23:59:59+08:00,3.018E-02,4.28824362606232E+01,0
2014-10-05T23:59:59+08:00,2.9076E-02,1.0813594232749708E+01,-1
2014-10-06T23:59:59+08:00,2.8926E-02,1.1840324763193479E+01,-1
2014-10-07T23:59:59+08:00,2.8233E-02,1.2420156139105714E+01,-1
2014-10-08T23:59:59+08:00,2.8591E-02,8.817733990147715E+00,-1
2014-10-09T23:59:59+08:00,2.8401E-02,1.4348697394789497E+01,-1
2014-10-10T23:59:59+08:00,2.7052E-02,1.3065693430656864E+01,-1
2014-10-11T23:59:59+08:00,2.8013E-02,3.7144466347507716E+01,0
2014-10-12T23:59:59+08:00,2.7188E-02,3.581319576432253E+01,0
2014-10-13T23:59:59+08:00,2.7486E-02,3.475020701076457E+01,0
2014-10-14T23:59:59+08:00,2.7406E-02,3.58383148306291E+01,0
2014-10-15T23:59:59+08:00,2.6507E-02,4.1103493307215146E+01,0
2014-10-16T23:59:59+08:00,2.558E-02,9.83823043908879E+00,-1
2014-10-17T23:59:59+08:00,2.5181E-02,1.1448328851325371E+01,-1
2014-10-18T23:59:59+08:00,2.4593E-02,0E+00,-1
2014-10-19T23:59:59+08:00,2.3524E-02,0E+00,-1
2014-10-20T23:59:59+08:00,2.2404E-02,0E+00,-1
2014-10-21T23:59:59+08:00,2.5618E-02,5.0297339593114245E+01,0
2014-10-22T23:59:59+08:00,2.5658E-02,5.395456806499753E+01,0
2014-10-23T23:59:59+08:00,2.3093E-02,4.063436563436562E+01,0
2014-10-24T23:59:59+08:00,2.3716E-02,5.126950542184608E+01,0
2014-10-25T23:59:59+08:00,2.2636E-02,5.1542143047061955E+01,0
2014-10-26T23:59:59+08:00,2.2704E-02,1.670475319926878E+01,-1
2014-10-27T23:59:59+08:00,2.2727E-02,1.6379903647625653E+01,-1
2014-10-28T23:59:59+08:00,2.1987E-02,2.817679558011055E+01,0
2014-10-29T23:59:59+08:00,2.0723E-02,2.866141732283495E+00,-1
2014-10-30T23:59:59+08:00,1.8251E-02,1.992555287935204E+00,-1
2014-10-31T23:59:59+08:00,1.7353E-02,4.261626829720768E-01,-1
2014-11-01T23:59:59+08:00,1.4508E-02,0E+00,-1
2014-11-02T23:59:59+08:00,1.6533E-02,2.1306818181818173E+01,-1
2014-11-03T23:59:59+08:00,1.6363E-02,2.407847800237812E+01,-1
2014-11-04T23:59:59+08:00,1.7029E-02,4.0748031496062985E+01,0
2014-11-05T23:59:59+08:00,1.955E-02,6.335237632186703E+01,0
2014-11-06T23:59:59+08:00,1.8013E-02,7.532880474056944E+01,1
2014-11-07T23:59:59+08:00,1.8451E-02,6.798574643660915E+01,0
2014-11-08T23:59:59+08:00,2.0603E-02,7.898550724637681E+01,1
2014-11-09T23:59:59+08:00,2.0139E-02,7.18644544431946E+01,0
2014-11-10T23:59:59+08:00,1.929E-02,4.7610294117647065E+01,0
2014-11-11T23:59:59+08:00,1.8832E-02,5.939004815409311E+01,0
2014-11-12T23:59:59+08:00,2.0508E-02,6.836935166994107E+01,0
2014-11-13T23:59:59+08:00,2.0108E-02,4.356641538861451E+01,0
2014-11-14T23:59:59+08:00,1.873E-02,3.5202688510817026E+01,0
2014-11-15T23:59:59+08:00,1.7684E-02,3.380395320693823E+01,0
2014-11-16T23:59:59+08:00,1.7971E-02,4.100689367035721E+01,0
2014-11-17T23:59:59+08:00,1.7036E-02,7.093425605536382E+00,-1
2014-11-18T23:59:59+08:00,1.5294E-02,5.32665181885676E+00,-1
2014-11-19T23:59:59+08:00,1.5328E-02,7.937685459940681E+00,-1
2014-11-20T23:59:59+08:00,1.4011E-02,7.43916570104291E+00,-1
2014-11-21T23:59:59+08:00,1.5825E-02,3.163300239643955E+01,0
2014-11-22T23:59:59+08:00,1.5981E-02,3.958127592336559E+01,0
2014-11-23T23:59:59+08:00,1.667E-02,6.71571072319202E+01,0
2014-11-24T23:59:59+08:00,1.6936E-02,6.895332390381895E+01,0
2014-11-25T23:59:59+08:00,1.7449E-02,1E+02,1
2014-11-26T23:59:59+08:00,1.6459E-02,6.212700841622041E+01,0
2014-11-27T23:59:59+08:00,1.6822E-02,6.490606168025528E+01,0
2014-11-28T23:59:59+08:00,1.6991E-02,5.6975228161668824E+01,0
2014-11-29T23:59:59+08:00,2.0195E-02,8.110326398167592E+01,1
2014-11-30T23:59:59+08:00,1.9005E-02,6.315077755240029E+01,0
2014-12-01T23:59:59+08:00,1.9539E-02,7.82051282051282E+01,1
2014-12-02T23:59:59+08:00,1.9434E-02,7.510572856593616E+01,1
2014-12-03T23:59:59+08:00,1.9288E-02,7.217609577138442E+01,0
2014-12-04T23:59:59+08:00,1.8674E-02,2.062572421784472E+01,-1
2014-12-05T23:59:59+08:00,1.8459E-02,3.308550185873602E+01,0
2014-12-06T23:59:59+08:00,1.7102E-02,0E+00,-1
2014-12-07T23:59:59+08:00,1.7732E-02,2.1269412559081744E+01,-1
2014-12-08T23:59:59+08:00,1.687E-02,1.7128874388254516E+01,-1
