Time,Close,Result,Signal
2016-02-10T23:59:59+08:00,9.7313E-01,0E+00,0
2016-02-11T23:59:59+08:00,1.21E+00,0E+00,0
2016-02-12T23:59:59+08:00,1.31E+00,0E+00,0
2016-02-13T23:59:59+08:00,1.13E+00,0E+00,0
2016-02-14T23:59:59+08:00,1.18E+00,0E+00,0
2016-02-15T23:59:59+08:00,1.36E+00,7.589942024716483E+01,1
2016-02-16T23:59:59+08:00,1.5E+00,7.230769230769229E+01,0
2016-02-17T23:59:59+08:00,1.57E+00,7.096774193548386E+01,0
2016-02-18T23:59:59+08:00,1.42E+00,7.457627118644066E+01,1
2016-02-19T23:59:59+08:00,1.45E+00,7.368421052631578E+01,1
2016-02-20T23:59:59+08:00,1.55E+00,6.93877551020408E+01,0
2016-02-21T23:59:59+08:00,1.64E+00,6.590909090909089E+01,0
2016-02-22T23:59:59+08:00,1.74E+00,6.808510638297871E+01,0
2016-02-23T23:59:59+08:00,1.91E+00,1E+02,1
2016-02-24T23:59:59+08:00,2.67E+00,1E+02,1
2016-02-25T23:59:59+08:00,2.39E+00,8.000000000000001E+01,1
2016-02-26T23:59:59+08:00,2.43E+00,7.925925925925927E+01,1
2016-02-27T23:59:59+08:00,2.17E+00,6.423841059602648E+01,0
2016-02-28T23:59:59+08:00,2.24E+00,6.170212765957447E+01,0
2016-02-29T23:59:59+08:00,2.06E+00,1.32530120481928E+01,-1
2016-03-01T23:59:59+08:00,1.72E+00,1.235955056179779E+01,-1
2016-03-02T23:59:59+08:00,1.7E+00,8.045977011494287E+00,-1
2016-03-03T23:59:59+08:00,1.74E+00,1.6923076923076948E+01,-1
2016-03-04T23:59:59+08:00,1.74E+00,6.896551724137936E+00,-1
2016-03-05T23:59:59+08:00,1.69E+00,8.8888888888889E+00,-1
2016-03-06T23:59:59+08:00,2.03E+00,8.444444444444443E+01,1
2016-03-07T23:59:59+08:00,2.16E+00,9.107142857142857E+01,1
2016-03-08T23:59:59+08:00,2.33E+00,9.27536231884058E+01,1
2016-03-09T23:59:59+08:00,2.48E+00,9.404761904761904E+01,1
2016-03-10T23:59:59+08:00,2.32E+00,8.31578947368421E+01,1
2016-03-11T23:59:59+08:00,2.4E+00,7.681159420289853E+01,1
2016-03-12T23:59:59+08:00,2.28E+00,5.882352941176468E+01,0
2016-03-13T23:59:59+08:00,2.38E+00,5.409836065573769E+01,0
2016-03-14T23:59:59+08:00,2.42E+00,4.399999999999999E+01,0
2016-03-15T23:59:59+08:00,2.59E+00,7.647058823529412E+01,1
2016-03-16T23:59:59+08:00,2.62E+00,7.391304347826087E+01,1
2016-03-17T23:59:59+08:00,2.49E+00,7.234042553191493E+01,0
2016-03-18T23:59:59+08:00,2.43E+00,5.581395348837212E+01,0
2016-03-19T23:59:59+08:00,2.31E+00,3.9215686274509814E+01,0
2016-03-20T23:59:59+08:00,2.18E+00,6.382978723404307E+00,-1
2016-03-21T23:59:59+08:00,2.19E+00,2.2222222222221717E+00,-1
2016-03-22T23:59:59+08:00,2.13E+00,2.631578947368368E+00,-1
2016-03-23T23:59:59+08:00,2.04E+00,2.4390243902438584E+00,-1
2016-03-24T23:59:59+08:00,1.92E+00,2.4390243902438584E+00,-1
2016-03-25T23:59:59+08:00,2.05E+00,3.4146341463414586E+01,0
2016-03-26T23:59:59+08:00,2.31E+00,5.909090909090909E+01,0
2016-03-27T23:59:59+08:00,2.07E+00,4.642857142857143E+01,0
2016-03-28T23:59:59+08:00,2.06E+00,5.131578947368422E+01,0
2016-03-29T23:59:59+08:00,2.06E+00,6.093750000000001E+01,0
2016-03-30T23:59:59+08:00,2.16E+00,5.901639344262297E+01,0
2016-03-31T23:59:59+08:00,1.97E+00,1.851851851851852E+01,-1
2016-04-01T23:59:59+08:00,1.93E+00,2.9411764705882362E+01,0
2016-04-02T23:59:59+08:00,1.96E+00,3.611111111111111E+01,0
2016-04-03T23:59:59+08:00,1.94E+00,3.421052631578948E+01,0
2016-04-04T23:59:59+08:00,1.91E+00,9.677419354838719E+00,-1
2016-04-05T23:59:59+08:00,1.75E+00,1.0714285714285722E+01,-1
2016-04-06T23:59:59+08:00,1.75E+00,1.2500000000000014E+01,-1
2016-04-07T23:59:59+08:00,1.74E+00,0E+00,-1
2016-04-08T23:59:59+08:00,1.75E+00,4.761904761904759E+00,-1
2016-04-09T23:59:59+08:00,1.61E+00,3.125E+00,-1
2016-04-10T23:59:59+08:00,1.55E+00,4.545454545454547E+00,-1
2016-04-11T23:59:59+08:00,1.47E+00,3.333333333333343E+00,-1
2016-04-12T23:59:59+08:00,1.63E+00,3.7777777777777764E+01,0
2016-04-13T23:59:59+08:00,1.53E+00,2.9629629629629633E+01,0
2016-04-14T23:59:59+08:00,1.53E+00,3.999999999999999E+01,0
2016-04-15T23:59:59+08:00,1.39E+00,3.3333333333333314E+01,0
2016-04-16T23:59:59+08:00,1.37E+00,3.80952380952381E+01,0
2016-04-17T23:59:59+08:00,1.34E+00,0E+00,-1
2016-04-18T23:59:59+08:00,1.66E+00,6.2745098039215684E+01,0
2016-04-19T23:59:59+08:00,1.51E+00,4.848484848484848E+01,0
2016-04-20T23:59:59+08:00,1.53E+00,6.296296296296299E+01,0
2016-04-21T23:59:59+08:00,1.56E+00,6.727272727272728E+01,0
2016-04-22T23:59:59+08:00,1.56E+00,7.115384615384616E+01,0
2016-04-23T23:59:59+08:00,1.58E+00,3.1818181818181856E+01,0
2016-04-24T23:59:59+08:00,1.55E+00,7E+01,0
2016-04-25T23:59:59+08:00,1.54E+00,5.555555555555556E+01,0
2016-04-26T23:59:59+08:00,1.52E+00,2.5E+01,-1
2016-04-27T23:59:59+08:00,1.48E+00,1.6666666666666657E+01,-1
2016-04-28T23:59:59+08:00,1.51E+00,2.307692307692308E+01,-1
2016-04-29T23:59:59+08:00,1.52E+00,3.636363636363636E+01,0
2016-04-30T23:59:59+08:00,1.57E+00,6E+01,0
2016-05-01T23:59:59+08:00,1.54E+00,5.625E+01,0
2016-05-02T23:59:59+08:00,1.51E+00,6E+01,0
2016-05-03T23:59:59+08:00,1.53E+00,5.714285714285714E+01,0
2016-05-04T23:59:59+08:00,1.51E+00,4.6666666666666664E+01,0
2016-05-05T23:59:59+08:00,1.52E+00,2.7272727272727266E+01,0
2016-05-06T23:59:59+08:00,1.52E+00,3.75E+01,0
2016-05-07T23:59:59+08:00,1.58E+00,8.181818181818181E+01,1
2016-05-08T23:59:59+08:00,1.48E+00,3.68421052631579E+01,0
2016-05-09T23:59:59+08:00,1.45E+00,3.5E+01,0
2016-05-10T23:59:59+08:00,1.41E+00,2.608695652173914E+01,-1
2016-05-11T23:59:59+08:00,1.37E+00,2.2222222222222243E+01,-1
