Time,Close,Result,Signal
2014-02-06T23:59:59+08:00,1.37E-03,0E+00,0
2014-02-07T23:59:59+08:00,1.182E-03,0E+00,0
2014-02-08T23:59:59+08:00,1.007E-03,0E+00,0
2014-02-09T23:59:59+08:00,9.24E-04,0E+00,0
2014-02-10T23:59:59+08:00,8.11E-04,0E+00,0
2014-02-11T23:59:59+08:00,7.38E-04,0E+00,-1
2014-02-12T23:59:59+08:00,6.88E-04,0E+00,-1
2014-02-13T23:59:59+08:00,7.24E-04,1.0140845070422529E+01,-1
2014-02-14T23:59:59+08:00,7.04E-04,1.2328767123287676E+01,-1
2014-02-15T23:59:59+08:00,5.98E-04,1.2631578947368425E+01,-1
2014-02-16T23:59:59+08:00,6.12E-04,2.2123893805309734E+01,-1
2014-02-17T23:59:59+08:00,4.98E-04,1.724137931034484E+01,-1
2014-02-18T23:59:59+08:00,4.41E-04,4.501607717041807E+00,-1
2014-02-19T23:59:59+08:00,4.11E-04,4.361370716510905E+00,-1
2014-02-20T23:59:59+08:00,3.67E-04,5.4054054054054035E+00,-1
2014-02-21T23:59:59+08:00,3.46E-04,0E+00,-1
2014-02-22T23:59:59+08:00,3.51E-04,3.1847133757961785E+00,-1
2014-02-23T23:59:59+08:00,3.67E-04,1.810344827586205E+01,-1
2014-02-24T23:59:59+08:00,3.33E-04,1.7499999999999986E+01,-1
2014-02-25T23:59:59+08:00,3.08E-04,2.079207920792078E+01,-1
2014-02-26T23:59:59+08:00,3.55E-04,5.3543307086614185E+01,0
2014-02-27T23:59:59+08:00,4.7E-04,7.510548523206751E+01,1
2014-02-28T23:59:59+08:00,3.93E-04,5.436241610738256E+01,0
2014-03-01T23:59:59+08:00,3.94E-04,6.150943396226415E+01,0
2014-03-02T23:59:59+08:00,3.34E-04,5.4333333333333336E+01,0
2014-03-03T23:59:59+08:00,3.42E-04,4.7509578544061306E+01,0
2014-03-04T23:59:59+08:00,2.78E-04,4.285714285714278E+00,-1
2014-03-05T23:59:59+08:00,4.07E-04,5.267175572519085E+01,0
2014-03-06T23:59:59+08:00,3.71E-04,4.612794612794613E+01,0
2014-03-07T23:59:59+08:00,3.18E-04,4.7241379310344826E+01,0
2014-03-08T23:59:59+08:00,3.33E-04,4.8484848484848484E+01,0
2014-03-09T23:59:59+08:00,3.08E-04,5.581395348837209E+01,0
2014-03-10T23:59:59+08:00,3.19E-04,1.8571428571428584E+01,-1
2014-03-11T23:59:59+08:00,2.94E-04,2.015503875968993E+01,-1
2014-03-12T23:59:59+08:00,3.39E-04,5.867768595041323E+01,0
2014-03-13T23:59:59+08:00,4.39E-04,7.572815533980582E+01,1
2014-03-14T23:59:59+08:00,5.59E-04,9.169435215946844E+01,1
2014-03-15T23:59:59+08:00,3.98E-04,5.875831485587583E+01,0
