Time,Close,Result,Signal
2013-12-15T23:59:59+08:00,2.98E-04,0E+00,0
2013-12-16T23:59:59+08:00,2.05E-04,0E+00,0
2013-12-17T23:59:59+08:00,2.69E-04,0E+00,0
2013-12-18T23:59:59+08:00,3.62E-04,0E+00,0
2013-12-19T23:59:59+08:00,1.162E-03,0E+00,0
2013-12-20T23:59:59+08:00,7.04E-04,6.346153846153846E+01,0
2013-12-21T23:59:59+08:00,3.94E-04,5.547826086956522E+01,0
2013-12-22T23:59:59+08:00,3.15E-04,5.1321839080459775E+01,0
2013-12-23T23:59:59+08:00,4.51E-04,5.249579360628155E+01,0
2013-12-24T23:59:59+08:00,6.86E-04,3.045977011494253E+01,0
2013-12-25T23:59:59+08:00,5.87E-04,4.318975552968568E+01,0
2013-12-26T23:59:59+08:00,6.02E-04,6.843971631205673E+01,0
2013-12-27T23:59:59+08:00,5.22E-04,6.831858407079646E+01,0
2013-12-28T23:59:59+08:00,4.59E-04,5.08130081300813E+01,0
2013-12-29T23:59:59+08:00,4.54E-04,5.725190839694676E+00,-1
2013-12-30T23:59:59+08:00,4.16E-04,7.462686567164198E+00,-1
2013-12-31T23:59:59+08:00,4.22E-04,3.125000000000014E+00,-1
2014-01-01T23:59:59+08:00,4.4E-04,1.846153846153848E+01,-1
2014-01-02T23:59:59+08:00,3.53E-04,1.5584415584415595E+01,-1
2014-01-03T23:59:59+08:00,3.03E-04,1.2060301507537716E+01,-1
2014-01-04T23:59:59+08:00,3.01E-04,1.4723926380368113E+01,-1
2014-01-05T23:59:59+08:00,2.71E-04,9.625668449197875E+00,-1
2014-01-06T23:59:59+08:00,2.55E-04,0E+00,-1
2014-01-07T23:59:59+08:00,2.25E-04,0E+00,-1
2014-01-08T23:59:59+08:00,2.28E-04,3.703703703703738E+00,-1
2014-01-09T23:59:59+08:00,2.46E-04,2.1649484536082497E+01,-1
2014-01-10T23:59:59+08:00,3.73E-04,7.628865979381445E+01,1
2014-01-11T23:59:59+08:00,3.56E-04,7.589743589743588E+01,1
2014-01-12T23:59:59+08:00,3.45E-04,8.409090909090908E+01,1
2014-01-13T23:59:59+08:00,2.78E-04,6.041666666666666E+01,0
2014-01-14T23:59:59+08:00,3.42E-04,6.678321678321677E+01,0
2014-01-15T23:59:59+08:00,4.13E-04,5.869565217391303E+01,0
2014-01-16T23:59:59+08:00,3.84E-04,5.578512396694216E+01,0
2014-01-17T23:59:59+08:00,4.15E-04,6.33587786259542E+01,0
2014-01-18T23:59:59+08:00,5.88E-04,9.21195652173913E+01,1
2014-01-19T23:59:59+08:00,6.97E-04,9.297820823244552E+01,1
2014-01-20T23:59:59+08:00,1.253E-03,9.677060133630289E+01,1
2014-01-21T23:59:59+08:00,1.814E-03,1E+02,1
2014-01-22T23:59:59+08:00,1.497E-03,8.152680652680652E+01,1
2014-01-23T23:59:59+08:00,1.8E-03,8.282773564463706E+01,1
2014-01-24T23:59:59+08:00,1.785E-03,8.105022831050228E+01,1
2014-01-25T23:59:59+08:00,1.844E-03,7.354581673306772E+01,1
2014-01-26T23:59:59+08:00,1.594E-03,3.834745762711864E+01,0
2014-01-27T23:59:59+08:00,1.219E-03,3.612774451097804E+01,0
2014-01-28T23:59:59+08:00,1.357E-03,2.3536439665471917E+01,-1
2014-01-29T23:59:59+08:00,1.602E-03,4.142455482661668E+01,0
2014-01-30T23:59:59+08:00,1.523E-03,3.523459061637534E+01,0
2014-01-31T23:59:59+08:00,1.56E-03,4.805491990846682E+01,0
2014-02-01T23:59:59+08:00,1.457E-03,6.976744186046511E+01,0
2014-02-02T23:59:59+08:00,1.279E-03,4.392523364485981E+01,0
2014-02-03T23:59:59+08:00,1.269E-03,9.09090909090908E+00,-1
2014-02-04T23:59:59+08:00,1.161E-03,8.486238532110065E+00,-1
2014-02-05T23:59:59+08:00,1.302E-03,2.6111111111111114E+01,-1
2014-02-06T23:59:59+08:00,1.306E-03,3.2879818594104336E+01,0
2014-02-07T23:59:59+08:00,1.124E-03,3.258426966292136E+01,0
2014-02-08T23:59:59+08:00,1.081E-03,3.0334728033472814E+01,0
2014-02-09T23:59:59+08:00,1.291E-03,6.120689655172414E+01,0
2014-02-10T23:59:59+08:00,1.414E-03,5.996441281138789E+01,0
2014-02-11T23:59:59+08:00,1.812E-03,7.64644351464435E+01,1
2014-02-12T23:59:59+08:00,1.818E-03,9.448717948717947E+01,1
2014-02-13T23:59:59+08:00,1.572E-03,7.497456765005087E+01,1
2014-02-14T23:59:59+08:00,1.584E-03,6.86624203821656E+01,0
2014-02-15T23:59:59+08:00,1.522E-03,5.745856353591161E+01,0
2014-02-16T23:59:59+08:00,1.413E-03,4.137931034482719E+00,-1
2014-02-17T23:59:59+08:00,1.343E-03,2.404809619238449E+00,-1
2014-02-18T23:59:59+08:00,1.426E-03,2.8273809523809504E+01,0
2014-02-19T23:59:59+08:00,1.344E-03,2.0443349753694577E+01,-1
2014-02-20T23:59:59+08:00,1.212E-03,1.7436974789915965E+01,-1
2014-02-21T23:59:59+08:00,1.208E-03,2.237196765498652E+01,-1
2014-02-22T23:59:59+08:00,1.278E-03,4.123989218328841E+01,0
2014-02-23T23:59:59+08:00,1.185E-03,1.837270341207349E+01,-1
2014-02-24T23:59:59+08:00,1.075E-03,1.711491442542787E+01,-1
2014-02-25T23:59:59+08:00,9.89E-04,1.928374655647383E+01,-1
2014-02-26T23:59:59+08:00,1.186E-03,4.802158273381294E+01,0
2014-02-27T23:59:59+08:00,1.159E-03,3.840155945419102E+01,0
2014-02-28T23:59:59+08:00,1.071E-03,3.87795275590551E+01,0
2014-03-01T23:59:59+08:00,1.057E-03,4.781553398058252E+01,0
2014-03-02T23:59:59+08:00,9.53E-04,4.581395348837208E+01,0
2014-03-03T23:59:59+08:00,1.1E-03,3.86842105263158E+01,0
2014-03-04T23:59:59+08:00,1.044E-03,3.594132029339853E+01,0
2014-03-05T23:59:59+08:00,1.059E-03,4.821428571428574E+01,0
2014-03-06T23:59:59+08:00,1.012E-03,4.3902439024390254E+01,0
2014-03-07T23:59:59+08:00,9.28E-04,4.641833810888253E+01,0
2014-03-08T23:59:59+08:00,8.33E-04,5.050505050505066E+00,-1
2014-03-09T23:59:59+08:00,8.71E-04,1.899641577060933E+01,-1
2014-03-10T23:59:59+08:00,7.78E-04,1.0644257703081252E+01,-1
2014-03-11T23:59:59+08:00,7.67E-04,1.18380062305296E+01,-1
2014-03-12T23:59:59+08:00,9.06E-04,4.707446808510639E+01,0
2014-03-13T23:59:59+08:00,8.68E-04,5.548589341692789E+01,0
2014-03-14T23:59:59+08:00,8.67E-04,4.9290780141843975E+01,0
2014-03-15T23:59:59+08:00,8.4E-04,6.435185185185185E+01,0
2014-03-16T23:59:59+08:00,8.26E-04,6.347031963470321E+01,0
2014-03-17T23:59:59+08:00,7.79E-04,0E+00,-1
2014-03-18T23:59:59+08:00,7.67E-04,0E+00,-1
2014-03-19T23:59:59+08:00,7.72E-04,4.761904761904759E+00,-1
2014-03-20T23:59:59+08:00,7.23E-04,3.9370078740157624E+00,-1
2014-03-21T23:59:59+08:00,6.89E-04,3.4013605442177095E+00,-1
2014-03-22T23:59:59+08:00,6.86E-04,4.854368932038852E+00,-1
2014-03-23T23:59:59+08:00,7.44E-04,4.2281879194630875E+01,0
2014-03-24T23:59:59+08:00,7.43E-04,3.9999999999999986E+01,0
2014-03-25T23:59:59+08:00,6.53E-04,3.1182795698924735E+01,0
2014-03-26T23:59:59+08:00,6.39E-04,3.493975903614458E+01,0
2014-03-27T23:59:59+08:00,4.67E-04,1.7313432835820905E+01,-1
2014-03-28T23:59:59+08:00,5.19E-04,1.5805471124620055E+01,-1
2014-03-29T23:59:59+08:00,5.88E-04,3.0478589420654913E+01,0
2014-03-30T23:59:59+08:00,5.3E-04,3.3150684931506845E+01,0
2014-03-31T23:59:59+08:00,5.05E-04,3.218085106382978E+01,0
2014-04-01T23:59:59+08:00,5.37E-04,6.483050847457628E+01,0
2014-04-02T23:59:59+08:00,4.29E-04,3.458904109589041E+01,0
2014-04-03T23:59:59+08:00,4.48E-04,2.1074380165289256E+01,-1
2014-04-04T23:59:59+08:00,4.46E-04,2.741935483870968E+01,0
2014-04-05T23:59:59+08:00,4.7E-04,4.054054054054053E+01,0
2014-04-06T23:59:59+08:00,4.6E-04,2.6380368098159494E+01,-1
2014-04-07T23:59:59+08:00,4.58E-04,7.54385964912281E+01,1
2014-04-08T23:59:59+08:00,4.51E-04,5.3333333333333364E+01,0
2014-04-09T23:59:59+08:00,4.41E-04,4.528301886792451E+01,0
2014-04-10T23:59:59+08:00,3.47E-04,0E+00,-1
2014-04-11T23:59:59+08:00,4.4E-04,4.514563106796117E+01,0
2014-04-12T23:59:59+08:00,4.2E-04,4.1517857142857146E+01,0
2014-04-13T23:59:59+08:00,3.89E-04,3.75E+01,0
2014-04-14T23:59:59+08:00,4.61E-04,5.322580645161291E+01,0
2014-04-15T23:59:59+08:00,5.87E-04,8.508771929824562E+01,1
2014-04-16T23:59:59+08:00,7.08E-04,8.621621621621621E+01,1
2014-04-17T23:59:59+08:00,6.43E-04,7.686746987951808E+01,1
2014-04-18T23:59:59+08:00,6.17E-04,7.78048780487805E+01,1
2014-04-19T23:59:59+08:00,6.46E-04,7.520435967302453E+01,1
2014-04-20T23:59:59+08:00,6.29E-04,5.8139534883720934E+01,0
2014-04-21T23:59:59+08:00,6.21E-04,1.9999999999999986E+01,-1
2014-04-22T23:59:59+08:00,5.88E-04,2.5663716814159258E+01,-1
2014-04-23T23:59:59+08:00,5.7E-04,2.7619047619047578E+01,0
2014-04-24T23:59:59+08:00,5.86E-04,1.739130434782615E+01,-1
2014-04-25T23:59:59+08:00,4.76E-04,8.648648648648674E+00,-1
2014-04-26T23:59:59+08:00,4.72E-04,8.839779005524889E+00,-1
2014-04-27T23:59:59+08:00,4.4E-04,8.888888888888914E+00,-1
2014-04-28T23:59:59+08:00,4.81E-04,2.807881773399015E+01,0
2014-04-29T23:59:59+08:00,4.95E-04,2.736318407960198E+01,0
2014-04-30T23:59:59+08:00,5.01E-04,6.2886597938144334E+01,0
2014-05-01T23:59:59+08:00,5.04E-04,6.666666666666669E+01,0
2014-05-02T23:59:59+08:00,4.82E-04,7.44186046511628E+01,1
2014-05-03T23:59:59+08:00,4.62E-04,3.5384615384615415E+01,0
2014-05-04T23:59:59+08:00,4.68E-04,2.6315789473684205E+01,-1
2014-05-05T23:59:59+08:00,4.54E-04,1.3846153846153769E+01,-1
2014-05-06T23:59:59+08:00,4.57E-04,1.3846153846153854E+01,-1
2014-05-07T23:59:59+08:00,4.73E-04,4.237288135593221E+01,0
2014-05-08T23:59:59+08:00,4.71E-04,6.097560975609756E+01,0
2014-05-09T23:59:59+08:00,4.94E-04,7.241379310344826E+01,0
2014-05-10T23:59:59+08:00,4.78E-04,7.000000000000006E+01,0
2014-05-11T23:59:59+08:00,4.56E-04,4.936708860759496E+01,0
2014-05-12T23:59:59+08:00,4.54E-04,3.538461538461536E+01,0
2014-05-13T23:59:59+08:00,4.49E-04,3.382352941176468E+01,0
2014-05-14T23:59:59+08:00,4.56E-04,1.3461538461538481E+01,-1
2014-05-15T23:59:59+08:00,4.55E-04,1.891891891891892E+01,-1
2014-05-16T23:59:59+08:00,4.51E-04,3.684210526315788E+01,0
2014-05-17T23:59:59+08:00,4.53E-04,4.736842105263165E+01,0
2014-05-18T23:59:59+08:00,4.49E-04,5E+01,0
2014-05-19T23:59:59+08:00,4.44E-04,1.2499999999999957E+01,-1
2014-05-20T23:59:59+08:00,4.66E-04,6.486486486486487E+01,0
2014-05-21T23:59:59+08:00,4.56E-04,5.581395348837212E+01,0
2014-05-22T23:59:59+08:00,4.22E-04,2.933333333333333E+01,0
2014-05-23T23:59:59+08:00,4.13E-04,2.75E+01,0
2014-05-24T23:59:59+08:00,4.27E-04,4.04494382022472E+01,0
2014-05-25T23:59:59+08:00,4.25E-04,2.028985507246378E+01,-1
2014-05-26T23:59:59+08:00,4.03E-04,1.7283950617283963E+01,-1
2014-05-27T23:59:59+08:00,3.97E-04,2.641509433962264E+01,-1
2014-05-28T23:59:59+08:00,3.99E-04,3.478260869565217E+01,0
2014-05-29T23:59:59+08:00,3.9E-04,4.878048780487788E+00,-1
2014-05-30T23:59:59+08:00,3.47E-04,2.439024390243901E+00,-1
2014-05-31T23:59:59+08:00,3.39E-04,2.941176470588232E+00,-1
2014-06-01T23:59:59+08:00,4.03E-04,5.238095238095237E+01,0
2014-06-02T23:59:59+08:00,3.95E-04,4.848484848484849E+01,0
2014-06-03T23:59:59+08:00,3.86E-04,4.848484848484849E+01,0
2014-06-04T23:59:59+08:00,3.62E-04,5.663716814159294E+01,0
2014-06-05T23:59:59+08:00,3.6E-04,5.981308411214955E+01,0
2014-06-06T23:59:59+08:00,3.62E-04,4.444444444444429E+00,-1
