Time,Close,Result,Signal
2016-07-24T23:59:59+08:00,9.28814E-01,0E+00,0
2016-07-25T23:59:59+08:00,6.02402E-01,0E+00,0
2016-07-26T23:59:59+08:00,2.55E+00,0E+00,0
2016-07-27T23:59:59+08:00,1.6E+00,0E+00,0
2016-07-28T23:59:59+08:00,1.73E+00,0E+00,0
2016-07-29T23:59:59+08:00,1.64E+00,6.032497002041225E+01,0
2016-07-30T23:59:59+08:00,1.57E+00,6.517754120814482E+01,0
2016-07-31T23:59:59+08:00,1.8E+00,2.448979591836735E+01,-1
2016-08-01T23:59:59+08:00,2.34E+00,8.490566037735849E+01,1
2016-08-02T23:59:59+08:00,2.76E+00,8.814814814814815E+01,1
2016-08-03T23:59:59+08:00,2.6E+00,8.380281690140848E+01,1
2016-08-04T23:59:59+08:00,2.34E+00,7.391304347826087E+01,1
2016-08-05T23:59:59+08:00,2.59E+00,7.423312883435582E+01,1
2016-08-06T23:59:59+08:00,2.7E+00,6.500000000000001E+01,0
2016-08-07T23:59:59+08:00,2.15E+00,2.706766917293234E+01,0
2016-08-08T23:59:59+08:00,2.19E+00,3.305785123966943E+01,0
2016-08-09T23:59:59+08:00,1.95E+00,3.361344537815127E+01,0
2016-08-10T23:59:59+08:00,1.71E+00,1.2711864406779696E+01,-1
2016-08-11T23:59:59+08:00,1.85E+00,1.4876033057851245E+01,-1
2016-08-12T23:59:59+08:00,1.85E+00,2.7272727272727295E+01,0
2016-08-13T23:59:59+08:00,1.87E+00,2.5000000000000014E+01,-1
2016-08-14T23:59:59+08:00,1.93E+00,4.7826086956521735E+01,0
2016-08-15T23:59:59+08:00,1.86E+00,7.586206896551728E+01,1
2016-08-16T23:59:59+08:00,1.86E+00,5.333333333333334E+01,0
2016-08-17T23:59:59+08:00,1.74E+00,2.962962962962959E+01,0
2016-08-18T23:59:59+08:00,1.69E+00,1.9999999999999957E+01,-1
2016-08-19T23:59:59+08:00,1.79E+00,2.9411764705882362E+01,0
2016-08-20T23:59:59+08:00,1.74E+00,3.125E+01,0
2016-08-21T23:59:59+08:00,1.72E+00,2.9411764705882362E+01,0
2016-08-22T23:59:59+08:00,1.67E+00,3.7037037037037045E+01,0
2016-08-23T23:59:59+08:00,1.6E+00,3.448275862068968E+01,0
2016-08-24T23:59:59+08:00,1.44E+00,0E+00,-1
2016-08-25T23:59:59+08:00,1.37E+00,0E+00,-1
2016-08-26T23:59:59+08:00,1.44E+00,1.666666666666663E+01,-1
2016-08-27T23:59:59+08:00,1.35E+00,1.5217391304347814E+01,-1
2016-08-28T23:59:59+08:00,1.32E+00,1.666666666666663E+01,-1
2016-08-29T23:59:59+08:00,1.26E+00,2.187499999999997E+01,-1
2016-08-30T23:59:59+08:00,1.24E+00,2.592592592592588E+01,-1
2016-08-31T23:59:59+08:00,1.18E+00,0E+00,-1
2016-09-01T23:59:59+08:00,1.44E+00,6.0465116279069754E+01,0
2016-09-02T23:59:59+08:00,1.39E+00,5.777777777777776E+01,0
2016-09-03T23:59:59+08:00,1.34E+00,5.909090909090909E+01,0
2016-09-04T23:59:59+08:00,1.46E+00,7.037037037037038E+01,0
2016-09-05T23:59:59+08:00,1.45E+00,7.755102040816328E+01,1
2016-09-06T23:59:59+08:00,1.47E+00,5.6000000000000014E+01,0
2016-09-07T23:59:59+08:00,1.48E+00,7.142857142857147E+01,0
2016-09-08T23:59:59+08:00,1.44E+00,7.499999999999997E+01,1
2016-09-09T23:59:59+08:00,1.4E+00,2.5E+01,-1
2016-09-10T23:59:59+08:00,1.42E+00,3.846153846153846E+01,0
2016-09-11T23:59:59+08:00,1.34E+00,1.5789473684210549E+01,-1
2016-09-12T23:59:59+08:00,1.32E+00,1E+01,-1
2016-09-13T23:59:59+08:00,1.29E+00,1.0526315789473685E+01,-1
2016-09-14T23:59:59+08:00,1.29E+00,1.3333333333333357E+01,-1
2016-09-15T23:59:59+08:00,1.28E+00,0E+00,-1
2016-09-16T23:59:59+08:00,1.32E+00,3.999999999999999E+01,0
2016-09-17T23:59:59+08:00,1.32E+00,5E+01,0
2016-09-18T23:59:59+08:00,1.32E+00,8E+01,1
2016-09-19T23:59:59+08:00,1.28E+00,4.444444444444444E+01,0
2016-09-20T23:59:59+08:00,1.25E+00,3.636363636363636E+01,0
2016-09-21T23:59:59+08:00,1.22E+00,0E+00,-1
2016-09-22T23:59:59+08:00,1.25E+00,2.307692307692308E+01,-1
2016-09-23T23:59:59+08:00,1.24E+00,2.142857142857143E+01,-1
2016-09-24T23:59:59+08:00,1.25E+00,3.636363636363636E+01,0
2016-09-25T23:59:59+08:00,1.21E+00,3.333333333333333E+01,0
2016-09-26T23:59:59+08:00,1.2E+00,3.999999999999999E+01,0
2016-09-27T23:59:59+08:00,1.2E+00,1.4285714285714292E+01,-1
2016-09-28T23:59:59+08:00,1.25E+00,5.454545454545455E+01,0
2016-09-29T23:59:59+08:00,1.27E+00,5.833333333333333E+01,0
2016-09-30T23:59:59+08:00,1.26E+00,7.777777777777777E+01,1
2016-10-01T23:59:59+08:00,1.19E+00,4.6666666666666664E+01,0
2016-10-02T23:59:59+08:00,1.19E+00,4.6666666666666664E+01,0
2016-10-03T23:59:59+08:00,1.19E+00,2E+01,-1
2016-10-04T23:59:59+08:00,1.16E+00,0E+00,-1
2016-10-05T23:59:59+08:00,1.19E+00,2.307692307692308E+01,-1
2016-10-06T23:59:59+08:00,1.17E+00,3.75E+01,0
2016-10-07T23:59:59+08:00,1.17E+00,3.75E+01,0
2016-10-08T23:59:59+08:00,1.18E+00,4.444444444444444E+01,0
2016-10-09T23:59:59+08:00,1.17E+00,5.714285714285714E+01,0
2016-10-10T23:59:59+08:00,1.15E+00,1.6666666666666657E+01,-1
2016-10-11T23:59:59+08:00,1.1E+00,1.1111111111111143E+01,-1
2016-10-12T23:59:59+08:00,1.04E+00,6.666666666666686E+00,-1
2016-10-13T23:59:59+08:00,1.01E+00,0E+00,-1
2016-10-14T23:59:59+08:00,9.91068E-01,0E+00,-1
2016-10-15T23:59:59+08:00,9.92573E-01,9.380629156616607E-01,-1
2016-10-16T23:59:59+08:00,1.2E+00,6.57299977348803E+01,0
2016-10-17T23:59:59+08:00,1.07E+00,5.386733494214468E+01,0
2016-10-18T23:59:59+08:00,1.06E+00,5.6795989822325645E+01,0
2016-10-19T23:59:59+08:00,1.05E+00,5.820935441810706E+01,0
2016-10-20T23:59:59+08:00,1.04E+00,5.6453935067373926E+01,0
2016-10-21T23:59:59+08:00,1.03E+00,0E+00,-1
2016-10-22T23:59:59+08:00,1.05E+00,3.333333333333333E+01,0
2016-10-23T23:59:59+08:00,1.05E+00,3.999999999999999E+01,0
2016-10-24T23:59:59+08:00,1.03E+00,3.333333333333333E+01,0
2016-10-25T23:59:59+08:00,1.02E+00,3.333333333333333E+01,0
2016-10-26T23:59:59+08:00,1.03E+00,5E+01,0
2016-10-27T23:59:59+08:00,9.95753E-01,1.3468557652161024E+01,-1
2016-10-28T23:59:59+08:00,9.42647E-01,7.852190368503287E+00,-1
2016-10-29T23:59:59+08:00,8.89612E-01,6.234880414993654E+00,-1
2016-10-30T23:59:59+08:00,9.27473E-01,2.5424305042789072E+01,-1
2016-10-31T23:59:59+08:00,9.03216E-01,1.8696236160903894E+01,-1
2016-11-01T23:59:59+08:00,8.84664E-01,2.0267007831444616E+01,-1
2016-11-02T23:59:59+08:00,8.85256E-01,2.863280639180327E+01,0
2016-11-03T23:59:59+08:00,8.93556E-01,5.2201826667559935E+01,0
2016-11-04T23:59:59+08:00,9.72006E-01,6.710820508486299E+01,0
2016-11-05T23:59:59+08:00,1.04E+00,8.933106367316893E+01,1
2016-11-06T23:59:59+08:00,9.82655E-01,7.303708370752439E+01,1
2016-11-07T23:59:59+08:00,9.27765E-01,5.796111304634445E+01,0
2016-11-08T23:59:59+08:00,9.43784E-01,5.914240365783514E+01,0
2016-11-09T23:59:59+08:00,9.13514E-01,3.708888476853936E+01,0
2016-11-10T23:59:59+08:00,9.21264E-01,1.4295079206610737E+01,-1
2016-11-11T23:59:59+08:00,9.17606E-01,2.111167363905244E+01,-1
2016-11-12T23:59:59+08:00,9.09944E-01,3.636683547789897E+01,0
2016-11-13T23:59:59+08:00,9.02412E-01,1.3627092418061537E+01,-1
2016-11-14T23:59:59+08:00,8.88597E-01,1.9175099586807377E+01,-1
2016-11-15T23:59:59+08:00,9.22699E-01,5.1074600488250596E+01,0
2016-11-16T23:59:59+08:00,9.09567E-01,4.472804060700654E+01,0
2016-11-17T23:59:59+08:00,8.93229E-01,4.0158268467598596E+01,0
2016-11-18T23:59:59+08:00,8.71999E-01,3.458024478538185E+01,0
2016-11-19T23:59:59+08:00,8.60979E-01,3.5588904426958365E+01,0
2016-11-20T23:59:59+08:00,8.58533E-01,0E+00,-1
2016-11-21T23:59:59+08:00,8.50297E-01,0E+00,-1
2016-11-22T23:59:59+08:00,8.40367E-01,0E+00,-1
2016-11-23T23:59:59+08:00,8.16454E-01,0E+00,-1
2016-11-24T23:59:59+08:00,7.69668E-01,0E+00,-1
2016-11-25T23:59:59+08:00,8.45464E-01,4.603154359562981E+01,0
2016-11-26T23:59:59+08:00,7.81978E-01,3.4466670607654905E+01,0
2016-11-27T23:59:59+08:00,7.78122E-01,3.544568994140397E+01,0
2016-11-28T23:59:59+08:00,7.59313E-01,3.631241825681612E+01,0
2016-11-29T23:59:59+08:00,7.47909E-01,4.3724005053331105E+01,0
2016-11-30T23:59:59+08:00,7.48166E-01,2.6274894695943374E-01,-1
2016-12-01T23:59:59+08:00,7.66635E-01,3.546926792309873E+01,0
2016-12-02T23:59:59+08:00,8.01643E-01,6.400943452416408E+01,0
2016-12-03T23:59:59+08:00,7.72839E-01,5.7199122863043186E+01,0
2016-12-04T23:59:59+08:00,7.68952E-01,6.217413942724902E+01,0
2016-12-05T23:59:59+08:00,8.37907E-01,7.892575569064547E+01,1
2016-12-06T23:59:59+08:00,7.82294E-01,5.407220167787506E+01,0
2016-12-07T23:59:59+08:00,8.22794E-01,5.534767064962911E+01,0
2016-12-08T23:59:59+08:00,8.17662E-01,6.287373554602008E+01,0
2016-12-09T23:59:59+08:00,8.09223E-01,6.1271614820951775E+01,0
2016-12-10T23:59:59+08:00,8.60004E-01,5.688530209079863E+01,0
2016-12-11T23:59:59+08:00,9.30446E-01,9.225814916654306E+01,1
2016-12-12T23:59:59+08:00,9.08797E-01,7.748700804765951E+01,1
2016-12-13T23:59:59+08:00,9.83316E-01,8.667670371518399E+01,1
2016-12-14T23:59:59+08:00,9.9484E-01,9.05427778869886E+01,1
2016-12-15T23:59:59+08:00,1.08E+00,9.177763260841492E+01,1
2016-12-16T23:59:59+08:00,1.07E+00,8.439798473764122E+01,1
2016-12-17T23:59:59+08:00,1.01E+00,7.097880208786789E+01,0
2016-12-18T23:59:59+08:00,1.05E+00,6.613187281066749E+01,0
2016-12-19T23:59:59+08:00,1.2E+00,7.971955035345925E+01,1
2016-12-20T23:59:59+08:00,1.14E+00,5.937499999999997E+01,0
2016-12-21T23:59:59+08:00,1.14E+00,6.129032258064514E+01,0
2016-12-22T23:59:59+08:00,1.1E+00,6.551724137931038E+01,0
2016-12-23T23:59:59+08:00,1.05E+00,5E+01,0
2016-12-24T23:59:59+08:00,1.12E+00,3.1818181818181856E+01,0
2016-12-25T23:59:59+08:00,1.07E+00,3.333333333333337E+01,0
2016-12-26T23:59:59+08:00,1.04E+00,2.91666666666667E+01,0
2016-12-27T23:59:59+08:00,1.05E+00,3.8095238095238095E+01,0
2016-12-28T23:59:59+08:00,1.11E+00,6.363636363636363E+01,0
2016-12-29T23:59:59+08:00,1.43E+00,8.29787234042553E+01,1
2016-12-30T23:59:59+08:00,1.55E+00,9.444444444444444E+01,1
2016-12-31T23:59:59+08:00,1.41E+00,7.846153846153845E+01,1
2017-01-01T23:59:59+08:00,1.4E+00,7.69230769230769E+01,1
2017-01-02T23:59:59+08:00,1.44E+00,7.619047619047618E+01,1
2017-01-03T23:59:59+08:00,1.49E+00,5.833333333333333E+01,0
2017-01-04T23:59:59+08:00,1.76E+00,7.058823529411764E+01,0
2017-01-05T23:59:59+08:00,1.61E+00,6.923076923076925E+01,0
2017-01-06T23:59:59+08:00,1.51E+00,5.9016393442622956E+01,0
2017-01-07T23:59:59+08:00,1.44E+00,5E+01,0
2017-01-08T23:59:59+08:00,1.45E+00,4.6666666666666664E+01,0
2017-01-09T23:59:59+08:00,1.41E+00,2.702702702702709E+00,-1
