Time,Close,Result,Signal
2017-10-27T23:59:59+08:00,4.97052E-01,0E+00,0
2017-10-28T23:59:59+08:00,4.77654E-01,0E+00,0
2017-10-29T23:59:59+08:00,4.55864E-01,0E+00,0
2017-10-30T23:59:59+08:00,5.65623E-01,0E+00,0
2017-10-31T23:59:59+08:00,6.85691E-01,0E+00,0
2017-11-01T23:59:59+08:00,1.08E+00,9.38093319946372E+01,1
2017-11-02T23:59:59+08:00,1.17E+00,9.70391044751782E+01,1
2017-11-03T23:59:59+08:00,1.35E+00,1E+02,1
2017-11-04T23:59:59+08:00,1.4E+00,1E+02,1
2017-11-05T23:59:59+08:00,1.58E+00,1E+02,1
2017-11-06T23:59:59+08:00,1.73E+00,1E+02,1
2017-11-07T23:59:59+08:00,1.41E+00,6.363636363636363E+01,0
2017-11-08T23:59:59+08:00,1.32E+00,4.810126582278481E+01,0
2017-11-09T23:59:59+08:00,1.22E+00,3.928571428571429E+01,0
2017-11-10T23:59:59+08:00,9.16497E-01,1.5568192314917539E+01,-1
2017-11-11T23:59:59+08:00,1.05E+00,1.4097376362979759E+01,-1
2017-11-12T23:59:59+08:00,1.04E+00,2.0957887366837994E+01,-1
2017-11-13T23:59:59+08:00,9.57364E-01,2.120300107044956E+01,-1
2017-11-14T23:59:59+08:00,1.06E+00,3.734733772169838E+01,0
2017-11-15T23:59:59+08:00,1E+00,6.073924506462606E+01,0
2017-11-16T23:59:59+08:00,1.04E+00,4.8306646075482945E+01,0
2017-11-17T23:59:59+08:00,9.75336E-01,4.0760596223309406E+01,0
2017-11-18T23:59:59+08:00,9.78447E-01,5.38983251420985E+01,0
2017-11-19T23:59:59+08:00,1E+00,3.415448322487957E+01,0
2017-11-20T23:59:59+08:00,9.64074E-01,3.913006644317234E+01,0
2017-11-21T23:59:59+08:00,1.05E+00,5.236764845155791E+01,0
2017-11-22T23:59:59+08:00,1.09E+00,8.073838169379572E+01,1
2017-11-23T23:59:59+08:00,1.01E+00,5.598944591029025E+01,0
2017-11-24T23:59:59+08:00,1.1E+00,6.506695755939396E+01,0
2017-11-25T23:59:59+08:00,1.19E+00,7.927063737607727E+01,1
2017-11-26T23:59:59+08:00,1E+00,4.4897959183673464E+01,0
2017-11-27T23:59:59+08:00,1.45E+00,7E+01,0
2017-11-28T23:59:59+08:00,1.62E+00,8.08080808080808E+01,1
2017-11-29T23:59:59+08:00,1.1E+00,5E+01,0
2017-11-30T23:59:59+08:00,1.35E+00,5.506329113924051E+01,0
2017-12-01T23:59:59+08:00,1.46E+00,6.533333333333334E+01,0
2017-12-02T23:59:59+08:00,1.62E+00,5.702479338842976E+01,0
2017-12-03T23:59:59+08:00,1.55E+00,4.6846846846846844E+01,0
2017-12-04T23:59:59+08:00,1.16E+00,5.306122448979591E+01,0
2017-12-05T23:59:59+08:00,1.58E+00,6E+01,0
2017-12-06T23:59:59+08:00,1.75E+00,6.198347107438016E+01,0
2017-12-07T23:59:59+08:00,1.9E+00,6.166666666666666E+01,0
2017-12-08T23:59:59+08:00,1.78E+00,5.9199999999999996E+01,0
2017-12-09T23:59:59+08:00,1.88E+00,8.750000000000001E+01,1
2017-12-10T23:59:59+08:00,1.76E+00,6.363636363636364E+01,0
2017-12-11T23:59:59+08:00,1.98E+00,6.619718309859155E+01,0
2017-12-12T23:59:59+08:00,2.11E+00,6.521739130434784E+01,0
2017-12-13T23:59:59+08:00,2.03E+00,6.923076923076923E+01,0
2017-12-14T23:59:59+08:00,2.02E+00,6.250000000000002E+01,0
2017-12-15T23:59:59+08:00,2.4E+00,8.902439024390245E+01,1
2017-12-16T23:59:59+08:00,2.6E+00,8.875000000000001E+01,1
2017-12-17T23:59:59+08:00,2.83E+00,9.000000000000001E+01,1
2017-12-18T23:59:59+08:00,2.16E+00,5.436241610738256E+01,0
2017-12-19T23:59:59+08:00,2.14E+00,5.4E+01,0
2017-12-20T23:59:59+08:00,2.16E+00,3.947368421052632E+01,0
2017-12-21T23:59:59+08:00,2.91E+00,5.9171597633136095E+01,0
2017-12-22T23:59:59+08:00,2.73E+00,4.695121951219512E+01,0
2017-12-23T23:59:59+08:00,4.06E+00,9.130434782608695E+01,1
2017-12-24T23:59:59+08:00,4.34E+00,9.296875E+01,1
2017-12-25T23:59:59+08:00,6.91E+00,9.64774951076321E+01,1
2017-12-26T23:59:59+08:00,6.18E+00,8.212180746561884E+01,1
2017-12-27T23:59:59+08:00,5.19E+00,7.084745762711864E+01,0
2017-12-28T23:59:59+08:00,5.79E+00,6.67311411992263E+01,0
2017-12-29T23:59:59+08:00,5.51E+00,6.1315280464216634E+01,0
2017-12-30T23:59:59+08:00,5.2E+00,2.0618556701030926E+01,-1
2017-12-31T23:59:59+08:00,5.35E+00,3.218884120171673E+01,0
2018-01-01T23:59:59+08:00,6.16E+00,7.255813953488372E+01,0
2018-01-02T23:59:59+08:00,6.49E+00,6.861702127659575E+01,0
2018-01-03T23:59:59+08:00,7.34E+00,8.734693877551021E+01,1
2018-01-04T23:59:59+08:00,7.24E+00,9.55357142857143E+01,1
2018-01-05T23:59:59+08:00,6.84E+00,7.991967871485944E+01,1
2018-01-06T23:59:59+08:00,7.76E+00,8.076923076923077E+01,1
2018-01-07T23:59:59+08:00,9.92E+00,8.871331828442437E+01,1
2018-01-08T23:59:59+08:00,1.041E+01,8.771498771498771E+01,1
2018-01-09T23:59:59+08:00,1.219E+01,9.304347826086956E+01,1
2018-01-10T23:59:59+08:00,1.104E+01,8.230769230769229E+01,1
2018-01-11T23:59:59+08:00,9.2E+00,5.970350404312668E+01,0
2018-01-12T23:59:59+08:00,9.96E+00,5.0332225913621265E+01,0
2018-01-13T23:59:59+08:00,9.92E+00,4.560143626570916E+01,0
2018-01-14T23:59:59+08:00,1.059E+01,3.206278026905831E+01,0
2018-01-15T23:59:59+08:00,9.87E+00,3.548387096774195E+01,0
2018-01-16T23:59:59+08:00,7.51E+00,3.1428571428571445E+01,0
2018-01-17T23:59:59+08:00,7.47E+00,1.7493472584856377E+01,-1
2018-01-18T23:59:59+08:00,7.93E+00,2.6588235294117652E+01,-1
2018-01-19T23:59:59+08:00,8.43E+00,2.3529411764705884E+01,-1
2018-01-20T23:59:59+08:00,1.033E+01,5.43726235741445E+01,0
2018-01-21T23:59:59+08:00,8.88E+00,6.574712643678163E+01,0
2018-01-22T23:59:59+08:00,8.16E+00,5.6858846918489064E+01,0
2018-01-23T23:59:59+08:00,8.12E+00,5.206073752711496E+01,0
2018-01-24T23:59:59+08:00,8.34E+00,4.89607390300231E+01,0
2018-01-25T23:59:59+08:00,7.84E+00,7.508532423208209E+00,-1
2018-01-26T23:59:59+08:00,7.94E+00,2.0253164556962062E+01,-1
2018-01-27T23:59:59+08:00,7.86E+00,3.4042553191489404E+01,0
2018-01-28T23:59:59+08:00,9.41E+00,7.632653061224491E+01,1
2018-01-29T23:59:59+08:00,9.47E+00,7.467248908296943E+01,1
2018-01-30T23:59:59+08:00,8.27E+00,5.719063545150501E+01,0
2018-01-31T23:59:59+08:00,7.68E+00,4.626436781609195E+01,0
