Time,Close,Result,Signal
2017-06-13T23:59:59+08:00,5.90255E-01,0E+00,0
2017-06-14T23:59:59+08:00,5.28916E-01,0E+00,0
2017-06-15T23:59:59+08:00,3.63661E-01,0E+00,0
2017-06-16T23:59:59+08:00,4.10757E-01,0E+00,0
2017-06-17T23:59:59+08:00,4.19906E-01,0E+00,0
2017-06-18T23:59:59+08:00,4.05862E-01,1.894517368795114E+01,-1
2017-06-19T23:59:59+08:00,4.12183E-01,2.5868149587579836E+01,-1
2017-06-20T23:59:59+08:00,4.18494E-01,8.306339769177892E+01,1
2017-06-21T23:59:59+08:00,4.13547E-01,5.3421465711763E+01,0
2017-06-22T23:59:59+08:00,4.17742E-01,4.6979172483109046E+01,0
2017-06-23T23:59:59+08:00,4.8091E-01,9.417602599420783E+01,1
2017-06-24T23:59:59+08:00,5.1291E-01,9.552797389284135E+01,1
2017-06-25T23:59:59+08:00,4.70941E-01,6.792704352641186E+01,0
2017-06-26T23:59:59+08:00,4.02438E-01,4.735292015154765E+01,0
2017-06-27T23:59:59+08:00,3.92269E-01,4.409825354827648E+01,0
2017-06-28T23:59:59+08:00,3.79136E-01,1.930338895122273E+01,-1
2017-06-29T23:59:59+08:00,4.17798E-01,2.2421072165905045E+01,-1
2017-06-30T23:59:59+08:00,4.01591E-01,2.635913658862512E+01,-1
2017-07-01T23:59:59+08:00,3.8963E-01,4.289486530865839E+01,0
2017-07-02T23:59:59+08:00,3.82249E-01,4.42640593515296E+01,0
2017-07-03T23:59:59+08:00,3.76139E-01,4.8134360876981134E+01,0
2017-07-04T23:59:59+08:00,3.9639E-01,3.271038604425782E+01,0
2017-07-05T23:59:59+08:00,3.8013E-01,3.268240724303217E+01,0
2017-07-06T23:59:59+08:00,3.5388E-01,2.655799192152338E+01,-1
2017-07-07T23:59:59+08:00,2.84565E-01,1.4654885444256308E+01,-1
2017-07-08T23:59:59+08:00,3.05515E-01,2.6924182818605985E+01,-1
2017-07-09T23:59:59+08:00,3.02889E-01,1.5472559286859024E+01,-1
2017-07-10T23:59:59+08:00,2.17061E-01,1.0221057818499375E+01,-1
2017-07-11T23:59:59+08:00,1.87596E-01,1.0063213311301524E+01,-1
2017-07-12T23:59:59+08:00,2.28758E-01,3.450072487516037E+01,0
2017-07-13T23:59:59+08:00,2.14589E-01,2.375873015873016E+01,-1
2017-07-14T23:59:59+08:00,1.7535E-01,1.961374801656318E+01,-1
2017-07-15T23:59:59+08:00,1.58688E-01,2.92557765979374E+01,0
2017-07-16T23:59:59+08:00,1.80978E-01,4.752175671424933E+01,0
2017-07-17T23:59:59+08:00,2.63105E-01,5.984228051373454E+01,0
2017-07-18T23:59:59+08:00,2.6734E-01,6.602857438029085E+01,0
2017-07-19T23:59:59+08:00,2.32212E-01,6.772042233330424E+01,0
2017-07-20T23:59:59+08:00,2.9246E-01,8.278275530809496E+01,1
2017-07-21T23:59:59+08:00,2.64134E-01,6.979301546195444E+01,0
2017-07-22T23:59:59+08:00,2.73382E-01,5.374567190290485E+01,0
2017-07-23T23:59:59+08:00,2.69072E-01,5.0630919422992854E+01,0
2017-07-24T23:59:59+08:00,2.66447E-01,6.634019683648823E+01,0
2017-07-25T23:59:59+08:00,2.50453E-01,1.5285192469794922E+01,-1
2017-07-26T23:59:59+08:00,2.74598E-01,5.9289442846489834E+01,0
2017-07-27T23:59:59+08:00,2.75467E-01,5.217445716788687E+01,0
2017-07-28T23:59:59+08:00,2.65118E-01,4.633766811159279E+01,0
2017-07-29T23:59:59+08:00,2.7519E-01,5.711634569991372E+01,0
2017-07-30T23:59:59+08:00,2.54785E-01,5.328979343863913E+01,0
2017-07-31T23:59:59+08:00,2.54732E-01,2.620724346076456E+01,-1
2017-08-01T23:59:59+08:00,2.9022E-01,5.965927691280263E+01,0
2017-08-02T23:59:59+08:00,2.86116E-01,6.497247654088588E+01,0
2017-08-03T23:59:59+08:00,3.32352E-01,7.689065351974861E+01,1
2017-08-04T23:59:59+08:00,3.91286E-01,9.712944101094502E+01,1
2017-08-05T23:59:59+08:00,4.0798E-01,9.745813100782875E+01,1
2017-08-06T23:59:59+08:00,4.31142E-01,9.724803862401932E+01,1
2017-08-07T23:59:59+08:00,4.74577E-01,1E+02,1
2017-08-08T23:59:59+08:00,5.47637E-01,1E+02,1
2017-08-09T23:59:59+08:00,5.43328E-01,9.731793850367235E+01,1
2017-08-10T23:59:59+08:00,5.66456E-01,9.74212120124002E+01,1
2017-08-11T23:59:59+08:00,6.54872E-01,9.814545423244444E+01,1
2017-08-12T23:59:59+08:00,7.21535E-01,9.83140044448618E+01,1
2017-08-13T23:59:59+08:00,8.07713E-01,9.839631700000744E+01,1
2017-08-14T23:59:59+08:00,9.76404E-01,1E+02,1
2017-08-15T23:59:59+08:00,9.17949E-01,8.752036173978391E+01,1
2017-08-16T23:59:59+08:00,1.05E+00,8.858385510450395E+01,1
2017-08-17T23:59:59+08:00,1.02E+00,8.139258480147251E+01,1
2017-08-18T23:59:59+08:00,8.70147E-01,5.5791113996846306E+01,0
2017-08-19T23:59:59+08:00,9.78521E-01,5.022110445697289E+01,0
2017-08-20T23:59:59+08:00,9.42205E-01,5.2656189087022604E+01,0
2017-08-21T23:59:59+08:00,9.06269E-01,3.006388721673106E+01,0
2017-08-22T23:59:59+08:00,8.43775E-01,2.7577976095049777E+01,0
2017-08-23T23:59:59+08:00,8.50371E-01,4.604030178282528E+01,0
2017-08-24T23:59:59+08:00,8.95101E-01,2.7583945999398082E+01,0
2017-08-25T23:59:59+08:00,9.19635E-01,4.352515921739629E+01,0
2017-08-26T23:59:59+08:00,9.62213E-01,6.545995180509806E+01,0
2017-08-27T23:59:59+08:00,9.20351E-01,7.388521522145977E+01,1
2017-08-28T23:59:59+08:00,8.75197E-01,5.624214263444267E+01,0
2017-08-29T23:59:59+08:00,8.11961E-01,3.0875397949982514E+01,0
2017-08-30T23:59:59+08:00,8.69647E-01,4.002299254339043E+01,0
2017-08-31T23:59:59+08:00,8.42424E-01,2.4530428089691725E+01,-1
2017-09-01T23:59:59+08:00,8.07778E-01,2.5306981947399564E+01,-1
2017-09-02T23:59:59+08:00,6.95547E-01,1.955311807255049E+01,-1
2017-09-03T23:59:59+08:00,7.43968E-01,3.786736234283938E+01,0
2017-09-04T23:59:59+08:00,5.66472E-01,1.2104735548739171E+01,-1
2017-09-05T23:59:59+08:00,6.13085E-01,2.2659135398312372E+01,-1
2017-09-06T23:59:59+08:00,7.41663E-01,4.356029836034277E+01,0
2017-09-07T23:59:59+08:00,6.45758E-01,4.499117729314928E+01,0
2017-09-08T23:59:59+08:00,5.40475E-01,3.163006093432635E+01,0
2017-09-09T23:59:59+08:00,5.60809E-01,4.928625984023715E+01,0
2017-09-10T23:59:59+08:00,4.95607E-01,3.5856316608155026E+01,0
2017-09-11T23:59:59+08:00,5.58273E-01,2.3755688485646417E+01,-1
2017-09-12T23:59:59+08:00,5.91949E-01,4.063086561197375E+01,0
2017-09-13T23:59:59+08:00,5.5682E-01,5.37660075481436E+01,0
2017-09-14T23:59:59+08:00,4.45019E-01,3.1231805597878576E+01,0
2017-09-15T23:59:59+08:00,4.8051E-01,4.729214422287031E+01,0
2017-09-16T23:59:59+08:00,4.87239E-01,3.406065719440279E+01,0
2017-09-17T23:59:59+08:00,4.97046E-01,2.614987158029122E+01,-1
2017-09-18T23:59:59+08:00,6.06233E-01,5.904950277457284E+01,0
2017-09-19T23:59:59+08:00,5.65168E-01,7.969883181150786E+01,1
2017-09-20T23:59:59+08:00,5.66627E-01,7.559243255451806E+01,1
2017-09-21T23:59:59+08:00,5.00724E-01,5.296476578680068E+01,0
2017-09-22T23:59:59+08:00,5.0601E-01,5.201076716016149E+01,0
2017-09-23T23:59:59+08:00,5.41796E-01,2.8449019725884483E+01,0
2017-09-24T23:59:59+08:00,5.21379E-01,3.300789283746346E+01,0
2017-09-25T23:59:59+08:00,5.56207E-01,4.678831216865985E+01,0
2017-09-26T23:59:59+08:00,5.15205E-01,5.5272759050095054E+01,0
2017-09-27T23:59:59+08:00,5.51005E-01,6.340469395172582E+01,0
2017-09-28T23:59:59+08:00,5.95896E-01,6.528784093863385E+01,0
2017-09-29T23:59:59+08:00,5.84418E-01,6.876171881975488E+01,0
2017-09-30T23:59:59+08:00,6.20822E-01,6.905204186937934E+01,0
2017-10-01T23:59:59+08:00,6.10183E-01,8.411272016780165E+01,1
2017-10-02T23:59:59+08:00,5.75398E-01,5.8825444835994986E+01,0
2017-10-03T23:59:59+08:00,5.61712E-01,3.402497382981905E+01,0
2017-10-04T23:59:59+08:00,5.46982E-01,3.3021298211240506E+01,0
2017-10-05T23:59:59+08:00,5.40915E-01,0E+00,-1
2017-10-06T23:59:59+08:00,5.03448E-01,0E+00,-1
2017-10-07T23:59:59+08:00,5.38529E-01,3.2776485317338E+01,0
2017-10-08T23:59:59+08:00,5.00032E-01,2.660836455757652E+01,-1
2017-10-09T23:59:59+08:00,4.69438E-01,2.3750558541968516E+01,-1
2017-10-10T23:59:59+08:00,4.77576E-01,2.8855565273706915E+01,0
2017-10-11T23:59:59+08:00,4.81464E-01,4.054028468648342E+01,0
2017-10-12T23:59:59+08:00,4.12417E-01,8.008577288830864E+00,-1
