Time,Close,Result,Signal
2017-03-07T23:59:59+08:00,8.675E-03,0E+00,0
2017-03-08T23:59:59+08:00,9.707E-03,0E+00,0
2017-03-09T23:59:59+08:00,8.343E-03,0E+00,0
2017-03-10T23:59:59+08:00,7.292E-03,0E+00,0
2017-03-11T23:59:59+08:00,7.53E-03,0E+00,0
2017-03-12T23:59:59+08:00,7.878E-03,4.011901810066947E+01,0
2017-03-13T23:59:59+08:00,7.947E-03,2.1335504885993473E+01,-1
2017-03-14T23:59:59+08:00,7.936E-03,3.814793244030287E+01,0
2017-03-30T23:59:59+08:00,1.0552E-02,9.96648385131018E+01,1
2017-03-31T23:59:59+08:00,1.4469E-02,9.98419767274817E+01,1
2017-04-01T23:59:59+08:00,1.3506E-02,8.714361140443509E+01,1
2017-04-02T23:59:59+08:00,1.4516E-02,8.856404837384058E+01,1
2017-04-03T23:59:59+08:00,1.4869E-02,8.912969861158146E+01,1
2017-04-04T23:59:59+08:00,1.2636E-02,6.229353468617272E+01,0
2017-04-05T23:59:59+08:00,1.0157E-02,1.9366297243535087E+01,-1
2017-04-06T23:59:59+08:00,1.0289E-02,2.4085709682616397E+01,-1
2017-04-07T23:59:59+08:00,9.286E-03,7.82258064516131E+00,-1
2017-04-08T23:59:59+08:00,9.678E-03,8.398781856066677E+00,-1
2017-04-09T23:59:59+08:00,8.327E-03,9.781594175844688E+00,-1
2017-04-10T23:59:59+08:00,8.488E-03,2.2540309312273806E+01,-1
2017-04-11T23:59:59+08:00,9.761E-03,4.36842105263158E+01,0
2017-04-12T23:59:59+08:00,9.483E-03,5.285094066570187E+01,0
2017-04-13T23:59:59+08:00,1.0371E-02,5.876993166287014E+01,0
2017-04-14T23:59:59+08:00,9.88E-03,7.51213199611776E+01,1
2017-04-15T23:59:59+08:00,1.067E-02,7.93279569892473E+01,1
2017-04-16T23:59:59+08:00,1.0658E-02,6.823912159414397E+01,0
2017-04-17T23:59:59+08:00,9.277E-03,4.710836608646829E+01,0
2017-04-18T23:59:59+08:00,9.39E-03,3.240043057050593E+01,0
2017-04-19T23:59:59+08:00,8.714E-03,3.0383580080753703E+01,0
