Time,Close,Result,Signal
2017-07-14T23:59:59+08:00,5.8248E-01,0E+00,0
2017-07-15T23:59:59+08:00,4.33351E-01,0E+00,0
2017-07-16T23:59:59+08:00,3.84906E-01,0E+00,0
2017-07-17T23:59:59+08:00,5.82786E-01,0E+00,0
2017-07-18T23:59:59+08:00,7.59819E-01,0E+00,0
2017-07-19T23:59:59+08:00,5.83911E-01,5.009560459383079E+01,0
2017-07-20T23:59:59+08:00,6.59447E-01,6.675276599654417E+01,0
2017-07-21T23:59:59+08:00,7.53032E-01,7.556636506829717E+01,1
2017-07-22T23:59:59+08:00,8.78662E-01,7.284079469871482E+01,0
2017-07-23T23:59:59+08:00,1.53E+00,8.432188321359148E+01,1
2017-07-24T23:59:59+08:00,1.52E+00,9.895407226733076E+01,1
2017-07-25T23:59:59+08:00,1.23E+00,7.437108785334794E+01,1
2017-07-26T23:59:59+08:00,1.21E+00,7.082868415487052E+01,0
2017-07-27T23:59:59+08:00,1.38E+00,7.196273146079426E+01,0
2017-07-28T23:59:59+08:00,1.19E+00,2.5E+01,-1
2017-07-29T23:59:59+08:00,1.28E+00,3.421052631578948E+01,0
2017-07-30T23:59:59+08:00,1.21E+00,4.8148148148148145E+01,0
2017-07-31T23:59:59+08:00,1.23E+00,5.1851851851851855E+01,0
2017-08-01T23:59:59+08:00,1.33E+00,4.4680851063829806E+01,0
2017-08-02T23:59:59+08:00,1.38E+00,7.878787878787878E+01,1
2017-08-03T23:59:59+08:00,1.96E+00,9.146341463414633E+01,1
2017-08-04T23:59:59+08:00,2.76E+00,1E+02,1
2017-08-05T23:59:59+08:00,3.61E+00,1E+02,1
2017-08-06T23:59:59+08:00,2.75E+00,7.261146496815286E+01,0
2017-08-07T23:59:59+08:00,3.15E+00,7.535816618911176E+01,1
2017-08-08T23:59:59+08:00,3.61E+00,7.448071216617211E+01,1
2017-08-09T23:59:59+08:00,3.45E+00,6.263736263736265E+01,0
2017-08-10T23:59:59+08:00,5.93E+00,7.660550458715596E+01,1
2017-08-11T23:59:59+08:00,7.23E+00,9.666666666666667E+01,1
2017-08-12T23:59:59+08:00,6.19E+00,7.794117647058825E+01,1
2017-08-13T23:59:59+08:00,6.94E+00,7.905759162303666E+01,1
2017-08-14T23:59:59+08:00,7.02E+00,8.15929203539823E+01,1
2017-08-15T23:59:59+08:00,6.69E+00,6.085714285714287E+01,0
2017-08-16T23:59:59+08:00,8.87E+00,6.872146118721462E+01,0
2017-08-17T23:59:59+08:00,8.4E+00,7.900262467191604E+01,1
2017-08-18T23:59:59+08:00,7.34E+00,5.485436893203883E+01,0
2017-08-19T23:59:59+08:00,7.8E+00,5.866666666666668E+01,0
2017-08-20T23:59:59+08:00,8.44E+00,6.81912681912682E+01,0
2017-08-21T23:59:59+08:00,7.67E+00,3.235294117647058E+01,0
2017-08-22T23:59:59+08:00,7.62E+00,3.6912751677852334E+01,0
2017-08-23T23:59:59+08:00,8.24E+00,6.771653543307087E+01,0
2017-08-24T23:59:59+08:00,8.37E+00,6.289592760180995E+01,0
2017-08-25T23:59:59+08:00,8.27E+00,4.491017964071856E+01,0
2017-08-26T23:59:59+08:00,8.28E+00,8.351648351648355E+01,1
2017-08-27T23:59:59+08:00,8.33E+00,8.901098901098905E+01,1
2017-08-28T23:59:59+08:00,8.59E+00,8.181818181818184E+01,1
2017-08-29T23:59:59+08:00,9.46E+00,9.22480620155039E+01,1
2017-08-30T23:59:59+08:00,1.107E+01,1E+02,1
2017-08-31T23:59:59+08:00,1.174E+01,1E+02,1
2017-09-01T23:59:59+08:00,1.197E+01,1E+02,1
2017-09-02T23:59:59+08:00,1.08E+01,7.428571428571429E+01,1
2017-09-03T23:59:59+08:00,1.057E+01,6.419437340153452E+01,0
2017-09-04T23:59:59+08:00,8.78E+00,2.2004889975550114E+01,-1
2017-09-05T23:59:59+08:00,1.098E+01,4.323843416370107E+01,0
2017-09-06T23:59:59+08:00,1.164E+01,4.727272727272727E+01,0
