Time,Close,Result,Signal
2017-05-24T23:59:59+08:00,6.19E+00,0E+00,0
2017-05-25T23:59:59+08:00,4.66E+00,0E+00,0
2017-05-26T23:59:59+08:00,4.1E+00,0E+00,0
2017-05-27T23:59:59+08:00,4.53E+00,0E+00,0
2017-05-28T23:59:59+08:00,4.62E+00,0E+00,0
2017-05-29T23:59:59+08:00,4.6E+00,1.9771863117870723E+01,-1
2017-05-30T23:59:59+08:00,4.65E+00,4.956521739130436E+01,0
2017-05-31T23:59:59+08:00,4.86E+00,9.749999999999994E+01,1
2017-06-01T23:59:59+08:00,7.79E+00,9.939393939393938E+01,1
2017-06-02T23:59:59+08:00,1.346E+01,9.977477477477477E+01,1
2017-06-03T23:59:59+08:00,1.254E+01,9.059304703476481E+01,1
2017-06-04T23:59:59+08:00,1.215E+01,8.705533596837944E+01,1
2017-06-05T23:59:59+08:00,1.117E+01,7.897153351698806E+01,1
2017-06-06T23:59:59+08:00,1.15E+01,7.237635705669481E+01,0
2017-06-07T23:59:59+08:00,1.097E+01,1.0476190476190482E+01,-1
2017-06-08T23:59:59+08:00,1.235E+01,4.736842105263158E+01,0
2017-06-09T23:59:59+08:00,1.174E+01,4.464751958224542E+01,0
2017-06-10T23:59:59+08:00,1.133E+01,5.245398773006136E+01,0
2017-06-11T23:59:59+08:00,1.176E+01,5.386904761904762E+01,0
2017-06-12T23:59:59+08:00,1.096E+01,4.9862258953168045E+01,0
2017-06-13T23:59:59+08:00,1.242E+01,5.09433962264151E+01,0
2017-06-14T23:59:59+08:00,1.177E+01,5.039999999999999E+01,0
2017-06-15T23:59:59+08:00,1.111E+01,4.7249999999999986E+01,0
2017-06-16T23:59:59+08:00,1.129E+01,4.373333333333332E+01,0
2017-06-17T23:59:59+08:00,1.125E+01,5.4849498327759186E+01,0
2017-06-18T23:59:59+08:00,1.058E+01,8.181818181818173E+00,-1
2017-06-19T23:59:59+08:00,1.059E+01,1.2179487179487154E+01,-1
2017-06-20T23:59:59+08:00,1.149E+01,6.0555555555555586E+01,0
2017-06-21T23:59:59+08:00,1.183E+01,6.377551020408167E+01,0
2017-06-22T23:59:59+08:00,1.21E+01,6.940639269406392E+01,0
2017-06-23T23:59:59+08:00,1.699E+01,1E+02,1
2017-06-24T23:59:59+08:00,1.635E+01,9.090909090909095E+01,1
2017-06-25T23:59:59+08:00,1.492E+01,7.26552179656539E+01,0
2017-06-26T23:59:59+08:00,1.261E+01,5.4088050314465406E+01,0
2017-06-27T23:59:59+08:00,1.447E+01,6.064690026954179E+01,0
2017-06-28T23:59:59+08:00,1.383E+01,2.703488372093024E+01,0
2017-06-29T23:59:59+08:00,1.248E+01,2.4505928853754938E+01,-1
2017-06-30T23:59:59+08:00,1.203E+01,2.8139183055975792E+01,0
2017-07-01T23:59:59+08:00,1.039E+01,3.1313131313131322E+01,0
2017-07-02T23:59:59+08:00,9.45E+00,0E+00,-1
2017-07-03T23:59:59+08:00,9.19E+00,0E+00,-1
2017-07-04T23:59:59+08:00,9.27E+00,2.3738872403560833E+00,-1
2017-07-05T23:59:59+08:00,8.3E+00,2.056555269922896E+00,-1
2017-07-06T23:59:59+08:00,8.75E+00,1.9629629629629605E+01,-1
2017-07-07T23:59:59+08:00,6.87E+00,1.4560439560439548E+01,-1
2017-07-08T23:59:59+08:00,6.86E+00,1.5634218289085538E+01,-1
2017-07-09T23:59:59+08:00,6.36E+00,1.181102362204723E+01,-1
2017-07-10T23:59:59+08:00,5.38E+00,1.1780104712041876E+01,-1
2017-07-11T23:59:59+08:00,4.82E+00,0E+00,-1
2017-07-12T23:59:59+08:00,5.59E+00,2.7304964539007088E+01,0
2017-07-13T23:59:59+08:00,5.11E+00,2.340425531914893E+01,-1
2017-07-14T23:59:59+08:00,4.53E+00,2.284866468842729E+01,-1
2017-07-15T23:59:59+08:00,3.88E+00,2.532894736842104E+01,-1
2017-07-16T23:59:59+08:00,3.93E+00,3.2411067193675876E+01,0
2017-07-17T23:59:59+08:00,4.38E+00,2.2624434389140276E+01,-1
2017-07-18T23:59:59+08:00,5.18E+00,5.138339920948616E+01,0
2017-07-19T23:59:59+08:00,5.62E+00,7.280334728033472E+01,0
2017-07-20T23:59:59+08:00,7.59E+00,1E+02,1
2017-07-21T23:59:59+08:00,7.84E+00,1E+02,1
2017-07-22T23:59:59+08:00,7.52E+00,9.153439153439153E+01,1
2017-07-23T23:59:59+08:00,6.64E+00,6.89119170984456E+01,0
2017-07-24T23:59:59+08:00,7.26E+00,7.029702970297029E+01,0
2017-07-25T23:59:59+08:00,6.13E+00,2.71875E+01,0
2017-07-26T23:59:59+08:00,6.26E+00,2.435064935064935E+01,-1
2017-07-27T23:59:59+08:00,6.21E+00,2.6690391459074732E+01,-1
2017-07-28T23:59:59+08:00,5.75E+00,3.1380753138075306E+01,0
2017-07-29T23:59:59+08:00,5.78E+00,8.8888888888889E+00,-1
2017-07-30T23:59:59+08:00,5.53E+00,1.7391304347826107E+01,-1
2017-07-31T23:59:59+08:00,6.12E+00,4.492753623188407E+01,0
2017-08-01T23:59:59+08:00,6.49E+00,5.8235294117647065E+01,0
2017-08-02T23:59:59+08:00,6.43E+00,7.615384615384613E+01,1
2017-08-03T23:59:59+08:00,7.65E+00,8.755020080321285E+01,1
2017-08-04T23:59:59+08:00,8.22E+00,9.786476868327401E+01,1
2017-08-05T23:59:59+08:00,9.38E+00,9.82248520710059E+01,1
2017-08-06T23:59:59+08:00,1.007E+01,9.837837837837837E+01,1
2017-08-07T23:59:59+08:00,1.265E+01,1E+02,1
2017-08-08T23:59:59+08:00,1.15E+01,8.130081300813008E+01,1
2017-08-09T23:59:59+08:00,1.255E+01,8.265460030165912E+01,1
2017-08-10T23:59:59+08:00,1.577E+01,8.676639815880321E+01,1
2017-08-11T23:59:59+08:00,1.473E+01,7.577433628318585E+01,1
2017-08-12T23:59:59+08:00,1.39E+01,5.857338820301783E+01,0
2017-08-13T23:59:59+08:00,1.517E+01,7.476383265856951E+01,1
2017-08-14T23:59:59+08:00,1.506E+01,6.939721792890263E+01,0
2017-08-15T23:59:59+08:00,1.468E+01,3.498622589531681E+01,0
2017-08-16T23:59:59+08:00,1.435E+01,4.3493150684931486E+01,0
2017-08-17T23:59:59+08:00,1.306E+01,3.7573964497041416E+01,0
2017-08-18T23:59:59+08:00,1.163E+01,0E+00,-1
2017-08-19T23:59:59+08:00,1.164E+01,2.906976744185954E-01,-1
2017-08-20T23:59:59+08:00,1.179E+01,4.984423676012426E+00,-1
2017-08-21T23:59:59+08:00,1.123E+01,4.65116279069764E+00,-1
2017-08-22T23:59:59+08:00,1.106E+01,6.896551724137865E+00,-1
2017-08-23T23:59:59+08:00,1.19E+01,5.780346820809249E+01,0
2017-08-24T23:59:59+08:00,1.378E+01,7.972222222222224E+01,1
2017-08-25T23:59:59+08:00,1.332E+01,6.956521739130437E+01,0
2017-08-26T23:59:59+08:00,1.541E+01,8.841911764705884E+01,1
2017-08-27T23:59:59+08:00,1.57E+01,9.172661870503599E+01,1
2017-08-28T23:59:59+08:00,1.624E+01,9.125475285171103E+01,1
2017-08-29T23:59:59+08:00,1.915E+01,9.268680445151034E+01,1
2017-08-30T23:59:59+08:00,1.684E+01,7.162162162162163E+01,0
2017-08-31T23:59:59+08:00,1.73E+01,6.451612903225808E+01,0
2017-09-01T23:59:59+08:00,1.826E+01,6.782729805013929E+01,0
2017-09-02T23:59:59+08:00,1.64E+01,5.094117647058823E+01,0
2017-09-03T23:59:59+08:00,1.529E+01,2.119402985074629E+01,-1
2017-09-04T23:59:59+08:00,1.098E+01,1.632183908045978E+01,-1
2017-09-05T23:59:59+08:00,1.171E+01,1.8840579710144937E+01,-1
2017-09-06T23:59:59+08:00,1.14E+01,8.774038461538453E+00,-1
2017-09-07T23:59:59+08:00,1.474E+01,4.153061224489796E+01,0
2017-09-08T23:59:59+08:00,1.35E+01,4.098690835850957E+01,0
2017-09-09T23:59:59+08:00,1.332E+01,7.017241379310344E+01,0
2017-09-10T23:59:59+08:00,1.278E+01,5.953654188948305E+01,0
2017-09-11T23:59:59+08:00,1.428E+01,7.117647058823529E+01,0
2017-09-12T23:59:59+08:00,1.351E+01,3.546099290780141E+01,0
2017-09-13T23:59:59+08:00,1.194E+01,3.289473684210526E+01,0
2017-09-14T23:59:59+08:00,7.6E+00,1.7201834862385326E+01,-1
2017-09-15T23:59:59+08:00,8.47E+00,2.618784530386742E+01,-1
2017-09-16T23:59:59+08:00,8.25E+00,1.1196911196911216E+01,-1
2017-09-17T23:59:59+08:00,8.27E+00,1.2678062678062687E+01,-1
2017-09-18T23:59:59+08:00,9.62E+00,3.294117647058823E+01,0
2017-09-19T23:59:59+08:00,8.91E+00,7.066246056782336E+01,0
2017-09-20T23:59:59+08:00,8.79E+00,5.6611570247933855E+01,0
2017-09-21T23:59:59+08:00,7.38E+00,3.795013850415512E+01,0
2017-09-22T23:59:59+08:00,7.68E+00,4.241645244215938E+01,0
2017-09-23T23:59:59+08:00,8.11E+00,2.4579124579124567E+01,-1
2017-09-24T23:59:59+08:00,8.04E+00,3.133047210300427E+01,0
2017-09-25T23:59:59+08:00,9.36E+00,5.807365439093484E+01,0
2017-09-26T23:59:59+08:00,9.34E+00,9.57943925233645E+01,1
2017-09-27T23:59:59+08:00,9.9E+00,9.625E+01,1
2017-09-28T23:59:59+08:00,9.93E+00,9.55E+01,1
2017-09-29T23:59:59+08:00,9.77E+00,9.138755980861245E+01,1
2017-09-30T23:59:59+08:00,1.159E+01,9.305019305019306E+01,1
2017-10-01T23:59:59+08:00,1.234E+01,9.518072289156626E+01,1
2017-10-02T23:59:59+08:00,1.188E+01,8.074534161490685E+01,1
2017-10-03T23:59:59+08:00,1.212E+01,8.192419825072888E+01,1
2017-10-04T23:59:59+08:00,1.163E+01,7.473404255319153E+01,1
2017-10-05T23:59:59+08:00,1.186E+01,5.6221198156682036E+01,0
2017-10-06T23:59:59+08:00,1.169E+01,2.9559748427672872E+01,0
2017-10-07T23:59:59+08:00,1.194E+01,5.2173913043478215E+01,0
2017-10-08T23:59:59+08:00,1.114E+01,2.4742268041237082E+01,-1
2017-10-09T23:59:59+08:00,1.207E+01,5.92436974789916E+01,0
2017-10-10T23:59:59+08:00,1.208E+01,5.509259259259261E+01,0
2017-10-11T23:59:59+08:00,1.213E+01,6.0784313725490236E+01,0
2017-10-12T23:59:59+08:00,1.129E+01,3.76425855513308E+01,0
2017-10-13T23:59:59+08:00,1.125E+01,5.294117647058822E+01,0
2017-10-14T23:59:59+08:00,1.063E+01,3.846153846153868E+00,-1
2017-10-15T23:59:59+08:00,1.044E+01,2.873563218390842E+00,-1
2017-10-16T23:59:59+08:00,1.149E+01,3.832116788321167E+01,0
2017-10-17T23:59:59+08:00,1.205E+01,6.544715447154474E+01,0
2017-10-18T23:59:59+08:00,1.149E+01,5.402684563758389E+01,0
2017-10-19T23:59:59+08:00,1.207E+01,7.448979591836732E+01,1
2017-10-20T23:59:59+08:00,1.13E+01,6.22159090909091E+01,0
2017-10-21T23:59:59+08:00,1.091E+01,3.986013986013986E+01,0
2017-10-22T23:59:59+08:00,1.063E+01,2.2480620155038764E+01,-1
2017-10-23T23:59:59+08:00,9.96E+00,2.1561338289962833E+01,-1
2017-10-24T23:59:59+08:00,1.076E+01,2.7491408934707877E+01,0
2017-10-25T23:59:59+08:00,1.065E+01,3.555555555555554E+01,0
2017-10-26T23:59:59+08:00,1.057E+01,4.1237113402061844E+01,0
2017-10-27T23:59:59+08:00,1.03E+01,4.145077720207253E+01,0
2017-10-28T23:59:59+08:00,1.021E+01,5.925925925925927E+01,0
2017-10-29T23:59:59+08:00,1.042E+01,2.7631578947368382E+01,0
2017-10-30T23:59:59+08:00,1.039E+01,3.088235294117642E+01,0
2017-10-31T23:59:59+08:00,1.045E+01,4.0909090909090786E+01,0
2017-11-01T23:59:59+08:00,9.93E+00,2.9670329670329536E+01,0
2017-11-02T23:59:59+08:00,9.8E+00,2.8421052631578846E+01,0
2017-11-03T23:59:59+08:00,1.038E+01,4.848484848484851E+01,0
2017-11-04T23:59:59+08:00,1.005E+01,3.9506172839506156E+01,0
2017-11-05T23:59:59+08:00,1.013E+01,4.0243902439024424E+01,0
2017-11-06T23:59:59+08:00,1.044E+01,6.783216783216784E+01,0
2017-11-07T23:59:59+08:00,1.121E+01,8.405797101449275E+01,1
2017-11-08T23:59:59+08:00,1.191E+01,8.493150684931506E+01,1
2017-11-09T23:59:59+08:00,1.194E+01,1E+02,1
2017-11-10T23:59:59+08:00,1.129E+01,7.35772357723577E+01,1
2017-11-11T23:59:59+08:00,1.165E+01,7.410358565737052E+01,1
2017-11-12T23:59:59+08:00,1.111E+01,4.780701754385962E+01,0
2017-11-13T23:59:59+08:00,1.142E+01,3.7037037037037045E+01,0
2017-11-14T23:59:59+08:00,1.16E+01,4.1666666666666686E+01,0
2017-11-15T23:59:59+08:00,1.172E+01,6.423841059602651E+01,0
2017-11-16T23:59:59+08:00,1.289E+01,7.672413793103446E+01,1
2017-11-17T23:59:59+08:00,1.337E+01,1E+02,1
2017-11-18T23:59:59+08:00,1.402E+01,1E+02,1
2017-11-19T23:59:59+08:00,1.403E+01,1E+02,1
2017-11-20T23:59:59+08:00,1.477E+01,1E+02,1
2017-11-21T23:59:59+08:00,1.415E+01,7.520000000000002E+01,1
2017-11-22T23:59:59+08:00,1.42E+01,7.004830917874398E+01,0
2017-11-23T23:59:59+08:00,1.395E+01,4.7904191616766454E+01,0
2017-11-24T23:59:59+08:00,1.443E+01,5.9345794392523366E+01,0
2017-11-25T23:59:59+08:00,1.449E+01,4.0410958904109606E+01,0
2017-11-26T23:59:59+08:00,1.479E+01,7.807017543859646E+01,1
2017-11-27T23:59:59+08:00,1.479E+01,7.706422018348624E+01,1
2017-11-28T23:59:59+08:00,1.549E+01,1E+02,1
2017-11-29T23:59:59+08:00,1.245E+01,2.585365853658537E+01,-1
