Time,Close,Result,Signal
2015-08-26T23:59:59+08:00,4.1E-05,0E+00,0
2015-08-27T23:59:59+08:00,4.3E-05,0E+00,0
2015-08-28T23:59:59+08:00,3.9E-05,0E+00,0
2015-08-29T23:59:59+08:00,3.4E-05,0E+00,0
2015-08-30T23:59:59+08:00,3.2E-05,0E+00,0
2015-08-31T23:59:59+08:00,3E-05,1.3333333333333343E+01,-1
2015-09-01T23:59:59+08:00,3E-05,0E+00,-1
2015-09-02T23:59:59+08:00,2.8E-05,0E+00,-1
2015-09-03T23:59:59+08:00,2.5E-05,0E+00,-1
2015-09-04T23:59:59+08:00,2.5E-05,0E+00,-1
2015-09-05T23:59:59+08:00,2.4E-05,0E+00,-1
2015-09-06T23:59:59+08:00,2.9E-05,4.545454545454546E+01,0
2015-09-07T23:59:59+08:00,4.3E-05,8.260869565217392E+01,1
2015-09-08T23:59:59+08:00,7.8E-05,9.818181818181819E+01,1
2015-09-09T23:59:59+08:00,4.8E-05,6.3529411764705884E+01,0
2015-09-10T23:59:59+08:00,4.8E-05,6.428571428571429E+01,0
2015-09-11T23:59:59+08:00,4.3E-05,5.833333333333334E+01,0
2015-09-12T23:59:59+08:00,3.3E-05,4.375E+01,0
2015-09-13T23:59:59+08:00,3.5E-05,4.255319148936152E+00,-1
2015-09-14T23:59:59+08:00,3.5E-05,1.17647058823529E+01,-1
2015-09-15T23:59:59+08:00,3.5E-05,1.17647058823529E+01,-1
2015-09-16T23:59:59+08:00,3E-05,1.1764705882352928E+01,-1
2015-09-17T23:59:59+08:00,3E-05,2.8571428571428527E+01,0
2015-09-18T23:59:59+08:00,3E-05,0E+00,-1
2015-09-19T23:59:59+08:00,2.8E-05,0E+00,-1
2015-09-20T23:59:59+08:00,2.8E-05,0E+00,-1
2015-09-21T23:59:59+08:00,3E-05,5E+01,0
2015-09-22T23:59:59+08:00,3.2E-05,6.666666666666666E+01,0
2015-09-23T23:59:59+08:00,3.2E-05,6.666666666666666E+01,0
2015-09-24T23:59:59+08:00,3.3E-05,1E+02,1
2015-09-25T23:59:59+08:00,3.1E-05,7.142857142857143E+01,0
2015-09-26T23:59:59+08:00,3.3E-05,7.142857142857143E+01,0
2015-09-27T23:59:59+08:00,3E-05,3.750000000000002E+01,0
2015-09-28T23:59:59+08:00,2.9E-05,3.333333333333336E+01,0
2015-09-29T23:59:59+08:00,2.8E-05,2.222222222222223E+01,-1
2015-09-30T23:59:59+08:00,2.8E-05,2.857142857142857E+01,0
2015-10-01T23:59:59+08:00,2.9E-05,1.6666666666666657E+01,-1
2015-10-02T23:59:59+08:00,2.8E-05,2.5E+01,-1
2015-10-03T23:59:59+08:00,2.6E-05,2E+01,-1
2015-10-04T23:59:59+08:00,2.9E-05,5.714285714285714E+01,0
2015-10-05T23:59:59+08:00,2.9E-05,5.714285714285714E+01,0
2015-10-06T23:59:59+08:00,2.7E-05,3.75E+01,0
