Time,Close,Result,Signal
2016-04-18T23:59:59+08:00,8.77681E-01,0E+00,0
2016-04-19T23:59:59+08:00,7.66538E-01,0E+00,0
2016-04-20T23:59:59+08:00,8.32998E-01,0E+00,0
2016-04-21T23:59:59+08:00,6.78366E-01,0E+00,0
2016-04-22T23:59:59+08:00,4.45541E-01,0E+00,0
2016-04-23T23:59:59+08:00,6.27526E-01,3.3257032708872956E+01,0
2016-04-24T23:59:59+08:00,5.63835E-01,3.551279100848636E+01,0
2016-04-25T23:59:59+08:00,3.69118E-01,2.198284713414266E+01,-1
2016-04-26T23:59:59+08:00,3.74183E-01,2.7576984827866823E+01,0
2016-04-27T23:59:59+08:00,4.16198E-01,4.699029484709923E+01,0
2016-04-28T23:59:59+08:00,4.49965E-01,2.383074678339301E+01,-1
2016-04-29T23:59:59+08:00,4.32963E-01,2.7633764688993253E+01,0
2016-04-30T23:59:59+08:00,4.19174E-01,7.241888962539636E+01,0
2016-05-01T23:59:59+08:00,4.6598E-01,7.992489193435868E+01,1
2016-05-02T23:59:59+08:00,4.02849E-01,4.617496203329608E+01,0
2016-05-03T23:59:59+08:00,4.4371E-01,4.827770404594991E+01,0
2016-05-04T23:59:59+08:00,4.21578E-01,4.6951301153069586E+01,0
2016-05-05T23:59:59+08:00,3.85345E-01,4.191324469432929E+01,0
2016-05-06T23:59:59+08:00,3.54715E-01,2.117292874649587E+01,-1
2016-05-07T23:59:59+08:00,3.09534E-01,2.334420722475818E+01,-1
2016-05-08T23:59:59+08:00,3.10248E-01,5.293201868189215E-01,-1
2016-05-09T23:59:59+08:00,2.58957E-01,4.352358136898431E-01,-1
2016-05-10T23:59:59+08:00,2.55622E-01,5.444106411693781E-01,-1
2016-05-11T23:59:59+08:00,2.5223E-01,6.871132582064234E-01,-1
2016-05-12T23:59:59+08:00,2.64839E-01,1.867509566728812E+01,-1
2016-05-13T23:59:59+08:00,3.41788E-01,6.0686019406949626E+01,0
2016-05-14T23:59:59+08:00,3.75596E-01,9.482908380927492E+01,1
2016-05-15T23:59:59+08:00,3.74065E-01,9.616257044641395E+01,1
2016-05-16T23:59:59+08:00,3.42774E-01,7.898558147873078E+01,1
2016-05-17T23:59:59+08:00,3.82058E-01,8.205104367750722E+01,1
2016-05-18T23:59:59+08:00,3.43168E-01,5.047650617386259E+01,0
2016-05-19T23:59:59+08:00,3.4769E-01,3.792136290448242E+01,0
2016-05-20T23:59:59+08:00,4.22897E-01,6.290527183737329E+01,0
2016-05-21T23:59:59+08:00,4.2044E-01,7.421613868795208E+01,1
2016-05-22T23:59:59+08:00,4.28027E-01,6.786411011712767E+01,0
2016-05-23T23:59:59+08:00,4.44433E-01,9.768598310400358E+01,1
2016-05-24T23:59:59+08:00,5.3024E-01,9.868934835488412E+01,1
2016-05-25T23:59:59+08:00,5.65619E-01,9.83357717629846E+01,1
2016-05-26T23:59:59+08:00,7.34062E-01,1E+02,1
2016-05-27T23:59:59+08:00,5.14634E-01,5.824101792133795E+01,0
2016-05-28T23:59:59+08:00,4.84494E-01,5.371487601006681E+01,0
2016-05-29T23:59:59+08:00,4.50608E-01,4.182886085093458E+01,0
2016-05-30T23:59:59+08:00,4.44284E-01,3.676020959318757E+01,0
2016-05-31T23:59:59+08:00,4.25338E-01,0E+00,-1
2016-06-01T23:59:59+08:00,4.17857E-01,0E+00,-1
2016-06-02T23:59:59+08:00,4.06103E-01,0E+00,-1
2016-06-03T23:59:59+08:00,3.66594E-01,0E+00,-1
2016-06-04T23:59:59+08:00,4.24029E-01,4.250508788159111E+01,0
2016-06-05T23:59:59+08:00,3.69761E-01,3.36966916402166E+01,0
2016-06-06T23:59:59+08:00,3.85065E-01,4.0802714982891125E+01,0
2016-06-07T23:59:59+08:00,3.40678E-01,3.44893149931485E+01,0
2016-06-08T23:59:59+08:00,3.69452E-01,5.071390032372808E+01,0
2016-06-09T23:59:59+08:00,3.90428E-01,3.973758315059038E+01,0
2016-06-10T23:59:59+08:00,3.70404E-01,5.024832966438805E+01,0
2016-06-11T23:59:59+08:00,3.81708E-01,4.866217670266608E+01,0
2016-06-12T23:59:59+08:00,3.76407E-01,7.068153139073155E+01,0
2016-06-13T23:59:59+08:00,3.87242E-01,6.2996785505552296E+01,0
2016-06-14T23:59:59+08:00,3.80367E-01,4.074237656195367E+01,0
2016-06-15T23:59:59+08:00,3.50005E-01,3.423009725250087E+01,0
2016-06-16T23:59:59+08:00,4.04713E-01,6.0642481102136365E+01,0
2016-06-17T23:59:59+08:00,3.11305E-01,3.34082614634942E+01,0
2016-06-18T23:59:59+08:00,3.03056E-01,2.8257972541605966E+01,0
2016-06-19T23:59:59+08:00,3.35555E-01,3.977949695747767E+01,0
2016-06-20T23:59:59+08:00,3.04109E-01,3.9583768326449096E+01,0
