Time,Close,Result,Signal
2017-09-13T23:59:59+08:00,1.988E-03,0E+00,0
2017-09-14T23:59:59+08:00,1.427E-03,0E+00,0
2017-09-15T23:59:59+08:00,1.801E-03,0E+00,0
2017-09-16T23:59:59+08:00,1.831E-03,0E+00,0
2017-09-17T23:59:59+08:00,3.32E-03,0E+00,0
2017-09-18T23:59:59+08:00,3.263E-03,7.538829151732376E+01,1
2017-09-19T23:59:59+08:00,2.291E-03,6.478439425051334E+01,0
2017-09-20T23:59:59+08:00,2.647E-03,6.456611570247935E+01,0
2017-09-21T23:59:59+08:00,2.079E-03,5.3602556653108664E+01,0
2017-09-22T23:59:59+08:00,1.951E-03,1.7107160019221524E+01,-1
2017-09-23T23:59:59+08:00,2.346E-03,3.1045886730053752E+01,0
2017-09-24T23:59:59+08:00,2.246E-03,4.8545572074983845E+01,0
2017-09-25T23:59:59+08:00,1.777E-03,2.379518072289156E+01,-1
2017-09-26T23:59:59+08:00,1.738E-03,3.492484526967286E+01,0
2017-09-27T23:59:59+08:00,2.561E-03,6.670317634173055E+01,0
2017-09-28T23:59:59+08:00,2.906E-03,6.576576576576576E+01,0
2017-09-29T23:59:59+08:00,1.983E-03,4.494036167756829E+01,0
2017-09-30T23:59:59+08:00,2.261E-03,6.0049833887043185E+01,0
2017-10-01T23:59:59+08:00,1.848E-03,5.1976994967649176E+01,0
2017-10-02T23:59:59+08:00,2.803E-03,5.415236787920384E+01,0
2017-10-03T23:59:59+08:00,2.447E-03,4.2153846153846146E+01,0
2017-10-04T23:59:59+08:00,3.25E-03,7.258467023172905E+01,0
2017-10-05T23:59:59+08:00,3.32E-03,7.038891028109357E+01,0
2017-10-06T23:59:59+08:00,2.996E-03,7.288676236044657E+01,0
2017-10-07T23:59:59+08:00,2.459E-03,4.177033492822966E+01,0
2017-10-08T23:59:59+08:00,2.53E-03,5.229916897506926E+01,0
2017-10-09T23:59:59+08:00,2.181E-03,1.0436713545521869E+01,-1
2017-10-10T23:59:59+08:00,2.225E-03,8.679245283018872E+00,-1
2017-10-11T23:59:59+08:00,2.47E-03,2.8892455858747994E+01,0
2017-10-12T23:59:59+08:00,2.345E-03,4.316546762589928E+01,0
2017-10-13T23:59:59+08:00,2.113E-03,2.9045226130653248E+01,0
2017-10-14T23:59:59+08:00,2.394E-03,6.148867313915856E+01,0
2017-10-15T23:59:59+08:00,2.286E-03,5.307769929364278E+01,0
2017-10-16T23:59:59+08:00,2.156E-03,3.207762557077625E+01,0
2017-10-17T23:59:59+08:00,1.944E-03,2.9179646936656283E+01,0
2017-10-18T23:59:59+08:00,2.095E-03,4.8979591836734706E+01,0
2017-10-19T23:59:59+08:00,1.915E-03,1.9334186939820754E+01,-1
2017-10-20T23:59:59+08:00,1.942E-03,2.542857142857143E+01,-1
2017-10-21T23:59:59+08:00,2.298E-03,5.766738660907128E+01,0
2017-10-22T23:59:59+08:00,2.583E-03,8.198198198198197E+01,1
2017-10-23T23:59:59+08:00,2.428E-03,6.660019940179461E+01,0
2017-10-24T23:59:59+08:00,2.632E-03,8.490749756572542E+01,1
2017-10-25T23:59:59+08:00,3.033E-03,8.89364739471806E+01,1
2017-10-26T23:59:59+08:00,2.841E-03,7.194826192400971E+01,0
2017-10-27T23:59:59+08:00,3.051E-03,7.013769363166955E+01,0
2017-10-28T23:59:59+08:00,2.999E-03,7.695939565627951E+01,1
2017-10-29T23:59:59+08:00,2.956E-03,6.80400890868597E+01,0
2017-10-30T23:59:59+08:00,2.784E-03,3.1390134529147957E+01,0
2017-10-31T23:59:59+08:00,2.814E-03,4.733727810650886E+01,0
2017-11-01T23:59:59+08:00,2.51E-03,4.991680532445926E+00,-1
2017-11-02T23:59:59+08:00,2.312E-03,4.0160642570281055E+00,-1
2017-11-03T23:59:59+08:00,2.227E-03,3.8022813688212977E+00,-1
2017-11-04T23:59:59+08:00,2.128E-03,4.189944134078232E+00,-1
2017-11-05T23:59:59+08:00,2.219E-03,1.1711711711711715E+01,-1
2017-11-06T23:59:59+08:00,2.125E-03,1.604938271604938E+01,-1
2017-11-07T23:59:59+08:00,2.184E-03,3.504672897196265E+01,0
2017-11-08T23:59:59+08:00,2.338E-03,6.116700201207245E+01,0
2017-11-09T23:59:59+08:00,2.344E-03,7.673267326732675E+01,1
2017-11-10T23:59:59+08:00,2.013E-03,3.400621118012421E+01,0
2017-11-11T23:59:59+08:00,2.003E-03,3.9107142857142854E+01,0
2017-11-12T23:59:59+08:00,1.783E-03,2.2191400832177536E+01,-1
2017-11-13T23:59:59+08:00,2.112E-03,3.738839285714288E+01,0
2017-11-14T23:59:59+08:00,2.485E-03,5.558194774346792E+01,0
2017-11-15T23:59:59+08:00,2.322E-03,6.410958904109589E+01,0
2017-11-16T23:59:59+08:00,2.209E-03,5.859766277128548E+01,0
2017-11-17T23:59:59+08:00,1.984E-03,5.835411471321696E+01,0
2017-11-18T23:59:59+08:00,2.028E-03,4.542483660130717E+01,0
2017-11-19T23:59:59+08:00,2.002E-03,7.705779334500832E+00,-1
2017-11-20T23:59:59+08:00,2.134E-03,3.2592592592592595E+01,0
2017-11-21T23:59:59+08:00,2.143E-03,4.243119266055044E+01,0
2017-11-22T23:59:59+08:00,2.302E-03,9.297297297297297E+01,1
2017-11-23T23:59:59+08:00,2.105E-03,5.736137667304018E+01,0
2017-11-24T23:59:59+08:00,2.025E-03,5.199306759098788E+01,0
2017-11-25T23:59:59+08:00,2.048E-03,4.08119658119658E+01,0
2017-11-26T23:59:59+08:00,2.138E-03,4.954462659380694E+01,0
2017-11-27T23:59:59+08:00,2.062E-03,2.4248927038626647E+01,-1
2017-11-28T23:59:59+08:00,2.308E-03,6.970873786407765E+01,0
2017-11-29T23:59:59+08:00,2.068E-03,5.318518518518519E+01,0
2017-11-30T23:59:59+08:00,2.244E-03,6.183574879227053E+01,0
2017-12-01T23:59:59+08:00,2.118E-03,4.884259259259259E+01,0
2017-12-02T23:59:59+08:00,2.073E-03,5.066026410564226E+01,0
2017-12-03T23:59:59+08:00,2.116E-03,3.476190476190473E+01,0
2017-12-04T23:59:59+08:00,2.144E-03,5.9090909090909115E+01,0
2017-12-05T23:59:59+08:00,2.085E-03,2.3588039867109615E+01,-1
2017-12-06T23:59:59+08:00,3.055E-03,9.09170305676856E+01,1
2017-12-07T23:59:59+08:00,4.275E-03,9.745689655172414E+01,1
2017-12-08T23:59:59+08:00,4.394E-03,9.753756260434056E+01,1
2017-12-09T23:59:59+08:00,4.473E-03,9.758888434818145E+01,1
2017-12-10T23:59:59+08:00,4.408E-03,9.735018344883812E+01,1
2017-12-11T23:59:59+08:00,5.282E-03,9.724225710649127E+01,1
2017-12-12T23:59:59+08:00,7.613E-03,9.81257208765859E+01,1
2017-12-13T23:59:59+08:00,1.646E-02,9.946703837323712E+01,1
2017-12-14T23:59:59+08:00,1.769E-02,9.951299917584475E+01,1
2017-12-15T23:59:59+08:00,1.8434E-02,1E+02,1
2017-12-16T23:59:59+08:00,3.6271E-02,1E+02,1
2017-12-17T23:59:59+08:00,3.619E-02,9.97181530324646E+01,1
2017-12-18T23:59:59+08:00,4.4589E-02,9.971368986603514E+01,1
2017-12-19T23:59:59+08:00,4.6848E-02,9.97237380627558E+01,1
2017-12-20T23:59:59+08:00,4.8883E-02,9.97353892391624E+01,1
2017-12-21T23:59:59+08:00,4.5969E-02,8.090897501274861E+01,1
2017-12-22T23:59:59+08:00,3.9074E-02,5.640831926051017E+01,0
2017-12-23T23:59:59+08:00,5.1791E-02,6.342654735272185E+01,0
