Time,Close,Result,Signal
2018-03-06T23:59:59+08:00,1.01E+00,0E+00,0
2018-03-07T23:59:59+08:00,1E+00,0E+00,0
2018-03-08T23:59:59+08:00,1.02E+00,0E+00,0
2018-03-09T23:59:59+08:00,9.95281E-01,0E+00,0
2018-03-10T23:59:59+08:00,1E+00,0E+00,0
2018-03-11T23:59:59+08:00,1E+00,4.1587873077829E+01,0
2018-03-12T23:59:59+08:00,9.9219E-01,4.317880100614871E+01,0
2018-03-13T23:59:59+08:00,1E+00,2.780638288428247E+01,0
2018-03-14T23:59:59+08:00,9.96195E-01,5.1892809807819916E+01,0
2018-03-15T23:59:59+08:00,9.91831E-01,3.2830299718357224E+01,0
2018-03-16T23:59:59+08:00,9.88581E-01,2.8884204297496225E+01,0
2018-03-17T23:59:59+08:00,1E+00,6.27414513181937E+01,0
2018-03-18T23:59:59+08:00,9.90219E-01,3.500720439007932E+01,0
2018-03-19T23:59:59+08:00,1E+00,5.4929394999352176E+01,0
2018-03-20T23:59:59+08:00,1E+00,6.193216674943761E+01,0
2018-03-21T23:59:59+08:00,9.9893E-01,6.614458207232212E+01,0
2018-03-22T23:59:59+08:00,1.01E+00,6.577187559144528E+01,0
2018-03-23T23:59:59+08:00,9.9355E-01,5.434051757837962E+01,0
2018-03-24T23:59:59+08:00,9.989E-01,4.837949322333532E+01,0
2018-03-25T23:59:59+08:00,9.95833E-01,4.436998405707024E+01,0
2018-03-26T23:59:59+08:00,1E+00,5.133403151805308E+01,0
2018-03-27T23:59:59+08:00,9.99424E-01,3.214116852414722E+01,0
2018-03-28T23:59:59+08:00,1E+00,7.34784507862548E+01,1
2018-03-29T23:59:59+08:00,1.01E+00,8.018601109539847E+01,1
2018-03-30T23:59:59+08:00,9.944E-01,4.7682654678353096E+01,0
2018-03-31T23:59:59+08:00,1E+00,5E+01,0
2018-04-01T23:59:59+08:00,1.01E+00,6.265798544618919E+01,0
2018-04-02T23:59:59+08:00,9.97387E-01,4.757214799397918E+01,0
2018-04-03T23:59:59+08:00,1E+00,3.923017274802913E+01,0
2018-04-04T23:59:59+08:00,1E+00,5.908324141958095E+01,0
2018-04-05T23:59:59+08:00,1.01E+00,6.419406120479194E+01,0
2018-04-06T23:59:59+08:00,1.01E+00,5E+01,0
2018-04-07T23:59:59+08:00,1.01E+00,1E+02,1
2018-04-08T23:59:59+08:00,1.01E+00,1E+02,1
2018-04-09T23:59:59+08:00,1.01E+00,1E+02,1
2018-04-10T23:59:59+08:00,9.99562E-01,0E+00,-1
2018-04-11T23:59:59+08:00,1.01E+00,5E+01,0
2018-04-12T23:59:59+08:00,1.01E+00,5E+01,0
2018-04-13T23:59:59+08:00,1.01E+00,5E+01,0
2018-04-14T23:59:59+08:00,1.01E+00,5E+01,0
2018-04-15T23:59:59+08:00,1E+00,5.1071533418142785E+01,0
2018-04-16T23:59:59+08:00,9.98114E-01,0E+00,-1
2018-04-17T23:59:59+08:00,9.9488E-01,0E+00,-1
2018-04-18T23:59:59+08:00,1E+00,2.529644268774706E+01,-1
2018-04-19T23:59:59+08:00,9.9871E-01,2.378077101718533E+01,-1
2018-04-20T23:59:59+08:00,9.91088E-01,2.673350041771093E+01,-1
2018-04-21T23:59:59+08:00,1.01E+00,6.642711039858484E+01,0
2018-04-22T23:59:59+08:00,9.98857E-01,5.451039989112437E+01,0
2018-04-23T23:59:59+08:00,9.96925E-01,4.624073938238094E+01,0
2018-04-24T23:59:59+08:00,1E+00,5.151110486364916E+01,0
2018-04-25T23:59:59+08:00,9.9615E-01,5.650442023026315E+01,0
2018-04-26T23:59:59+08:00,1.01E+00,5E+01,0
2018-04-27T23:59:59+08:00,9.97251E-01,4.773522111913359E+01,0
2018-04-28T23:59:59+08:00,1.01E+00,6.412810926458197E+01,0
2018-04-29T23:59:59+08:00,9.94838E-01,4.557745030843044E+01,0
2018-04-30T23:59:59+08:00,9.99102E-01,5.251131452683165E+01,0
2018-05-01T23:59:59+08:00,9.9772E-01,3.674037921651629E+01,0
2018-05-02T23:59:59+08:00,9.95539E-01,4.7604790419161624E+01,0
2018-05-03T23:59:59+08:00,9.99906E-01,3.1550665301944747E+01,0
2018-05-04T23:59:59+08:00,9.94183E-01,4.817212703019491E+01,0
2018-05-05T23:59:59+08:00,9.974E-01,4.495554238292798E+01,0
2018-05-06T23:59:59+08:00,9.97977E-01,5.079987550575771E+01,0
2018-05-07T23:59:59+08:00,1E+00,6.402212862261922E+01,0
2018-05-08T23:59:59+08:00,1E+00,5.0407279029462906E+01,0
2018-05-09T23:59:59+08:00,9.98063E-01,7.501934485426897E+01,1
2018-05-10T23:59:59+08:00,9.99081E-01,6.513051305130557E+01,0
2018-05-11T23:59:59+08:00,9.99016E-01,6.0301407892128005E+01,0
2018-05-12T23:59:59+08:00,9.96941E-01,1.998037291462161E+01,-1
2018-05-13T23:59:59+08:00,9.96396E-01,1.804964539007034E+01,-1
2018-05-14T23:59:59+08:00,1E+00,6.325441357602264E+01,0
2018-05-15T23:59:59+08:00,1E+00,5.730640801399259E+01,0
2018-05-16T23:59:59+08:00,1.01E+00,8.385108481262299E+01,1
2018-05-17T23:59:59+08:00,1.01E+00,9.614813767757428E+01,1
2018-05-18T23:59:59+08:00,1.01E+00,1E+02,1
2018-05-19T23:59:59+08:00,1.01E+00,1E+02,1
