Time,Close,Result,Signal
2018-08-03T23:59:59+08:00,1.5307E-02,0E+00,0
2018-08-04T23:59:59+08:00,1.3333E-02,0E+00,0
2018-08-05T23:59:59+08:00,1.4081E-02,0E+00,0
2018-08-06T23:59:59+08:00,1.3424E-02,0E+00,0
2018-08-07T23:59:59+08:00,1.2899E-02,0E+00,0
2018-08-08T23:59:59+08:00,1.0776E-02,1.2410817985730887E+01,-1
2018-08-09T23:59:59+08:00,1.1683E-02,3.3366935483870975E+01,0
2018-08-10T23:59:59+08:00,9.747E-03,1.4752765126870528E+01,-1
2018-08-11T23:59:59+08:00,9.192E-03,1.5001653986106518E+01,-1
2018-08-12T23:59:59+08:00,9.08E-03,1.6101544470086978E+01,-1
2018-08-13T23:59:59+08:00,7.168E-03,1.6728144596090004E+01,-1
2018-08-14T23:59:59+08:00,7.736E-03,1.1174503246114497E+01,-1
2018-08-15T23:59:59+08:00,7.891E-03,2.1895820714718354E+01,-1
2018-08-16T23:59:59+08:00,1.1221E-02,6.669409247984203E+01,0
2018-08-17T23:59:59+08:00,1.5031E-02,8.043989769820972E+01,1
2018-08-18T23:59:59+08:00,1.2732E-02,7.737650068884079E+01,1
2018-08-19T23:59:59+08:00,1.4374E-02,7.953898184407262E+01,1
2018-08-20T23:59:59+08:00,1.3057E-02,7.083400548475561E+01,0
2018-08-21T23:59:59+08:00,1.5389E-02,6.828070175438597E+01,0
2018-08-22T23:59:59+08:00,1.3787E-02,4.323324630113143E+01,0
2018-08-23T23:59:59+08:00,1.4674E-02,6.248071979434447E+01,0
2018-08-24T23:59:59+08:00,1.4535E-02,5.128245977377728E+01,0
2018-08-25T23:59:59+08:00,1.5413E-02,7.017814319972594E+01,0
2018-08-26T23:59:59+08:00,1.5233E-02,4.7883884970157354E+01,0
2018-08-27T23:59:59+08:00,1.7823E-02,9.31750106974754E+01,1
2018-08-28T23:59:59+08:00,1.7979E-02,9.190971341618058E+01,1
2018-08-29T23:59:59+08:00,1.6924E-02,7.4583247581807E+01,1
2018-08-30T23:59:59+08:00,1.7341E-02,7.191905411550708E+01,0
2018-08-31T23:59:59+08:00,1.7143E-02,7.162590579710147E+01,0
2018-09-01T23:59:59+08:00,1.8176E-02,5.61734872332984E+01,0
2018-09-02T23:59:59+08:00,1.7815E-02,4.732375979112276E+01,0
2018-09-03T23:59:59+08:00,1.8753E-02,8.103155751611806E+01,1
2018-09-04T23:59:59+08:00,1.9471E-02,8.278940886699506E+01,1
2018-09-05T23:59:59+08:00,1.6192E-02,4.248696476536579E+01,0
2018-09-06T23:59:59+08:00,1.6142E-02,3.0976430976430947E+01,0
2018-09-07T23:59:59+08:00,1.5675E-02,3.0374174614820234E+01,0
2018-09-08T23:59:59+08:00,1.4644E-02,1.2948602344454471E+01,-1
2018-09-09T23:59:59+08:00,1.449E-02,0E+00,-1
2018-09-10T23:59:59+08:00,1.4124E-02,0E+00,-1
2018-09-11T23:59:59+08:00,1.3121E-02,0E+00,-1
2018-09-12T23:59:59+08:00,1.3835E-02,2.1848225214198266E+01,-1
2018-09-13T23:59:59+08:00,1.406E-02,3.8139723801787135E+01,0
2018-09-14T23:59:59+08:00,1.3978E-02,3.928870292887031E+01,0
2018-09-15T23:59:59+08:00,1.4275E-02,5.3252908229211556E+01,0
2018-09-16T23:59:59+08:00,1.417E-02,8.685874912157425E+01,1
2018-09-17T23:59:59+08:00,1.2725E-02,2.4233983286908042E+01,-1
2018-09-18T23:59:59+08:00,1.2956E-02,2.444444444444443E+01,-1
2018-09-19T23:59:59+08:00,1.3005E-02,2.7127409496943983E+01,0
2018-09-20T23:59:59+08:00,1.363E-02,3.686354378818738E+01,0
2018-09-21T23:59:59+08:00,1.4389E-02,5.352203280797685E+01,0
2018-09-22T23:59:59+08:00,1.3666E-02,6.971093422706322E+01,0
2018-09-23T23:59:59+08:00,1.3945E-02,7.030800821355234E+01,0
2018-09-24T23:59:59+08:00,1.3123E-02,5.1839152119700756E+01,0
2018-09-25T23:59:59+08:00,1.2803E-02,3.5756114364450596E+01,0
2018-09-26T23:59:59+08:00,1.2554E-02,1.1659005432511535E+01,-1
2018-09-27T23:59:59+08:00,1.3078E-02,3.659981768459437E+01,0
2018-09-28T23:59:59+08:00,1.3047E-02,2.692702980472764E+01,-1
2018-09-29T23:59:59+08:00,1.3052E-02,4.685562444641276E+01,0
2018-09-30T23:59:59+08:00,1.2891E-02,5.453608247422678E+01,0
2018-10-01T23:59:59+08:00,1.2804E-02,6.547029702970299E+01,0
2018-10-02T23:59:59+08:00,1.2994E-02,4.113924050632923E+01,0
2018-10-03T23:59:59+08:00,1.2764E-02,2.8974739970282357E+01,0
2018-10-04T23:59:59+08:00,1.2826E-02,3.4520547945205635E+01,0
2018-10-05T23:59:59+08:00,1.311E-02,6.283704572098474E+01,0
2018-10-06T23:59:59+08:00,1.2996E-02,6.090909090909095E+01,0
2018-10-07T23:59:59+08:00,1.3076E-02,5.532467532467534E+01,0
2018-10-08T23:59:59+08:00,1.3666E-02,8.99115044247788E+01,1
2018-10-09T23:59:59+08:00,1.3595E-02,8.375768217734857E+01,1
2018-10-10T23:59:59+08:00,1.3281E-02,5.7313943541488435E+01,0
2018-10-11T23:59:59+08:00,1.1229E-02,2.156420984872865E+01,-1
2018-10-12T23:59:59+08:00,1.1562E-02,2.7470238095238074E+01,0
2018-10-13T23:59:59+08:00,1.1481E-02,1.1680112241318838E+01,-1
2018-10-14T23:59:59+08:00,1.136E-02,1.1478800413650475E+01,-1
2018-10-15T23:59:59+08:00,1.1783E-02,2.5116279069767444E+01,-1
2018-10-16T23:59:59+08:00,1.1847E-02,8.023483365949126E+01,1
2018-10-17T23:59:59+08:00,1.1744E-02,6.148989898989899E+01,0
2018-10-18T23:59:59+08:00,1.1396E-02,4.598677998111425E+01,0
2018-10-19T23:59:59+08:00,1.1454E-02,5.471887550200805E+01,0
