Time,Close,Result,Signal
2015-04-01T23:59:59+08:00,2.42E-04,0E+00,0
2015-04-02T23:59:59+08:00,3.14E-04,0E+00,0
2015-04-03T23:59:59+08:00,3.1E-04,0E+00,0
2015-04-04T23:59:59+08:00,2.77E-04,0E+00,0
2015-04-05T23:59:59+08:00,2.32E-04,0E+00,0
2015-04-06T23:59:59+08:00,2.89E-04,6.1137440758293835E+01,0
2015-04-07T23:59:59+08:00,2.41E-04,3.0481283422459896E+01,0
2015-04-08T23:59:59+08:00,2.28E-04,2.9081632653061234E+01,0
2015-04-09T23:59:59+08:00,2.24E-04,3.41317365269461E+01,0
2015-04-10T23:59:59+08:00,1.75E-04,3.333333333333333E+01,0
2015-04-11T23:59:59+08:00,1.63E-04,0E+00,-1
2015-04-12T23:59:59+08:00,1.46E-04,0E+00,-1
2015-04-13T23:59:59+08:00,1.39E-04,0E+00,-1
2015-04-14T23:59:59+08:00,1.53E-04,1.4141414141414145E+01,-1
2015-04-15T23:59:59+08:00,1.55E-04,3.0769230769230774E+01,0
2015-04-16T23:59:59+08:00,1.63E-04,5E+01,0
2015-04-17T23:59:59+08:00,1.67E-04,7.999999999999999E+01,1
2015-04-18T23:59:59+08:00,1.41E-04,5.1851851851851876E+01,0
2015-04-19T23:59:59+08:00,1.47E-04,4.3478260869565204E+01,0
2015-04-20T23:59:59+08:00,1.33E-04,3.1034482758620683E+01,0
2015-04-21T23:59:59+08:00,1.37E-04,2.592592592592588E+01,-1
2015-04-22T23:59:59+08:00,1.38E-04,2.1568627450980358E+01,-1
2015-04-23T23:59:59+08:00,1.37E-04,4.2307692307692264E+01,0
2015-04-24T23:59:59+08:00,1.5E-04,5.454545454545453E+01,0
2015-04-25T23:59:59+08:00,1.4E-04,6.206896551724136E+01,0
2015-04-26T23:59:59+08:00,1.34E-04,4.5161290322580655E+01,0
2015-04-27T23:59:59+08:00,1.63E-04,7.118644067796612E+01,0
2015-04-28T23:59:59+08:00,1.49E-04,5.833333333333332E+01,0
2015-04-29T23:59:59+08:00,1.47E-04,4.754098360655739E+01,0
2015-04-30T23:59:59+08:00,1.57E-04,6.3934426229508205E+01,0
2015-05-01T23:59:59+08:00,1.56E-04,6.964285714285714E+01,0
2015-05-02T23:59:59+08:00,1.55E-04,3.571428571428571E+01,0
2015-05-03T23:59:59+08:00,1.49E-04,5E+01,0
2015-05-04T23:59:59+08:00,1.51E-04,6.000000000000003E+01,0
2015-05-05T23:59:59+08:00,1.41E-04,1.00000000000001E+01,-1
2015-05-06T23:59:59+08:00,1.43E-04,1.9047619047619108E+01,-1
2015-05-07T23:59:59+08:00,1.56E-04,5.1515151515151516E+01,0
2015-05-08T23:59:59+08:00,1.55E-04,6.071428571428574E+01,0
2015-05-09T23:59:59+08:00,1.5E-04,4.8387096774193516E+01,0
2015-05-10T23:59:59+08:00,1.51E-04,7.27272727272727E+01,0
2015-05-11T23:59:59+08:00,1.55E-04,7.499999999999997E+01,1
2015-05-12T23:59:59+08:00,1.65E-04,7.142857142857142E+01,0
2015-05-13T23:59:59+08:00,1.59E-04,5.769230769230766E+01,0
2015-05-14T23:59:59+08:00,1.6E-04,7.272727272727275E+01,0
2015-05-15T23:59:59+08:00,1.64E-04,7.599999999999997E+01,1
2015-05-16T23:59:59+08:00,1.56E-04,5.172413793103448E+01,0
2015-05-17T23:59:59+08:00,1.6E-04,3.913043478260875E+01,0
2015-05-18T23:59:59+08:00,1.69E-04,6.923076923076923E+01,0
2015-05-19T23:59:59+08:00,1.71E-04,7.037037037037035E+01,0
2015-05-20T23:59:59+08:00,1.72E-04,6.666666666666666E+01,0
2015-05-21T23:59:59+08:00,1.72E-04,1E+02,1
2015-05-22T23:59:59+08:00,1.77E-04,1E+02,1
2015-05-23T23:59:59+08:00,1.77E-04,1E+02,1
2015-05-24T23:59:59+08:00,1.82E-04,1E+02,1
2015-05-25T23:59:59+08:00,1.78E-04,7.142857142857135E+01,0
2015-05-26T23:59:59+08:00,1.83E-04,7.894736842105257E+01,1
2015-05-27T23:59:59+08:00,1.97E-04,8.571428571428568E+01,1
2015-05-28T23:59:59+08:00,1.96E-04,8.275862068965515E+01,1
2015-05-29T23:59:59+08:00,1.83E-04,5.135135135135135E+01,0
2015-05-30T23:59:59+08:00,1.85E-04,6.0000000000000014E+01,0
2015-05-31T23:59:59+08:00,1.77E-04,4.210526315789472E+01,0
2015-06-01T23:59:59+08:00,1.7E-04,6.451612903225794E+00,-1
2015-06-02T23:59:59+08:00,1.78E-04,2.6315789473684163E+01,-1
2015-06-03T23:59:59+08:00,1.77E-04,3.846153846153842E+01,0
2015-06-04T23:59:59+08:00,1.72E-04,2.75862068965517E+01,0
2015-06-05T23:59:59+08:00,1.79E-04,5.357142857142857E+01,0
2015-06-06T23:59:59+08:00,1.7E-04,5E+01,0
2015-06-07T23:59:59+08:00,1.68E-04,2.9166666666666643E+01,0
2015-06-08T23:59:59+08:00,1.71E-04,3.846153846153849E+01,0
2015-06-09T23:59:59+08:00,1.48E-04,2.272727272727272E+01,-1
2015-06-10T23:59:59+08:00,1.53E-04,1.9047619047619108E+01,-1
2015-06-11T23:59:59+08:00,1.48E-04,2.1052631578947413E+01,-1
2015-06-12T23:59:59+08:00,1.48E-04,2.222222222222227E+01,-1
2015-06-13T23:59:59+08:00,1.55E-04,3.0000000000000014E+01,0
2015-06-14T23:59:59+08:00,1.55E-04,7.058823529411762E+01,0
2015-06-15T23:59:59+08:00,1.47E-04,3.5E+01,0
2015-06-16T23:59:59+08:00,1.6E-04,7.142857142857144E+01,0
2015-06-17T23:59:59+08:00,1.6E-04,7.142857142857144E+01,0
2015-06-18T23:59:59+08:00,1.72E-04,7.575757575757575E+01,1
2015-06-19T23:59:59+08:00,1.55E-04,5E+01,0
2015-06-20T23:59:59+08:00,1.58E-04,6.2222222222222214E+01,0
2015-06-21T23:59:59+08:00,1.61E-04,5.142857142857142E+01,0
2015-06-22T23:59:59+08:00,1.56E-04,4.4999999999999986E+01,0
2015-06-23T23:59:59+08:00,1.58E-04,2.6666666666666657E+01,-1
2015-06-24T23:59:59+08:00,1.56E-04,5.333333333333332E+01,0
2015-06-25T23:59:59+08:00,1.54E-04,3.5714285714285765E+01,0
2015-06-26T23:59:59+08:00,1.48E-04,1.17647058823529E+01,-1
2015-06-27T23:59:59+08:00,1.57E-04,5.238095238095237E+01,0
2015-06-28T23:59:59+08:00,1.52E-04,3.750000000000002E+01,0
2015-06-29T23:59:59+08:00,1.5E-04,3.7499999999999986E+01,0
2015-06-30T23:59:59+08:00,1.61E-04,6.06060606060606E+01,0
2015-07-01T23:59:59+08:00,1.42E-04,4.347826086956525E+01,0
2015-07-02T23:59:59+08:00,1.43E-04,3.1578947368421083E+01,0
2015-07-03T23:59:59+08:00,1.43E-04,3.6363636363636374E+01,0
2015-07-04T23:59:59+08:00,1.41E-04,3.636363636363641E+01,0
2015-07-05T23:59:59+08:00,1.29E-04,2.941176470588232E+00,-1
2015-07-06T23:59:59+08:00,1.26E-04,5.555555555555543E+00,-1
2015-07-07T23:59:59+08:00,1.42E-04,4.848484848484849E+01,0
2015-07-08T23:59:59+08:00,1.61E-04,6.73076923076923E+01,0
2015-07-09T23:59:59+08:00,1.44E-04,5.223880597014925E+01,0
2015-07-10T23:59:59+08:00,1.49E-04,6.666666666666666E+01,0
2015-07-11T23:59:59+08:00,1.61E-04,7.53623188405797E+01,1
2015-07-12T23:59:59+08:00,1.57E-04,6.315789473684208E+01,0
2015-07-13T23:59:59+08:00,1.57E-04,4.4736842105263136E+01,0
2015-07-14T23:59:59+08:00,1.58E-04,8.181818181818176E+01,1
2015-07-15T23:59:59+08:00,1.48E-04,4.814814814814815E+01,0
2015-07-16T23:59:59+08:00,1.42E-04,4.761904761904745E+00,-1
2015-07-17T23:59:59+08:00,1.49E-04,3.33333333333333E+01,0
2015-07-18T23:59:59+08:00,1.46E-04,2.962962962962959E+01,0
2015-07-19T23:59:59+08:00,1.48E-04,3.214285714285711E+01,0
2015-07-20T23:59:59+08:00,1.49E-04,5.2631578947368425E+01,0
2015-07-21T23:59:59+08:00,1.49E-04,7.692307692307693E+01,1
2015-07-22T23:59:59+08:00,1.42E-04,2.307692307692308E+01,-1
2015-07-23T23:59:59+08:00,1.46E-04,5E+01,0
2015-07-24T23:59:59+08:00,1.77E-04,8.372093023255817E+01,1
2015-07-25T23:59:59+08:00,1.84E-04,8.571428571428575E+01,1
2015-07-26T23:59:59+08:00,1.73E-04,7.000000000000003E+01,0
2015-07-27T23:59:59+08:00,1.63E-04,6.666666666666666E+01,0
