Time,Close,Result,Signal
2014-08-05T23:59:59+08:00,2.44E-03,0E+00,0
2014-08-06T23:59:59+08:00,2.657E-03,0E+00,0
2014-08-07T23:59:59+08:00,2.501E-03,0E+00,0
2014-08-08T23:59:59+08:00,2.881E-03,0E+00,0
2014-08-09T23:59:59+08:00,3.481E-03,0E+00,0
2014-08-10T23:59:59+08:00,4.303E-03,9.282758620689656E+01,1
2014-08-11T23:59:59+08:00,3.591E-03,6.749063670411985E+01,0
2014-08-12T23:59:59+08:00,2.659E-03,5.229251305861868E+01,0
2014-08-13T23:59:59+08:00,2.773E-03,4.8301886792452834E+01,0
2014-08-14T23:59:59+08:00,2.54E-03,3.327408460718095E+01,0
2014-08-15T23:59:59+08:00,2.403E-03,5.357142857142861E+00,-1
2014-08-16T23:59:59+08:00,2.525E-03,1.5344603381014295E+01,-1
2014-08-17T23:59:59+08:00,2.337E-03,2.972292191435767E+01,0
2014-08-18T23:59:59+08:00,2.025E-03,1.2298387096774178E+01,-1
2014-08-19T23:59:59+08:00,2.224E-03,3.350730688935279E+01,0
2014-08-20T23:59:59+08:00,2.496E-03,5.425434583714546E+01,0
2014-08-21T23:59:59+08:00,2.39E-03,4.373259052924793E+01,0
2014-08-22T23:59:59+08:00,2.355E-03,5.097402597402597E+01,0
2014-08-23T23:59:59+08:00,2.237E-03,6.452054794520546E+01,0
2014-08-24T23:59:59+08:00,2.232E-03,5.074626865671644E+01,0
2014-08-25T23:59:59+08:00,2.221E-03,0E+00,-1
2014-08-26T23:59:59+08:00,2.315E-03,3.574144486692009E+01,0
2014-08-27T23:59:59+08:00,2.273E-03,3.4814814814814795E+01,0
2014-08-28T23:59:59+08:00,2.18E-03,3.836734693877554E+01,0
2014-08-29T23:59:59+08:00,2.211E-03,4.612546125461251E+01,0
2014-08-30T23:59:59+08:00,2.195E-03,4.528985507246376E+01,0
2014-08-31T23:59:59+08:00,2.061E-03,9.810126582278443E+00,-1
2014-09-01T23:59:59+08:00,2.01E-03,9.53846153846149E+00,-1
2014-09-02T23:59:59+08:00,1.999E-03,1.2757201646090465E+01,-1
2014-09-03T23:59:59+08:00,2.059E-03,2.205882352941181E+01,-1
2014-09-04T23:59:59+08:00,2.13E-03,4.0061162079510716E+01,0
2014-09-05T23:59:59+08:00,2.082E-03,5.435684647302908E+01,0
2014-09-06T23:59:59+08:00,2.081E-03,6.858638743455492E+01,0
2014-09-07T23:59:59+08:00,2.044E-03,6.0368663594470014E+01,0
2014-09-08T23:59:59+08:00,2.257E-03,7.675675675675672E+01,1
2014-09-09T23:59:59+08:00,2.178E-03,5.6349206349206334E+01,0
2014-09-10T23:59:59+08:00,2.278E-03,7.279069767441857E+01,0
2014-09-11T23:59:59+08:00,2.501E-03,8.22085889570552E+01,1
2014-09-12T23:59:59+08:00,2.968E-03,9.269870609981515E+01,1
2014-09-13T23:59:59+08:00,3.094E-03,9.206030150753769E+01,1
2014-09-14T23:59:59+08:00,2.943E-03,8.584817244611058E+01,1
2014-09-15T23:59:59+08:00,2.896E-03,8.047337278106511E+01,1
2014-09-16T23:59:59+08:00,2.99E-03,7.76271186440678E+01,1
2014-09-17T23:59:59+08:00,3.072E-03,6.04E+01,0
2014-09-18T23:59:59+08:00,3.456E-03,7.387862796833774E+01,1
2014-09-19T23:59:59+08:00,3.872E-03,9.540566959921802E+01,1
2014-09-20T23:59:59+08:00,3.612E-03,7.89644012944984E+01,1
2014-09-21T23:59:59+08:00,3.464E-03,6.837209302325581E+01,0
2014-09-22T23:59:59+08:00,4.023E-03,7.691001697792869E+01,1
2014-09-23T23:59:59+08:00,3.965E-03,6.766134628730049E+01,0
2014-09-24T23:59:59+08:00,3.89E-03,5.081818181818182E+01,0
2014-09-25T23:59:59+08:00,3.494E-03,4.5226537216828476E+01,0
2014-09-26T23:59:59+08:00,3.05E-03,3.648825065274151E+01,0
2014-09-27T23:59:59+08:00,3.263E-03,1.795952782462055E+01,-1
2014-09-28T23:59:59+08:00,3.174E-03,1.7502054231717324E+01,-1
2014-09-29T23:59:59+08:00,3.212E-03,2.127118644067795E+01,-1
2014-09-30T23:59:59+08:00,3.211E-03,3.1974522292993598E+01,0
2014-10-01T23:59:59+08:00,2.88E-03,3.735119047619046E+01,0
2014-10-02T23:59:59+08:00,2.773E-03,6.713780918727906E+00,-1
2014-10-03T23:59:59+08:00,2.601E-03,5.855161787365148E+00,-1
2014-10-04T23:59:59+08:00,2.371E-03,0E+00,-1
2014-10-05T23:59:59+08:00,2.387E-03,1.8691588785046633E+00,-1
2014-10-06T23:59:59+08:00,2.574E-03,2.8511235955056165E+01,0
2014-10-07T23:59:59+08:00,2.447E-03,2.773224043715848E+01,0
2014-10-08T23:59:59+08:00,2.477E-03,3.949152542372882E+01,0
2014-10-09T23:59:59+08:00,2.358E-03,4.864300626304802E+01,0
2014-10-10T23:59:59+08:00,2.309E-03,4.2382812500000014E+01,0
2014-10-11T23:59:59+08:00,2.336E-03,1.6193181818181856E+01,-1
2014-10-12T23:59:59+08:00,2.243E-03,1.7924528301886838E+01,-1
2014-10-13T23:59:59+08:00,2.299E-03,2.4127906976744143E+01,-1
2014-10-14T23:59:59+08:00,2.352E-03,4.8920863309352534E+01,0
2014-10-15T23:59:59+08:00,2.174E-03,3.341523341523343E+01,0
2014-10-16T23:59:59+08:00,2.08E-03,2.299578059071726E+01,-1
2014-10-17T23:59:59+08:00,2.021E-03,2.4772727272727224E+01,-1
2014-10-18T23:59:59+08:00,2.059E-03,2.1563981042654092E+01,-1
2014-10-19T23:59:59+08:00,2.023E-03,9.382716049382765E+00,-1
2014-10-20T23:59:59+08:00,2.023E-03,1.674008810572694E+01,-1
2014-10-21T23:59:59+08:00,2.07E-03,4.7222222222222214E+01,0
2014-10-22T23:59:59+08:00,2.034E-03,5.414012738853503E+01,0
2014-10-23T23:59:59+08:00,1.914E-03,1.9665271966527115E+01,-1
2014-10-24T23:59:59+08:00,1.958E-03,3.68421052631579E+01,0
2014-10-25T23:59:59+08:00,1.892E-03,2.9073482428115E+01,0
2014-10-26T23:59:59+08:00,1.941E-03,2.952380952380956E+01,0
2014-10-27T23:59:59+08:00,1.956E-03,3.6734693877551024E+01,0
2014-10-28T23:59:59+08:00,1.655E-03,2.2736842105263165E+01,-1
2014-10-29T23:59:59+08:00,1.696E-03,2.2245762711864387E+01,-1
2014-10-30T23:59:59+08:00,1.735E-03,3.235955056179773E+01,0
2014-10-31T23:59:59+08:00,1.681E-03,2.1111111111111086E+01,-1
2014-11-01T23:59:59+08:00,1.548E-03,1.408450704225352E+01,-1
2014-11-02T23:59:59+08:00,1.584E-03,3.828382838283828E+01,0
2014-11-03T23:59:59+08:00,1.693E-03,4.959568733153639E+01,0
2014-11-04T23:59:59+08:00,1.703E-03,4.53216374269006E+01,0
2014-11-05T23:59:59+08:00,1.755E-03,6.088235294117647E+01,0
2014-11-06T23:59:59+08:00,1.764E-03,1E+02,1
2014-11-07T23:59:59+08:00,1.688E-03,7.031250000000003E+01,0
2014-11-08T23:59:59+08:00,1.734E-03,6.0621761658031105E+01,0
2014-11-09T23:59:59+08:00,1.757E-03,6.310679611650487E+01,0
2014-11-10T23:59:59+08:00,1.799E-03,6.122448979591837E+01,0
2014-11-11T23:59:59+08:00,1.753E-03,4.763948497854078E+01,0
2014-11-12T23:59:59+08:00,1.859E-03,8.250950570342204E+01,1
2014-11-13T23:59:59+08:00,1.793E-03,6.042402826855125E+01,0
2014-11-14T23:59:59+08:00,1.713E-03,4.352941176470585E+01,0
2014-11-15T23:59:59+08:00,1.624E-03,2.7390180878552968E+01,0
2014-11-16T23:59:59+08:00,1.637E-03,3.361581920903954E+01,0
2014-11-17T23:59:59+08:00,1.608E-03,4.693140794223837E+00,-1
2014-11-18T23:59:59+08:00,1.357E-03,2.8138528138528045E+00,-1
2014-11-19T23:59:59+08:00,1.548E-03,3.560209424083769E+01,0
2014-11-20T23:59:59+08:00,1.589E-03,4.666666666666666E+01,0
2014-11-21T23:59:59+08:00,1.563E-03,4.312267657992565E+01,0
2014-11-22T23:59:59+08:00,1.809E-03,6.3311258278145694E+01,0
2014-11-23T23:59:59+08:00,2.165E-03,9.697674418604652E+01,1
2014-11-24T23:59:59+08:00,1.957E-03,7.33181299885975E+01,1
2014-11-25T23:59:59+08:00,1.898E-03,6.726256983240224E+01,0
2014-11-26T23:59:59+08:00,2.13E-03,7.574931880108993E+01,1
2014-11-27T23:59:59+08:00,3.426E-03,8.758716875871689E+01,1
2014-11-28T23:59:59+08:00,2.861E-03,6.474576271186442E+01,0
2014-11-29T23:59:59+08:00,2.521E-03,6.1316211878009625E+01,0
2014-11-30T23:59:59+08:00,2.21E-03,5.568513119533528E+01,0
2014-12-01T23:59:59+08:00,2.541E-03,5.7228279985930364E+01,0
2014-12-02T23:59:59+08:00,2.409E-03,1.9714115544967242E+01,-1
2014-12-03T23:59:59+08:00,2.373E-03,2.8782608695652172E+01,0
2014-12-04T23:59:59+08:00,2.375E-03,4.100985221674877E+01,0
2014-12-05T23:59:59+08:00,2.356E-03,6.403846153846155E+01,0
2014-12-06T23:59:59+08:00,2.407E-03,2.2083333333333258E+01,-1
2014-12-07T23:59:59+08:00,2.329E-03,2.849462365591387E+01,0
2014-12-08T23:59:59+08:00,2.339E-03,3.9374999999999915E+01,0
2014-12-09T23:59:59+08:00,2.249E-03,2.459677419354837E+01,-1
2014-12-10T23:59:59+08:00,2.435E-03,5.951807228915665E+01,0
2014-12-11T23:59:59+08:00,2.585E-03,6.73151750972763E+01,0
2014-12-12T23:59:59+08:00,2.525E-03,6.975806451612904E+01,0
2014-12-13T23:59:59+08:00,2.553E-03,7.081712062256811E+01,0
2014-12-14T23:59:59+08:00,2.475E-03,7.250996015936255E+01,0
2014-12-15T23:59:59+08:00,2.574E-03,6.67469879518072E+01,0
2014-12-16T23:59:59+08:00,3.25E-03,8.53347502656748E+01,1
2014-12-17T23:59:59+08:00,4.104E-03,9.550432276657061E+01,1
2014-12-18T23:59:59+08:00,6.146E-03,9.791944518538277E+01,1
2014-12-19T23:59:59+08:00,6.13E-03,9.956604285326823E+01,1
2014-12-20T23:59:59+08:00,5.813E-03,9.147247119078104E+01,1
2014-12-21T23:59:59+08:00,5.871E-03,8.986918162458167E+01,1
2014-12-22T23:59:59+08:00,5.907E-03,8.651275820170108E+01,1
2014-12-23T23:59:59+08:00,5.82E-03,1.8287937743190668E+01,-1
2014-12-24T23:59:59+08:00,5.101E-03,7.723911257189826E+00,-1
2014-12-25T23:59:59+08:00,5.8E-03,4.959349593495935E+01,0
2014-12-26T23:59:59+08:00,6.213E-03,5.875127942681677E+01,0
2014-12-27T23:59:59+08:00,6.015E-03,5.255198487712667E+01,0
2014-12-28T23:59:59+08:00,5.8E-03,4.9554367201426025E+01,0
2014-12-29T23:59:59+08:00,5.62E-03,6.521994134897362E+01,0
2014-12-30T23:59:59+08:00,5.484E-03,3.616462346760073E+01,0
2014-12-31T23:59:59+08:00,5.516E-03,4.204993429697765E+00,-1
2015-01-01T23:59:59+08:00,5.493E-03,5.460750853242288E+00,-1
2015-01-02T23:59:59+08:00,5.481E-03,8.355091383811995E+00,-1
2015-01-03T23:59:59+08:00,4.672E-03,3.1620553359683754E+00,-1
2015-01-04T23:59:59+08:00,4.416E-03,2.8268551236749033E+00,-1
2015-01-05T23:59:59+08:00,4.947E-03,3.25567136725935E+01,0
2015-01-06T23:59:59+08:00,4.972E-03,3.404776484996938E+01,0
2015-01-07T23:59:59+08:00,5.284E-03,4.490429384376616E+01,0
2015-01-08T23:59:59+08:00,5.567E-03,8.180525941719971E+01,1
2015-01-09T23:59:59+08:00,5.622E-03,1E+02,1
2015-01-10T23:59:59+08:00,5.18E-03,6.042972247090419E+01,0
2015-01-11T23:59:59+08:00,5.062E-03,5.37190082644628E+01,0
2015-01-12T23:59:59+08:00,4.903E-03,3.19772942289499E+01,0
2015-01-13T23:59:59+08:00,4.053E-03,3.3866995073891815E+00,-1
2015-01-14T23:59:59+08:00,4.318E-03,1.4449291166848411E+01,-1
2015-01-15T23:59:59+08:00,5.013E-03,4.5999041686631536E+01,0
2015-01-16T23:59:59+08:00,4.458E-03,3.8034865293185426E+01,0
2015-01-17T23:59:59+08:00,4.617E-03,4.433438985736924E+01,0
2015-01-18T23:59:59+08:00,4.739E-03,6.909799554565701E+01,0
2015-01-19T23:59:59+08:00,4.829E-03,6.576187538556448E+01,0
2015-01-20T23:59:59+08:00,4.743E-03,3.6660079051383384E+01,0
2015-01-21T23:59:59+08:00,5.054E-03,8.880208333333331E+01,1
2015-01-22T23:59:59+08:00,4.914E-03,6.982643524699598E+01,0
2015-01-23T23:59:59+08:00,4.881E-03,6.075757575757573E+01,0
2015-01-24T23:59:59+08:00,5.038E-03,6.437414030261345E+01,0
2015-01-25T23:59:59+08:00,4.79E-03,5.2643419572553434E+01,0
2015-01-26T23:59:59+08:00,4.709E-03,2.3823975720789065E+01,-1
2015-01-27T23:59:59+08:00,4.816E-03,4.2172523961661355E+01,0
2015-01-28T23:59:59+08:00,4.895E-03,5.104166666666667E+01,0
2015-01-29T23:59:59+08:00,4.556E-03,2.177985948477756E+01,-1
2015-01-30T23:59:59+08:00,4.462E-03,2.6571428571428598E+01,-1
2015-01-31T23:59:59+08:00,4.334E-03,2.489959839357435E+01,-1
