Time,Close,Result,Signal
2016-10-29T23:59:59+08:00,2.04447E+03,0E+00,0
2016-10-30T23:59:59+08:00,5.7482E+02,0E+00,0
2016-10-31T23:59:59+08:00,1.62458E+03,0E+00,0
2016-11-01T23:59:59+08:00,1.33374E+03,0E+00,0
2016-11-02T23:59:59+08:00,9.4278E+02,0E+00,0
2016-11-03T23:59:59+08:00,8.8726E+02,3.223355942924344E+01,0
2016-11-04T23:59:59+08:00,6.0398E+02,5.070422535211267E+01,0
2016-11-05T23:59:59+08:00,5.0457E+02,0E+00,-1
2016-11-06T23:59:59+08:00,3.2179E+02,0E+00,-1
2016-11-07T23:59:59+08:00,2.3601E+02,0E+00,-1
2016-11-08T23:59:59+08:00,3.0864E+02,1.0033430955406985E+01,-1
2016-11-09T23:59:59+08:00,2.5558E+02,1.4712555199935181E+01,-1
2016-11-10T23:59:59+08:00,2.2617E+02,1.714346409856961E+01,-1
2016-11-11T23:59:59+08:00,1.8336E+02,2.560188938630195E+01,-1
2016-11-12T23:59:59+08:00,1.4411E+02,3.0624894585933546E+01,0
2016-11-13T23:59:59+08:00,1.1726E+02,0E+00,-1
2016-11-14T23:59:59+08:00,1.0507E+02,0E+00,-1
2016-11-15T23:59:59+08:00,1.0934E+02,3.405918481295373E+00,-1
2016-11-16T23:59:59+08:00,9.695E+01,4.497103738809912E+00,-1
2016-11-17T23:59:59+08:00,8.764E+01,6.5682202738040445E+00,-1
2016-11-18T23:59:59+08:00,7.064E+01,7.741116751269047E+00,-1
2016-11-19T23:59:59+08:00,6.57E+01,8.912544353997106E+00,-1
2016-11-20T23:59:59+08:00,6.027E+01,0E+00,-1
2016-11-21T23:59:59+08:00,5.402E+01,0E+00,-1
2016-11-22T23:59:59+08:00,5.79E+01,1.0346666666666664E+01,-1
2016-11-23T23:59:59+08:00,7.756E+01,5.861553784860558E+01,0
2016-11-24T23:59:59+08:00,9.719E+01,7.870556061987239E+01,1
2016-11-25T23:59:59+08:00,9.133E+01,7.809334298118668E+01,1
2016-11-26T23:59:59+08:00,7.73E+01,6.845861084681255E+01,0
2016-11-27T23:59:59+08:00,6.983E+01,5.894973743435859E+01,0
2016-11-28T23:59:59+08:00,7.096E+01,4.3142144638403984E+01,0
2016-11-29T23:59:59+08:00,6.872E+01,3.677188415229395E+00,-1
2016-11-30T23:59:59+08:00,6.869E+01,4.538152610441742E+00,-1
2016-12-01T23:59:59+08:00,6.303E+01,6.836055656382314E+00,-1
2016-12-02T23:59:59+08:00,6.032E+01,9.600679694137597E+00,-1
2016-12-03T23:59:59+08:00,5.953E+01,0E+00,-1
2016-12-04T23:59:59+08:00,5.839E+01,0E+00,-1
2016-12-05T23:59:59+08:00,5.093E+01,0E+00,-1
2016-12-06T23:59:59+08:00,4.874E+01,0E+00,-1
2016-12-07T23:59:59+08:00,5.461E+01,3.363896848137536E+01,0
2016-12-08T23:59:59+08:00,5.33E+01,3.266555370061212E+01,0
2016-12-09T23:59:59+08:00,5.037E+01,2.9706477732793516E+01,0
2016-12-10T23:59:59+08:00,4.978E+01,4.553917765709853E+01,0
2016-12-11T23:59:59+08:00,4.848E+01,4.891666666666665E+01,0
2016-12-12T23:59:59+08:00,4.992E+01,1.902245706737125E+01,-1
2016-12-13T23:59:59+08:00,4.678E+01,1.531914893617025E+01,-1
2016-12-14T23:59:59+08:00,4.433E+01,1.614349775784757E+01,-1
2016-12-15T23:59:59+08:00,4.031E+01,1.1659919028340113E+01,-1
2016-12-16T23:59:59+08:00,4.022E+01,1.2926391382405768E+01,-1
2016-12-17T23:59:59+08:00,3.584E+01,0E+00,-1
2016-12-18T23:59:59+08:00,3.644E+01,5.199306759098732E+00,-1
2016-12-19T23:59:59+08:00,3.447E+01,5.424954792043351E+00,-1
2016-12-20T23:59:59+08:00,3.602E+01,2.5029103608847493E+01,-1
2016-12-21T23:59:59+08:00,3.629E+01,2.7594070695552986E+01,0
2016-12-22T23:59:59+08:00,4.776E+01,8.757881462799496E+01,1
2016-12-23T23:59:59+08:00,5.205E+01,8.9923273657289E+01,1
2016-12-24T23:59:59+08:00,4.824E+01,8.218793828892007E+01,1
2016-12-25T23:59:59+08:00,4.585E+01,7.21097615834458E+01,0
2016-12-26T23:59:59+08:00,4.359E+01,6.507018992568126E+01,0
2016-12-27T23:59:59+08:00,4.438E+01,3.7518463810930584E+01,0
2016-12-28T23:59:59+08:00,4.849E+01,3.667664670658684E+01,0
2016-12-29T23:59:59+08:00,5.099E+01,6.141078838174274E+01,0
2016-12-30T23:59:59+08:00,5.038E+01,7.20545277507303E+01,0
2016-12-31T23:59:59+08:00,4.81E+01,7.191448007774538E+01,0
2017-01-01T23:59:59+08:00,4.847E+01,7.07193515704154E+01,0
