Time,Close,Result,Signal
2018-01-25T23:59:59+08:00,1.36039E-01,0E+00,0
2018-01-26T23:59:59+08:00,1.19375E-01,0E+00,0
2018-01-27T23:59:59+08:00,1.00976E-01,0E+00,0
2018-01-28T23:59:59+08:00,9.7296E-02,0E+00,0
2018-01-29T23:59:59+08:00,8.9272E-02,0E+00,0
2018-01-30T23:59:59+08:00,7.5442E-02,0E+00,-1
2018-01-31T23:59:59+08:00,7.9578E-02,8.604297988308474E+00,-1
2018-02-01T23:59:59+08:00,7.0627E-02,1.0709199658217031E+01,-1
2018-02-02T23:59:59+08:00,7.1312E-02,1.3532251726267347E+01,-1
2018-02-03T23:59:59+08:00,7.7856E-02,3.328354712118549E+01,0
2018-02-04T23:59:59+08:00,6.1722E-02,3.1179698216735247E+01,0
2018-02-05T23:59:59+08:00,5.0486E-02,1.659931113662458E+01,-1
2018-02-06T23:59:59+08:00,5.8781E-02,3.619154194059775E+01,0
2018-02-07T23:59:59+08:00,5.3838E-02,3.1470563284696297E+01,0
2018-02-08T23:59:59+08:00,5.9211E-02,2.972532132837476E+01,0
2018-02-09T23:59:59+08:00,6.0123E-02,4.740076075295036E+01,0
2018-02-10T23:59:59+08:00,5.0134E-02,4.940363242071021E+01,0
2018-02-11T23:59:59+08:00,5.0514E-02,3.0860767699217504E+01,0
2018-02-12T23:59:59+08:00,5.2035E-02,4.5039889958734534E+01,0
2018-02-13T23:59:59+08:00,5.0664E-02,1.9847597544627106E+01,-1
2018-02-14T23:59:59+08:00,5.4536E-02,3.3695208077978165E+01,0
2018-02-15T23:59:59+08:00,5.8181E-02,8.729261284641767E+01,1
2018-02-16T23:59:59+08:00,6.1589E-02,9.007744083375553E+01,1
2018-02-17T23:59:59+08:00,7.1617E-02,9.385862748611362E+01,1
2018-02-18T23:59:59+08:00,6.433E-02,7.419617563739376E+01,1
2018-02-19T23:59:59+08:00,6.7261E-02,7.330671453166782E+01,1
2018-02-20T23:59:59+08:00,5.7783E-02,4.939937220813716E+01,0
2018-02-21T23:59:59+08:00,5.5405E-02,4.036820135817083E+01,0
2018-02-22T23:59:59+08:00,5.0978E-02,1.1059960001509396E+01,-1
2018-02-23T23:59:59+08:00,5.315E-02,2.386140465725242E+01,-1
2018-02-24T23:59:59+08:00,5.2566E-02,1.1408162193392513E+01,-1
2018-02-25T23:59:59+08:00,5.0711E-02,1.90259285213735E+01,-1
2018-02-26T23:59:59+08:00,5.3807E-02,4.3415196967199606E+01,0
2018-02-27T23:59:59+08:00,5.2129E-02,5.613212573255194E+01,0
2018-02-28T23:59:59+08:00,4.8528E-02,2.862955428148696E+01,0
2018-03-01T23:59:59+08:00,4.9075E-02,3.380347035353067E+01,0
2018-03-02T23:59:59+08:00,4.6368E-02,3.132685527560409E+01,0
2018-03-03T23:59:59+08:00,4.7215E-02,1.4861407249466936E+01,-1
2018-03-04T23:59:59+08:00,4.7177E-02,1.8010335917312645E+01,-1
2018-03-05T23:59:59+08:00,5.286E-02,7.205253512522904E+01,0
2018-03-06T23:59:59+08:00,4.7111E-02,4.3463791267305645E+01,0
2018-03-07T23:59:59+08:00,4.1399E-02,3.621942426091298E+01,0
2018-03-08T23:59:59+08:00,3.7521E-02,2.6984805318138655E+01,-1
2018-03-09T23:59:59+08:00,4.0695E-02,3.6605224003967614E+01,0
2018-03-10T23:59:59+08:00,4.3576E-02,2.8302327755445447E+01,0
2018-03-11T23:59:59+08:00,5.1573E-02,5.94365958886727E+01,0
2018-03-12T23:59:59+08:00,4.6308E-02,6.058202198749731E+01,0
2018-03-13T23:59:59+08:00,4.6047E-02,7.177444069874348E+01,0
2018-03-14T23:59:59+08:00,4.0833E-02,5.031917846239246E+01,0
2018-03-15T23:59:59+08:00,4.1405E-02,4.437826920089078E+01,0
2018-03-16T23:59:59+08:00,4.251E-02,1.3505677699927503E+01,-1
2018-03-17T23:59:59+08:00,4.0867E-02,1.9067652075042616E+01,-1
2018-03-18T23:59:59+08:00,4.0974E-02,2.0645758592755413E+01,-1
2018-03-19T23:59:59+08:00,4.6647E-02,8.194505494505495E+01,1
2018-03-20T23:59:59+08:00,4.7747E-02,8.293518903199003E+01,1
2018-03-21T23:59:59+08:00,4.7356E-02,7.718196096028723E+01,1
2018-03-22T23:59:59+08:00,4.7551E-02,9.47629252611841E+01,1
